item,lang,expType,exp,contrast,N2Prop,AttachType,verbNum,N1_changed,N2_changed,N1_full,N2_full,N1,N2,mask_sents,auto_sents,target,sent,/data/bert-base-uncased_prob,/data/roberta-base_prob
1,English,A1,substance,def,0.39,ambi,sg,0,0,the table,of wood,table,wood,In the garage we keep the table of wood that MASKTOKEN carved this Christmas holiday.,In the garage we keep the table of wood that,$SG,In the garage we keep the table of wood that MASKTOKEN carved this Christmas holiday.,0.24345488802625503,0.25630557317925895
1,English,A1,substance,def,0.39,low,sg,0,0,the tables,of wood,tables,wood,In the garage we keep the tables of wood that MASKTOKEN carved this Christmas holiday.,In the garage we keep the tables of wood that,$SG,In the garage we keep the tables of wood that MASKTOKEN carved this Christmas holiday.,0.07387094307248976,0.037963107521014006
1,English,A1,substance,def,0.39,high,sg,0,0,the table,of woods,table,woods,In the garage we keep the table of woods that MASKTOKEN carved this Christmas holiday.,In the garage we keep the table of woods that,$SG,In the garage we keep the table of woods that MASKTOKEN carved this Christmas holiday.,0.08697072117463733,0.18085280357498887
1,English,A1,substance,def,0.39,ambi,pl,0,0,the tables,of woods,tables,woods,In the garage we keep the tables of woods that MASKTOKEN carved this Christmas holiday.,In the garage we keep the tables of woods that,$PL,In the garage we keep the tables of woods that MASKTOKEN carved this Christmas holiday.,0.2616710588264475,0.5384211540544448
1,English,A1,substance,def,0.39,low,pl,0,0,the table,of woods,table,woods,In the garage we keep the table of woods that MASKTOKEN carved this Christmas holiday.,In the garage we keep the table of woods that,$PL,In the garage we keep the table of woods that MASKTOKEN carved this Christmas holiday.,0.09278805812246205,0.1383665188324982
1,English,A1,substance,def,0.39,high,pl,0,0,the tables,of wood,tables,wood,In the garage we keep the tables of wood that MASKTOKEN carved this Christmas holiday.,In the garage we keep the tables of wood that,$PL,In the garage we keep the tables of wood that MASKTOKEN carved this Christmas holiday.,0.2610306154485613,0.4235890809293571
1,English,A1,substance,indef,0.39,ambi,sg,0,0,a table,of wood,table,wood,In the garage we keep a table of wood that MASKTOKEN carved this Christmas holiday.,In the garage we keep a table of wood that,$SG,In the garage we keep a table of wood that MASKTOKEN carved this Christmas holiday.,0.3201980454938793,0.43150477726826686
1,English,A1,substance,indef,0.39,low,sg,0,0,some tables,of wood,tables,wood,In the garage we keep some tables of wood that MASKTOKEN carved this Christmas holiday.,In the garage we keep some tables of wood that,$SG,In the garage we keep some tables of wood that MASKTOKEN carved this Christmas holiday.,0.05332021554872757,0.03510739391469077
1,English,A1,substance,indef,0.39,high,sg,0,0,a table,of woods,table,woods,In the garage we keep a table of woods that MASKTOKEN carved this Christmas holiday.,In the garage we keep a table of woods that,$SG,In the garage we keep a table of woods that MASKTOKEN carved this Christmas holiday.,0.13939086437126935,0.07985134677646538
1,English,A1,substance,indef,0.39,ambi,pl,0,0,some tables,of woods,tables,woods,In the garage we keep some tables of woods that MASKTOKEN carved this Christmas holiday.,In the garage we keep some tables of woods that,$PL,In the garage we keep some tables of woods that MASKTOKEN carved this Christmas holiday.,0.4509832036015613,0.5399957539643553
1,English,A1,substance,indef,0.39,low,pl,0,0,a table,of woods,table,woods,In the garage we keep a table of woods that MASKTOKEN carved this Christmas holiday.,In the garage we keep a table of woods that,$PL,In the garage we keep a table of woods that MASKTOKEN carved this Christmas holiday.,0.11048968863710051,0.39864112951929237
1,English,A1,substance,indef,0.39,high,pl,0,0,some tables,of wood,tables,wood,In the garage we keep some tables of wood that MASKTOKEN carved this Christmas holiday.,In the garage we keep some tables of wood that,$PL,In the garage we keep some tables of wood that MASKTOKEN carved this Christmas holiday.,0.4979917713887332,0.4256127534487597
2,English,A1,substance,def,0.13,ambi,sg,0,1,the lamp,of material,lamp,material,To my sister they gave the lamp of material that MASKTOKEN polished until it looked like marble.,To my sister they gave the lamp of material that,$SG,To my sister they gave the lamp of material that MASKTOKEN polished until it looked like marble.,0.6740639303124865,0.4789441524319419
2,English,A1,substance,def,0.13,low,sg,0,1,the lamps,of material,lamps,material,To my sister they gave the lamps of material that MASKTOKEN polished until it looked like marble.,To my sister they gave the lamps of material that,$SG,To my sister they gave the lamps of material that MASKTOKEN polished until it looked like marble.,0.5190190728368368,0.28848706709244976
2,English,A1,substance,def,0.13,high,sg,0,1,the lamp,of materials,lamp,materials,To my sister they gave the lamp of materials that MASKTOKEN polished until it looked like marble.,To my sister they gave the lamp of materials that,$SG,To my sister they gave the lamp of materials that MASKTOKEN polished until it looked like marble.,0.0984336103920917,0.1677841242594278
2,English,A1,substance,def,0.13,ambi,pl,0,1,the lamps,of materials,lamps,materials,To my sister they gave the lamps of materials that MASKTOKEN polished until it looked like marble.,To my sister they gave the lamps of materials that,$PL,To my sister they gave the lamps of materials that MASKTOKEN polished until it looked like marble.,0.44832184613512926,0.4917587434138975
2,English,A1,substance,def,0.13,low,pl,0,1,the lamp,of materials,lamp,materials,To my sister they gave the lamp of materials that MASKTOKEN polished until it looked like marble.,To my sister they gave the lamp of materials that,$PL,To my sister they gave the lamp of materials that MASKTOKEN polished until it looked like marble.,0.31059273063381043,0.37133346623338115
2,English,A1,substance,def,0.13,high,pl,0,1,the lamps,of material,lamps,material,To my sister they gave the lamps of material that MASKTOKEN polished until it looked like marble.,To my sister they gave the lamps of material that,$PL,To my sister they gave the lamps of material that MASKTOKEN polished until it looked like marble.,0.07883329565690617,0.13932171591581977
2,English,A1,substance,indef,0.13,ambi,sg,0,1,a lamp,of material,lamp,material,To my sister they gave a lamp of material that MASKTOKEN polished until it looked like marble.,To my sister they gave a lamp of material that,$SG,To my sister they gave a lamp of material that MASKTOKEN polished until it looked like marble.,0.780588556578833,0.41408100970342265
2,English,A1,substance,indef,0.13,low,sg,0,1,some lamps,of material,lamps,material,To my sister they gave some lamps of material that MASKTOKEN polished until it looked like marble.,To my sister they gave some lamps of material that,$SG,To my sister they gave some lamps of material that MASKTOKEN polished until it looked like marble.,0.24428935288486314,0.08947430640608316
2,English,A1,substance,indef,0.13,high,sg,0,1,a lamp,of materials,lamp,materials,To my sister they gave a lamp of materials that MASKTOKEN polished until it looked like marble.,To my sister they gave a lamp of materials that,$SG,To my sister they gave a lamp of materials that MASKTOKEN polished until it looked like marble.,0.4115328862119644,0.331404306188562
2,English,A1,substance,indef,0.13,ambi,pl,0,1,some lamps,of materials,lamps,materials,To my sister they gave some lamps of materials that MASKTOKEN polished until it looked like marble.,To my sister they gave some lamps of materials that,$PL,To my sister they gave some lamps of materials that MASKTOKEN polished until it looked like marble.,0.38769214741733726,0.43195050482042796
2,English,A1,substance,indef,0.13,low,pl,0,1,a lamp,of materials,lamp,materials,To my sister they gave a lamp of materials that MASKTOKEN polished until it looked like marble.,To my sister they gave a lamp of materials that,$PL,To my sister they gave a lamp of materials that MASKTOKEN polished until it looked like marble.,0.10795804598737829,0.13872610668297541
2,English,A1,substance,indef,0.13,high,pl,0,1,some lamps,of material,lamps,material,To my sister they gave some lamps of material that MASKTOKEN polished until it looked like marble.,To my sister they gave some lamps of material that,$PL,To my sister they gave some lamps of material that MASKTOKEN polished until it looked like marble.,0.23713503152924859,0.26484597096197987
3,English,A1,substance,def,0.3,ambi,sg,1,1,the shirt,of fabric,shirt,fabric,Yesterday they gave me the shirt of fabric that MASKTOKEN illegally imported. ,Yesterday they gave me the shirt of fabric that,$SG,Yesterday they gave me the shirt of fabric that MASKTOKEN illegally imported. ,0.8513873173450568,0.5448721663579456
3,English,A1,substance,def,0.3,low,sg,1,1,the shirts,of fabric,shirts,fabric,Yesterday they gave me the shirts of fabric that MASKTOKEN illegally imported. ,Yesterday they gave me the shirts of fabric that,$SG,Yesterday they gave me the shirts of fabric that MASKTOKEN illegally imported. ,0.3859225912423836,0.204893259263685
3,English,A1,substance,def,0.3,high,sg,1,1,the shirt,of fabrics,shirt,fabrics,Yesterday they gave me the shirt of fabrics that MASKTOKEN illegally imported. ,Yesterday they gave me the shirt of fabrics that,$SG,Yesterday they gave me the shirt of fabrics that MASKTOKEN illegally imported. ,0.02027650921932589,0.04995500215147598
3,English,A1,substance,def,0.3,ambi,pl,1,1,the shirts,of fabrics,shirts,fabrics,Yesterday they gave me the shirts of fabrics that MASKTOKEN illegally imported. ,Yesterday they gave me the shirts of fabrics that,$PL,Yesterday they gave me the shirts of fabrics that MASKTOKEN illegally imported. ,0.8733921368229626,0.7659354560981313
3,English,A1,substance,def,0.3,low,pl,1,1,the shirt,of fabrics,shirt,fabrics,Yesterday they gave me the shirt of fabrics that MASKTOKEN illegally imported. ,Yesterday they gave me the shirt of fabrics that,$PL,Yesterday they gave me the shirt of fabrics that MASKTOKEN illegally imported. ,0.8442738871334277,0.7129834436169682
3,English,A1,substance,def,0.3,high,pl,1,1,the shirts,of fabric,shirts,fabric,Yesterday they gave me the shirts of fabric that MASKTOKEN illegally imported. ,Yesterday they gave me the shirts of fabric that,$PL,Yesterday they gave me the shirts of fabric that MASKTOKEN illegally imported. ,0.4503555347413576,0.3880376168810086
3,English,A1,substance,indef,0.3,ambi,sg,1,1,a shirt,of fabric,shirt,fabric,Yesterday they gave me a shirt of fabric that MASKTOKEN illegally imported. ,Yesterday they gave me a shirt of fabric that,$SG,Yesterday they gave me a shirt of fabric that MASKTOKEN illegally imported. ,0.8899331911273191,0.6281271009485647
3,English,A1,substance,indef,0.3,low,sg,1,1,some shirts,of fabric,shirts,fabric,Yesterday they gave me some shirts of fabric that MASKTOKEN illegally imported. ,Yesterday they gave me some shirts of fabric that,$SG,Yesterday they gave me some shirts of fabric that MASKTOKEN illegally imported. ,0.23198230489699326,0.2907309164482656
