idx,sing,plur,freq
_,abandons,abandon,_
_,abates,abate,_
_,abbreviates,abbreviate,_
_,abdicates,abdicate,_
_,abducts,abduct,_
_,abhors,abhor,_
_,abides,abide,_
_,abolishes,abolish,_
_,aborts,abort,_
_,abounds,abound,_
_,abridges,abridge,_
_,absconds,abscond,_
_,absolves,absolve,_
_,absorbs,absorb,_
_,abstains,abstain,_
_,abstracts,abstract,_
_,abuses,abuse,_
_,accedes,accede,_
_,accelerates,accelerate,_
_,accents,accent,_
_,accentuates,accentuate,_
_,accepts,accept,_
_,accesses,access,_
_,accessorizes,accessorize,_
_,acclaims,acclaim,_
_,acclimates,acclimate,_
_,acclimatizes,acclimatize,_
_,accommodates,accommodate,_
_,accomodates,accomodate,_
_,accompanies,accompany,_
_,accomplishes,accomplish,_
_,accords,accord,_
_,accosts,accost,_
_,accounts,account,_
_,accredits,accredit,_
_,accrues,accrue,_
_,acculturates,acculturate,_
_,accumulates,accumulate,_
_,accuses,accuse,_
_,accustoms,accustom,_
_,acerbates,acerbate,_
_,aches,ache,_
_,achieves,achieve,_
_,acidifies,acidify,_
_,acknowledges,acknowledge,_
_,acquaints,acquaint,_
_,acquiesces,acquiesce,_
_,acquires,acquire,_
_,acquits,acquit,_
_,activates,activate,_
_,acts,act,_
_,actualizes,actualize,_
_,adapts,adapt,_
_,addresses,address,_
_,adds,add,_
_,adheres,adhere,_
_,adjoins,adjoin,_
_,adjourns,adjourn,_
_,adjudicates,adjudicate,_
_,adjusts,adjust,_
_,administers,administer,_
_,administrates,administrate,_
_,admires,admire,_
_,admits,admit,_
_,admonishes,admonish,_
_,adopts,adopt,_
_,adores,adore,_
_,adorns,adorn,_
_,adsorbs,adsorb,_
_,adulates,adulate,_
_,advances,advance,_
_,advantages,advantage,_
_,advertises,advertise,_
_,advises,advise,_
_,advocates,advocate,_
_,affects,affect,_
_,affiliates,affiliate,_
_,affirms,affirm,_
_,affixes,affix,_
_,afflicts,afflict,_
_,affords,afford,_
_,affronts,affront,_
_,ages,age,_
_,aggravates,aggravate,_
_,aggregates,aggregate,_
_,aggrieves,aggrieve,_
_,agitates,agitate,_
_,agonizes,agonize,_
_,agrees,agree,_
_,aids,aid,_
_,ails,ail,_
_,aims,aim,_
_,airbrushes,airbrush,_
_,airdrops,airdrop,_
_,airlifts,airlift,_
_,airmails,airmail,_
_,airs,air,_
_,alarms,alarm,_
_,alerts,alert,_
_,alienates,alienate,_
_,aligns,align,_
_,allays,allay,_
_,alleges,allege,_
_,alleviates,alleviate,_
_,allies,ally,_
_,allocates,allocate,_
_,allots,allot,_
_,alloweds,allowed,_
_,allows,allow,_
_,alludes,allude,_
_,allures,allure,_
_,alphabetizes,alphabetize,_
_,alternates,alternate,_
_,alters,alter,_
_,amalgamates,amalgamate,_
_,amasses,amass,_
_,amazes,amaze,_
_,ambles,amble,_
_,ambushes,ambush,_
_,amends,amend,_
_,amortizes,amortize,_
_,amounts,amount,_
_,amplifies,amplify,_
_,amputates,amputate,_
