item,exp,contrast,top,middle,bottom,N1,N2,N3,N1_gender,N2_gender,N3_gender,mask_sents,auto_sents,target,sent,/data/bert-base-uncased_surp,/data/roberta-base_surp
1,1,Match_Match_Match,Match,Match,Match,boy,dad,actor,m,m,m,the boy told the dad that the actor would probably blame MASKTOKEN for the recent injury.,the boy told the dad that the actor would probably blame,him,the boy told the dad that the actor would probably blame MASKTOKEN for the recent injury.,0.23686295747756958,1.1612728834152222
1,1,Match_Match_Mismatch,Match,Match,Mismatch,boy,dad,actress,m,m,m,the boy told the dad that the actress would probably blame MASKTOKEN for the recent injury.,the boy told the dad that the actress would probably blame,him,the boy told the dad that the actress would probably blame MASKTOKEN for the recent injury.,0.08965639770030975,0.3823877274990082
1,1,Match_Mismatch_Match,Match,Mismatch,Match,boy,mom,actor,m,f,f,the boy told the mom that the actor would probably blame MASKTOKEN for the recent injury.,the boy told the mom that the actor would probably blame,him,the boy told the mom that the actor would probably blame MASKTOKEN for the recent injury.,0.6943358778953552,2.447089195251465
1,1,Match_Mismatch_Mismatch,Match,Mismatch,Mismatch,boy,mom,actress,m,f,f,the boy told the mom that the actress would probably blame MASKTOKEN for the recent injury.,the boy told the mom that the actress would probably blame,him,the boy told the mom that the actress would probably blame MASKTOKEN for the recent injury.,0.20018965005874634,0.6891710162162781
1,1,Mismatch_Match_Match,Mismatch,Match,Match,girl,dad,actor,f,m,m,the girl told the dad that the actor would probably blame MASKTOKEN for the recent injury.,the girl told the dad that the actor would probably blame,him,the girl told the dad that the actor would probably blame MASKTOKEN for the recent injury.,3.015048027038574,3.6889312267303467
1,1,Mismatch_Match_Mismatch,Mismatch,Match,Mismatch,girl,dad,actress,f,m,m,the girl told the dad that the actress would probably blame MASKTOKEN for the recent injury.,the girl told the dad that the actress would probably blame,him,the girl told the dad that the actress would probably blame MASKTOKEN for the recent injury.,1.5449234247207642,1.0256608724594116
1,1,Mismatch_Mismatch_Match,Mismatch,Mismatch,Match,girl,mom,actor,f,f,f,the girl told the mom that the actor would probably blame MASKTOKEN for the recent injury.,the girl told the mom that the actor would probably blame,him,the girl told the mom that the actor would probably blame MASKTOKEN for the recent injury.,5.758159637451172,5.626157283782959
1,1,Mismatch_Mismatch_Mismatch,Mismatch,Mismatch,Mismatch,girl,mom,actress,f,f,f,the girl told the mom that the actress would probably blame MASKTOKEN for the recent injury.,the girl told the mom that the actress would probably blame,him,the girl told the mom that the actress would probably blame MASKTOKEN for the recent injury.,5.761728763580322,3.48831844329834
2,1,Match_Match_Match,Match,Match,Match,man,wizard,nephew,m,m,m,the man told the wizard that the nephew would protect MASKTOKEN if it became necessary.,the man told the wizard that the nephew would protect,him,the man told the wizard that the nephew would protect MASKTOKEN if it became necessary.,0.29092979431152344,0.2537498474121094
2,1,Match_Match_Mismatch,Match,Match,Mismatch,man,wizard,niece,m,m,m,the man told the wizard that the niece would protect MASKTOKEN if it became necessary.,the man told the wizard that the niece would protect,him,the man told the wizard that the niece would protect MASKTOKEN if it became necessary.,0.5397846698760986,0.3145323693752289
