item,cond,adjunct,contrast,pronoun,og_sent,sent,mask_sents,auto_sents,target,/data/bert-base-uncased_surp,/data/roberta-base_surp
1,CATAMARAN-OBJ-Misma,Constraint,Mismatch,her,"Before offering her a fancy pastry, Michael politely asked Emily whether he had any preference.","Before offering her a fancy pastry, the MASKTOKEN politely asked Emily whether he had any preference.","Before offering her a fancy pastry, the MASKTOKEN politely asked Emily whether he had any preference.","Before offering her a fancy pastry, the",man,2.3038244247436523,3.371328115463257
1,CATAMARAN-OBJ-Match,Constraint,Match,him,"Before offering him a fancy pastry, Michael politely asked Tyler whether he had any preference.","Before offering him a fancy pastry, the MASKTOKEN politely asked Tyler whether he had any preference.","Before offering him a fancy pastry, the MASKTOKEN politely asked Tyler whether he had any preference.","Before offering him a fancy pastry, the",man,4.651919364929199,4.535317897796631
1,CATAMARAN-GEN-Misma,No Constraint,Mismatch,her,"Before offering her son a fancy pastry, Michael politely asked Emily whether he had any preference.","Before offering her son a fancy pastry, the MASKTOKEN politely asked Emily whether he had any preference.","Before offering her son a fancy pastry, the MASKTOKEN politely asked Emily whether he had any preference.","Before offering her son a fancy pastry, the",man,11.321208000183105,8.729681015014648
1,CATAMARAN-GEN-Match,No Constraint,Match,his,"Before offering his son a fancy pastry, Michael politely asked Tyler whether he had any preference.","Before offering his son a fancy pastry, the MASKTOKEN politely asked Tyler whether he had any preference.","Before offering his son a fancy pastry, the MASKTOKEN politely asked Tyler whether he had any preference.","Before offering his son a fancy pastry, the",man,3.0316498279571533,2.384910821914673
2,CATAMARAN-GEN-Match,No Constraint,Match,his,"While driving his daughter to school on Friday, Christopher casually told Juan that he would pick up everyone early for a surprise.","While driving his daughter to school on Friday, the MASKTOKEN casually told Juan that he would pick up everyone early for a surprise.","While driving his daughter to school on Friday, the MASKTOKEN casually told Juan that he would pick up everyone early for a surprise.","While driving his daughter to school on Friday, the",man,3.389453411102295,3.615950584411621
2,CATAMARAN-OBJ-Misma,Constraint,Mismatch,her,"While driving her to school on Friday, Christopher casually told Hannah that he would pick up everyone early for a surprise.","While driving her to school on Friday, the MASKTOKEN casually told Hannah that he would pick up everyone early for a surprise.","While driving her to school on Friday, the MASKTOKEN casually told Hannah that he would pick up everyone early for a surprise.","While driving her to school on Friday, the",man,2.2497482299804688,3.260075569152832
2,CATAMARAN-OBJ-Match,Constraint,Match,him,"While driving him to school on Friday, Christopher casually told Juan that he would pick up everyone early for a surprise.","While driving him to school on Friday, the MASKTOKEN casually told Juan that he would pick up everyone early for a surprise.","While driving him to school on Friday, the MASKTOKEN casually told Juan that he would pick up everyone early for a surprise.","While driving him to school on Friday, the",man,3.8042080402374268,4.452771186828613
2,CATAMARAN-GEN-Misma,No Constraint,Mismatch,her,"While driving her daughter to school on Friday, Christopher casually told Hannah that he would pick up everyone early for a surprise.","While driving her daughter to school on Friday, the MASKTOKEN casually told Hannah that he would pick up everyone early for a surprise.","While driving her daughter to school on Friday, the MASKTOKEN casually told Hannah that he would pick up everyone early for a surprise.","While driving her daughter to school on Friday, the",man,2.516345977783203,2.6169753074645996
3,CATAMARAN-GEN-Misma,No Constraint,Mismatch,her,"While baking her friends some cookies, Nicholas happily informed Kayla about all the positive new changes in his life.","While baking her friends some cookies, the MASKTOKEN happily informed Kayla about all the positive new changes in his life.","While baking her friends some cookies, the MASKTOKEN happily informed Kayla about all the positive new changes in his life.","While baking her friends some cookies, the",man,3.9640190601348877,4.7724385261535645
3,CATAMARAN-GEN-Match,No Constraint,Match,his,"While baking his friends some cookies, Nicholas happily informed Luke about all the positive new changes in his life.","While baking his friends some cookies, the MASKTOKEN happily informed Luke about all the positive new changes in his life.","While baking his friends some cookies, the MASKTOKEN happily informed Luke about all the positive new changes in his life.","While baking his friends some cookies, the",man,6.791554927825928,5.597439289093018
3,CATAMARAN-OBJ-Misma,Constraint,Mismatch,her,"While baking her some cookies, Nicholas happily informed Kayla about all the positive new changes in his life.","While baking her some cookies, the MASKTOKEN happily informed Kayla about all the positive new changes in his life.","While baking her some cookies, the MASKTOKEN happily informed Kayla about all the positive new changes in his life.","While baking her some cookies, the",man,2.8099539279937744,4.093908786773682
3,CATAMARAN-OBJ-Match,Constraint,Match,him,"While baking him some cookies, Nicholas happily informed Luke about all the positive new changes in his life.","While baking him some cookies, the MASKTOKEN happily informed Luke about all the positive new changes in his life.","While baking him some cookies, the MASKTOKEN happily informed Luke about all the positive new changes in his life.","While baking him some cookies, the",man,7.9281439781188965,5.786793231964111
4,CATAMARAN-OBJ-Match,Constraint,Match,him,"After lifting him onto the bus, Brandon carefully sat Derek down in one of the front-most seats.","After lifting him onto the bus, the MASKTOKEN carefully sat Derek down in one of the front-most seats.","After lifting him onto the bus, the MASKTOKEN carefully sat Derek down in one of the front-most seats.","After lifting him onto the bus, the",man,5.0374956130981445,5.9168477058410645
4,CATAMARAN-GEN-Misma,No Constraint,Mismatch,her,"After lifting her neighbor onto the bus, Brandon carefully sat Amber down in one of the front-most seats.","After lifting her neighbor onto the bus, the MASKTOKEN carefully sat Amber down in one of the front-most seats.","After lifting her neighbor onto the bus, the MASKTOKEN carefully sat Amber down in one of the front-most seats.","After lifting her neighbor onto the bus, the",man,5.995241641998291,7.661590576171875
4,CATAMARAN-GEN-Match,No Constraint,Match,his,"After lifting his neighbor onto the bus, Brandon carefully sat Derek down in one of the front-most seats.","After lifting his neighbor onto the bus, the MASKTOKEN carefully sat Derek down in one of the front-most seats.","After lifting his neighbor onto the bus, the MASKTOKEN carefully sat Derek down in one of the front-most seats.","After lifting his neighbor onto the bus, the",man,2.9059503078460693,1.1867810487747192
4,CATAMARAN-OBJ-Misma,Constraint,Mismatch,her,"After lifting her onto the bus, Brandon carefully sat Amber down in one of the front-most seats.","After lifting her onto the bus, the MASKTOKEN carefully sat Amber down in one of the front-most seats.","After lifting her onto the bus, the MASKTOKEN carefully sat Amber down in one of the front-most seats.","After lifting her onto the bus, the",man,3.842524290084839,6.675402641296387
5,CATAMARAN-OBJ-Misma,Constraint,Mismatch,her,"Before interrogating her about the crime, Daniel kindly offered Jasmine some food and a cigarette.","Before interrogating her about the crime, the MASKTOKEN kindly offered Jasmine some food and a cigarette.","Before interrogating her about the crime, the MASKTOKEN kindly offered Jasmine some food and a cigarette.","Before interrogating her about the crime, the",man,4.325892448425293,6.396578311920166
5,CATAMARAN-OBJ-Match,Constraint,Match,him,"Before interrogating him about the crime, Daniel kindly offered Corey some food and a cigarette.","Before interrogating him about the crime, the MASKTOKEN kindly offered Corey some food and a cigarette.","Before interrogating him about the crime, the MASKTOKEN kindly offered Corey some food and a cigarette.","Before interrogating him about the crime, the",man,4.06385612487793,5.275924205780029
5,CATAMARAN-GEN-Misma,No Constraint,Mismatch,her,"Before interrogating her informant about the crime, Daniel kindly offered Jasmine some food and a cigarette.","Before interrogating her informant about the crime, the MASKTOKEN kindly offered Jasmine some food and a cigarette.","Before interrogating her informant about the crime, the MASKTOKEN kindly offered Jasmine some food and a cigarette.","Before interrogating her informant about the crime, the",man,5.746641635894775,8.12936019897461
