exp,verb,pairNum,mask_sents,auto_sents,target,bias,antecedent,gender,IC
ic_mismatch,abandoned,0,The man was abandoned by the woman because MASKTOKEN was there.,The man was abandoned by the woman because,he,33,subj,m,subj
ic_mismatch,abandoned,0,The man was abandoned by the woman because MASKTOKEN was there.,The man was abandoned by the woman because,she,33,obj,f,subj
ic_mismatch,abandoned,0,The woman was abandoned by the man because MASKTOKEN was there.,The woman was abandoned by the man because,he,33,obj,m,subj
ic_mismatch,abandoned,0,The woman was abandoned by the man because MASKTOKEN was there.,The woman was abandoned by the man because,she,33,subj,f,subj
ic_mismatch,acclaimed,0,The man was acclaimed by the woman because MASKTOKEN was there.,The man was acclaimed by the woman because,he,-58,subj,m,obj
ic_mismatch,acclaimed,0,The man was acclaimed by the woman because MASKTOKEN was there.,The man was acclaimed by the woman because,she,-58,obj,f,obj
ic_mismatch,acclaimed,0,The woman was acclaimed by the man because MASKTOKEN was there.,The woman was acclaimed by the man because,he,-58,obj,m,obj
ic_mismatch,acclaimed,0,The woman was acclaimed by the man because MASKTOKEN was there.,The woman was acclaimed by the man because,she,-58,subj,f,obj
ic_mismatch,accompanied,0,The man was accompanied by the woman because MASKTOKEN was there.,The man was accompanied by the woman because,he,-48,subj,m,obj
ic_mismatch,accompanied,0,The man was accompanied by the woman because MASKTOKEN was there.,The man was accompanied by the woman because,she,-48,obj,f,obj
ic_mismatch,accompanied,0,The woman was accompanied by the man because MASKTOKEN was there.,The woman was accompanied by the man because,he,-48,obj,m,obj
ic_mismatch,accompanied,0,The woman was accompanied by the man because MASKTOKEN was there.,The woman was accompanied by the man because,she,-48,subj,f,obj
ic_mismatch,accused,0,The man was accused by the woman because MASKTOKEN was there.,The man was accused by the woman because,he,2,subj,m,subj
ic_mismatch,accused,0,The man was accused by the woman because MASKTOKEN was there.,The man was accused by the woman because,she,2,obj,f,subj
ic_mismatch,accused,0,The woman was accused by the man because MASKTOKEN was there.,The woman was accused by the man because,he,2,obj,m,subj
ic_mismatch,accused,0,The woman was accused by the man because MASKTOKEN was there.,The woman was accused by the man because,she,2,subj,f,subj
ic_mismatch,admired,0,The man was admired by the woman because MASKTOKEN was there.,The man was admired by the woman because,he,-92,subj,m,obj
ic_mismatch,admired,0,The man was admired by the woman because MASKTOKEN was there.,The man was admired by the woman because,she,-92,obj,f,obj
ic_mismatch,admired,0,The woman was admired by the man because MASKTOKEN was there.,The woman was admired by the man because,he,-92,obj,m,obj
ic_mismatch,admired,0,The woman was admired by the man because MASKTOKEN was there.,The woman was admired by the man because,she,-92,subj,f,obj
ic_mismatch,admonished,0,The man was admonished by the woman because MASKTOKEN was there.,The man was admonished by the woman because,he,-32,subj,m,obj
ic_mismatch,admonished,0,The man was admonished by the woman because MASKTOKEN was there.,The man was admonished by the woman because,she,-32,obj,f,obj
ic_mismatch,admonished,0,The woman was admonished by the man because MASKTOKEN was there.,The woman was admonished by the man because,he,-32,obj,m,obj
ic_mismatch,admonished,0,The woman was admonished by the man because MASKTOKEN was there.,The woman was admonished by the man because,she,-32,subj,f,obj
ic_mismatch,adored,0,The man was adored by the woman because MASKTOKEN was there.,The man was adored by the woman because,he,-74,subj,m,obj
ic_mismatch,adored,0,The man was adored by the woman because MASKTOKEN was there.,The man was adored by the woman because,she,-74,obj,f,obj
ic_mismatch,adored,0,The woman was adored by the man because MASKTOKEN was there.,The woman was adored by the man because,he,-74,obj,m,obj
ic_mismatch,adored,0,The woman was adored by the man because MASKTOKEN was there.,The woman was adored by the man because,she,-74,subj,f,obj
ic_mismatch,advised,0,The man was advised by the woman because MASKTOKEN was there.,The man was advised by the woman because,he,-28,subj,m,obj
ic_mismatch,advised,0,The man was advised by the woman because MASKTOKEN was there.,The man was advised by the woman because,she,-28,obj,f,obj
ic_mismatch,advised,0,The woman was advised by the man because MASKTOKEN was there.,The woman was advised by the man because,he,-28,obj,m,obj
ic_mismatch,advised,0,The woman was advised by the man because MASKTOKEN was there.,The woman was advised by the man because,she,-28,subj,f,obj
