item,lang,exp,AttachType,verbNum,N1_changed,N2_changed,N1_full,N2_full,N1,N2,mask_sents,auto_sents,target
1a,English,Fernandez,ambi,sg,1,0,the relative,of the teacher,relative,teacher,Andrew had dinner yesterday with the relative of the teacher that MASKTOKEN divorced.,Andrew had dinner yesterday with the relative of the teacher that,$SG
1a,English,Fernandez,low,sg,1,0,the relatives,of the teacher,relatives,teacher,Andrew had dinner yesterday with the relatives of the teacher that MASKTOKEN divorced.,Andrew had dinner yesterday with the relatives of the teacher that,$SG
1a,English,Fernandez,high,sg,1,0,the relative,of the teachers,relative,teachers,Andrew had dinner yesterday with the relative of the teachers that MASKTOKEN divorced.,Andrew had dinner yesterday with the relative of the teachers that,$SG
1a,English,Fernandez,ambi,pl,1,0,the relatives,of the teachers,relatives,teachers,Andrew had dinner yesterday with the relatives of the teachers that MASKTOKEN divorced.,Andrew had dinner yesterday with the relatives of the teachers that,$PL
1a,English,Fernandez,low,pl,1,0,the relative,of the teachers,relative,teachers,Andrew had dinner yesterday with the relative of the teachers that MASKTOKEN divorced.,Andrew had dinner yesterday with the relative of the teachers that,$PL
1a,English,Fernandez,high,pl,1,0,the relatives,of the teacher,relatives,teacher,Andrew had dinner yesterday with the relatives of the teacher that MASKTOKEN divorced.,Andrew had dinner yesterday with the relatives of the teacher that,$PL
2a,English,Fernandez,ambi,sg,0,1,the coach,of the athlete,coach,athlete,The journalist interviewed the coach of the athlete that MASKTOKEN sick.,The journalist interviewed the coach of the athlete that,$SG
2a,English,Fernandez,low,sg,0,1,the coaches,of the athlete,coaches,athlete,The journalist interviewed the coaches of the athlete that MASKTOKEN sick.,The journalist interviewed the coaches of the athlete that,$SG
2a,English,Fernandez,high,sg,0,1,the coach,of the athletes,coach,athletes,The journalist interviewed the coach of the athletes that MASKTOKEN sick.,The journalist interviewed the coach of the athletes that,$SG
2a,English,Fernandez,ambi,pl,0,1,the coaches,of the athletes,coaches,athletes,The journalist interviewed the coaches of the athletes that MASKTOKEN sick.,The journalist interviewed the coaches of the athletes that,$PL
2a,English,Fernandez,low,pl,0,1,the coach,of the athletes,coach,athletes,The journalist interviewed the coach of the athletes that MASKTOKEN sick.,The journalist interviewed the coach of the athletes that,$PL
2a,English,Fernandez,high,pl,0,1,the coaches,of the athlete,coaches,athlete,The journalist interviewed the coaches of the athlete that MASKTOKEN sick.,The journalist interviewed the coaches of the athlete that,$PL
3a,English,Fernandez,ambi,sg,0,1,the secretary,of the clerk,secretary,clerk,The personnel manager was observing the secretary of the clerk that MASKTOKEN studying.,The personnel manager was observing the secretary of the clerk that,$SG
3a,English,Fernandez,low,sg,0,1,the secretaries,of the clerk,secretaries,clerk,The personnel manager was observing the secretaries of the clerk that MASKTOKEN studying.,The personnel manager was observing the secretaries of the clerk that,$SG
3a,English,Fernandez,high,sg,0,1,the secretary,of the clerks,secretary,clerks,The personnel manager was observing the secretary of the clerks that MASKTOKEN studying.,The personnel manager was observing the secretary of the clerks that,$SG
3a,English,Fernandez,ambi,pl,0,1,the secretaries,of the clerks,secretaries,clerks,The personnel manager was observing the secretaries of the clerks that MASKTOKEN studying.,The personnel manager was observing the secretaries of the clerks that,$PL
3a,English,Fernandez,low,pl,0,1,the secretary,of the clerks,secretary,clerks,The personnel manager was observing the secretary of the clerks that MASKTOKEN studying.,The personnel manager was observing the secretary of the clerks that,$PL
3a,English,Fernandez,high,pl,0,1,the secretaries,of the clerk,secretaries,clerk,The personnel manager was observing the secretaries of the clerk that MASKTOKEN studying.,The personnel manager was observing the secretaries of the clerk that,$PL
4a,English,Fernandez,ambi,sg,0,0,the secretary,of the lawyer,secretary,lawyer,Julia had spoken to the secretary of the lawyer that MASKTOKEN on vacation.,Julia had spoken to the secretary of the lawyer that,$SG
4a,English,Fernandez,low,sg,0,0,the secretaries,of the lawyer,secretaries,lawyer,Julia had spoken to the secretaries of the lawyer that MASKTOKEN on vacation.,Julia had spoken to the secretaries of the lawyer that,$SG
4a,English,Fernandez,high,sg,0,0,the secretary,of the lawyers,secretary,lawyers,Julia had spoken to the secretary of the lawyers that MASKTOKEN on vacation.,Julia had spoken to the secretary of the lawyers that,$SG
4a,English,Fernandez,ambi,pl,0,0,the secretaries,of the lawyers,secretaries,lawyers,Julia had spoken to the secretaries of the lawyers that MASKTOKEN on vacation.,Julia had spoken to the secretaries of the lawyers that,$PL
4a,English,Fernandez,low,pl,0,0,the secretary,of the lawyers,secretary,lawyers,Julia had spoken to the secretary of the lawyers that MASKTOKEN on vacation.,Julia had spoken to the secretary of the lawyers that,$PL
4a,English,Fernandez,high,pl,0,0,the secretaries,of the lawyer,secretaries,lawyer,Julia had spoken to the secretaries of the lawyer that MASKTOKEN on vacation.,Julia had spoken to the secretaries of the lawyer that,$PL
5a,English,Fernandez,ambi,sg,1,0,the assistant,of the detective,assistant,detective,My friend met the assistant of the detective that MASKTOKEN fired.,My friend met the assistant of the detective that,$SG
5a,English,Fernandez,low,sg,1,0,the assistants,of the detective,assistants,detective,My friend met the assistants of the detective that MASKTOKEN fired.,My friend met the assistants of the detective that,$SG
5a,English,Fernandez,high,sg,1,0,the assistant,of the detectives,assistant,detectives,My friend met the assistant of the detectives that MASKTOKEN fired.,My friend met the assistant of the detectives that,$SG
5a,English,Fernandez,ambi,pl,1,0,the assistants,of the detectives,assistants,detectives,My friend met the assistants of the detectives that MASKTOKEN fired.,My friend met the assistants of the detectives that,$PL
5a,English,Fernandez,low,pl,1,0,the assistant,of the detectives,assistant,detectives,My friend met the assistant of the detectives that MASKTOKEN fired.,My friend met the assistant of the detectives that,$PL
5a,English,Fernandez,high,pl,1,0,the assistants,of the detective,assistants,detective,My friend met the assistants of the detective that MASKTOKEN fired.,My friend met the assistants of the detective that,$PL
6a,English,Fernandez,ambi,sg,1,0,the employee,of the ambassador,employee,ambassador,Charlie met the employee of the ambassador that MASKTOKEN eating.,Charlie met the employee of the ambassador that,$SG
6a,English,Fernandez,low,sg,1,0,the employees,of the ambassador,employees,ambassador,Charlie met the employees of the ambassador that MASKTOKEN eating.,Charlie met the employees of the ambassador that,$SG
6a,English,Fernandez,high,sg,1,0,the employee,of the ambassadors,employee,ambassadors,Charlie met the employee of the ambassadors that MASKTOKEN eating.,Charlie met the employee of the ambassadors that,$SG
