item,lang,expType,exp,contrast,N2Prop,AttachType,verbNum,N1_changed,N2_changed,N1_full,N2_full,N1,N2,mask_sents,auto_sents,target,sent,/data/dccuchile/bert-base-spanish-wwm-uncased_prob,/data/mrm8488/RuPERTa-base_prob
1,Spanish,A1,substance,def,0.06,ambi,sg,0,1,la mesa,de material,mesa,material,En el garaje guardamos la mesa de material que MASKTOKEN estas Navidades.,En el garaje guardamos la mesa de material que,$ES_SG,En el garaje guardamos la mesa de material que MASKTOKEN estas Navidades.,0.1398086041609865,0.6536597249239549
1,Spanish,A1,substance,def,0.06,low,sg,0,1,las mesas,de material,mesas,material,En el garaje guardamos las mesas de material que MASKTOKEN estas Navidades.,En el garaje guardamos las mesas de material que,$ES_SG,En el garaje guardamos las mesas de material que MASKTOKEN estas Navidades.,0.08559782004028094,0.039062079166569674
1,Spanish,A1,substance,def,0.06,high,sg,0,1,la mesa,de materiales,mesa,materiales,En el garaje guardamos la mesa de materiales que MASKTOKEN estas Navidades.,En el garaje guardamos la mesa de materiales que,$ES_SG,En el garaje guardamos la mesa de materiales que MASKTOKEN estas Navidades.,0.058155335749835224,0.5944861866299789
1,Spanish,A1,substance,def,0.06,ambi,pl,0,1,las mesas,de materiales,mesas,materiales,En el garaje guardamos las mesas de materiales que MASKTOKEN estas Navidades.,En el garaje guardamos las mesas de materiales que,$ES_PL,En el garaje guardamos las mesas de materiales que MASKTOKEN estas Navidades.,0.13562207568814166,0.6565397665258708
1,Spanish,A1,substance,def,0.06,low,pl,0,1,la mesa,de materiales,mesa,materiales,En el garaje guardamos la mesa de materiales que MASKTOKEN estas Navidades.,En el garaje guardamos la mesa de materiales que,$ES_PL,En el garaje guardamos la mesa de materiales que MASKTOKEN estas Navidades.,0.03640202399880543,0.04752591247215321
1,Spanish,A1,substance,def,0.06,high,pl,0,1,las mesas,de material,mesas,material,En el garaje guardamos las mesas de material que MASKTOKEN estas Navidades.,En el garaje guardamos las mesas de material que,$ES_PL,En el garaje guardamos las mesas de material que MASKTOKEN estas Navidades.,0.1495500804384946,0.6636589590065469
1,Spanish,A1,substance,indef,0.06,ambi,sg,0,1,una mesa,de material,mesa,material,En el garaje guardamos una mesa de material que MASKTOKEN estas Navidades.,En el garaje guardamos una mesa de material que,$ES_SG,En el garaje guardamos una mesa de material que MASKTOKEN estas Navidades.,0.12069831503876571,0.574779149681035
1,Spanish,A1,substance,indef,0.06,low,sg,0,1,unas mesas,de material,mesas,material,En el garaje guardamos unas mesas de material que MASKTOKEN estas Navidades.,En el garaje guardamos unas mesas de material que,$ES_SG,En el garaje guardamos unas mesas de material que MASKTOKEN estas Navidades.,0.07565155789745859,0.04866648804049589
1,Spanish,A1,substance,indef,0.06,high,sg,0,1,una mesa,de materiales,mesa,materiales,En el garaje guardamos una mesa de materiales que MASKTOKEN estas Navidades.,En el garaje guardamos una mesa de materiales que,$ES_SG,En el garaje guardamos una mesa de materiales que MASKTOKEN estas Navidades.,0.06467010715262234,0.5442648974027406
1,Spanish,A1,substance,indef,0.06,ambi,pl,0,1,unas mesas,de materiales,mesas,materiales,En el garaje guardamos unas mesas de materiales que MASKTOKEN estas Navidades.,En el garaje guardamos unas mesas de materiales que,$ES_PL,En el garaje guardamos unas mesas de materiales que MASKTOKEN estas Navidades.,0.11901924487659343,0.6778111099179149
1,Spanish,A1,substance,indef,0.06,low,pl,0,1,una mesa,de materiales,mesa,materiales,En el garaje guardamos una mesa de materiales que MASKTOKEN estas Navidades.,En el garaje guardamos una mesa de materiales que,$ES_PL,En el garaje guardamos una mesa de materiales que MASKTOKEN estas Navidades.,0.08332433315685606,0.022074671196129714
1,Spanish,A1,substance,indef,0.06,high,pl,0,1,unas mesas,de material,mesas,material,En el garaje guardamos unas mesas de material que MASKTOKEN estas Navidades.,En el garaje guardamos unas mesas de material que,$ES_PL,En el garaje guardamos unas mesas de material que MASKTOKEN estas Navidades.,0.08134947758581568,0.6726114855819461
2,Spanish,A1,substance,def,0.24,ambi,sg,1,1,la vela,de mineral,vela,mineral,A mi hermana le regalaron la vela de mineral que MASKTOKEN en la bodega. ,A mi hermana le regalaron la vela de mineral que,$ES_SG,A mi hermana le regalaron la vela de mineral que MASKTOKEN en la bodega. ,0.38594048389616686,0.5517001738658109
