item,lang,exp,AttachType,antecedent,hasIC,verb,verbNum,N1_full,N2_full,N1,N2,mask_sents,auto_sents,target,sent,/data/gpt2-xl_prob
1,English,Rohde,high,NP1,1,scolded,sg,the chef,the aristocrats,chef,aristocrats,The woman scolded the chef of the aristocrats who MASKTOKEN routinely letting food go to waste.,The woman scolded the chef of the aristocrats who,$SG,The woman scolded the chef of the aristocrats who,0.059033530959976
1,English,Rohde,low,NP2,1,scolded,sg,the chefs,the aristocrat,chefs,aristocrat,The woman scolded the chefs of the aristocrat who MASKTOKEN routinely letting food go to waste.,The woman scolded the chefs of the aristocrat who,$SG,The woman scolded the chefs of the aristocrat who,0.165820691057333
1,English,Rohde,low,NP2,1,scolded,pl,the chef,the aristocrats,chef,aristocrats,The woman scolded the chef of the aristocrats who MASKTOKEN routinely letting food go to waste.,The woman scolded the chef of the aristocrats who,$PL,The woman scolded the chef of the aristocrats who,0.196187069966067
1,English,Rohde,high,NP1,1,scolded,pl,the chefs,the aristocrat,chefs,aristocrat,The woman scolded the chefs of the aristocrat who MASKTOKEN routinely letting food go to waste.,The woman scolded the chefs of the aristocrat who,$PL,The woman scolded the chefs of the aristocrat who,0.0189835083675
1,English,Rohde,high,NP1,0,studied,sg,with the chef,the aristocrats,chef,aristocrats,The woman studied with the chef of the aristocrats who MASKTOKEN routinely letting food go to waste.,The woman studied with the chef of the aristocrats who,$SG,The woman studied with the chef of the aristocrats who,0.018199014095888
1,English,Rohde,low,NP2,0,studied,sg,with the chefs,the aristocrat,chefs,aristocrat,The woman studied with the chefs of the aristocrat who MASKTOKEN routinely letting food go to waste.,The woman studied with the chefs of the aristocrat who,$SG,The woman studied with the chefs of the aristocrat who,0.155900314078495
1,English,Rohde,low,NP2,0,studied,pl,with the chef,the aristocrats,chef,aristocrats,The woman studied with the chef of the aristocrats who MASKTOKEN routinely letting food go to waste.,The woman studied with the chef of the aristocrats who,$PL,The woman studied with the chef of the aristocrats who,0.245490711252341
1,English,Rohde,high,NP1,0,studied,pl,with the chefs,the aristocrat,chefs,aristocrat,The woman studied with the chefs of the aristocrat who MASKTOKEN routinely letting food go to waste.,The woman studied with the chefs of the aristocrat who,$PL,The woman studied with the chefs of the aristocrat who,0.017466894723325
2,English,Rohde,high,NP1,1,stared,sg,at the teacher,the second graders,teacher,graders,The man stared at the teacher of the second graders who MASKTOKEN definitely smartest in the school.,The man stared at the teacher of the second graders who,$SG,The man stared at the teacher of the second graders who,0.42537795491233
2,English,Rohde,low,NP2,1,stared,sg,at the teachers,the second grader,teachers,grader,The man stared at the teachers of the second grader who MASKTOKEN definitely smartest in the school.,The man stared at the teachers of the second grader who,$SG,The man stared at the teachers of the second grader who,0.352799036479905
2,English,Rohde,low,NP2,1,stared,pl,at the teacher,the second graders,teacher,graders,The man stared at the teacher of the second graders who MASKTOKEN definitely smartest in the school.,The man stared at the teacher of the second graders who,$PL,The man stared at the teacher of the second graders who,0.01339243520307
2,English,Rohde,high,NP1,1,stared,pl,at the teachers,the second grader,teachers,grader,The man stared at the teachers of the second grader who MASKTOKEN definitely smartest in the school.,The man stared at the teachers of the second grader who,$PL,The man stared at the teachers of the second grader who,0.010372424209252
2,English,Rohde,high,NP1,0,lived,sg,next to the teacher,the second graders,teacher,graders,The man lived next to the teacher of the second graders who MASKTOKEN definitely smartest in the school.,The man lived next to the teacher of the second graders who,$SG,The man lived next to the teacher of the second graders who,0.308234801640833
2,English,Rohde,low,NP2,0,lived,sg,next to the teachers,the second grader,teachers,grader,The man lived next to the teachers of the second grader who MASKTOKEN definitely smartest in the school.,The man lived next to the teachers of the second grader who,$SG,The man lived next to the teachers of the second grader who,0.319777686286908
2,English,Rohde,low,NP2,0,lived,pl,next to the teacher,the second graders,teacher,graders,The man lived next to the teacher of the second graders who MASKTOKEN definitely smartest in the school.,The man lived next to the teacher of the second graders who,$PL,The man lived next to the teacher of the second graders who,0.050648972733407
2,English,Rohde,high,NP1,0,lived,pl,next to the teachers,the second grader,teachers,grader,The man lived next to the teachers of the second grader who MASKTOKEN definitely smartest in the school.,The man lived next to the teachers of the second grader who,$PL,The man lived next to the teachers of the second grader who,0.016871084921821
3,English,Rohde,high,NP1,1,assisted,sg,the maid,the executives,maid,executives,The woman assisted the maid of the executives who MASKTOKEN regularly late to work.,The woman assisted the maid of the executives who,$SG,The woman assisted the maid of the executives who,0.096547177880239
3,English,Rohde,low,NP2,1,assisted,sg,the maids,the executive,maids,executive,The woman assisted the maids of the executive who MASKTOKEN regularly late to work.,The woman assisted the maids of the executive who,$SG,The woman assisted the maids of the executive who,0.039541925449942
3,English,Rohde,low,NP2,1,assisted,pl,the maid,the executives,maid,executives,The woman assisted the maid of the executives who MASKTOKEN regularly late to work.,The woman assisted the maid of the executives who,$PL,The woman assisted the maid of the executives who,0.207403962482909
3,English,Rohde,high,NP1,1,assisted,pl,the maids,the executive,maids,executive,The woman assisted the maids of the executive who MASKTOKEN regularly late to work.,The woman assisted the maids of the executive who,$PL,The woman assisted the maids of the executive who,0.309724343927744
3,English,Rohde,high,NP1,0,joked,sg,with the maid,the executives,maid,executives,The woman joked with the maid of the executives who MASKTOKEN regularly late to work.,The woman joked with the maid of the executives who,$SG,The woman joked with the maid of the executives who,0.085640142007332
3,English,Rohde,low,NP2,0,joked,sg,with the maids,the executive,maids,executive,The woman joked with the maids of the executive who MASKTOKEN regularly late to work.,The woman joked with the maids of the executive who,$SG,The woman joked with the maids of the executive who,0.085755496074439
3,English,Rohde,low,NP2,0,joked,pl,with the maid,the executives,maid,executives,The woman joked with the maid of the executives who MASKTOKEN regularly late to work.,The woman joked with the maid of the executives who,$PL,The woman joked with the maid of the executives who,0.261765142822505
3,English,Rohde,high,NP1,0,joked,pl,with the maids,the executive,maids,executives,The woman joked with the maids of the executive who MASKTOKEN regularly late to work.,The woman joked with the maids of the executive who,$PL,The woman joked with the maids of the executive who,0.236474899968891
4,English,Rohde,high,NP1,1,trusted,sg,the captain,the sailors,captain,sailors,The man trusted the captain of the sailors who MASKTOKEN consistently weathered big storms.,The man trusted the captain of the sailors who,$SG,The man trusted the captain of the sailors who,0.116124261437089
