item,exp,cond,contrast,matrix,embedded,pronoun,N1,N2,N1_gender,N2_gender,mask_sents,auto_sents,target,sent,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_1-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_2-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_3-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_4-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_5-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_6-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_7-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_8-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_9-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_10-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_11-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_12-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_13-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_14-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_15-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_16-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_17-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_18-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_19-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_20-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_21-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_22-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_23-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_24-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_25-d0.2.pt_surp
1,1,Common Nouns,Match_Match,Match,Match,him,man,waiter,m,m,the man thought that the waiter would praise MASKTOKEN enthusiastically for the amazing success of the event.,the man thought that the waiter would praise,him,the man thought that the waiter would praise,3.86413836479187,4.003453254699707,3.690721035003662,2.9244754314422607,5.111330509185791,2.763214588165283,5.0874714851379395,4.536711692810059,5.080625057220459,3.7864065170288086,3.63288950920105,5.238754749298096,3.68595814704895,3.8573906421661377,3.698171377182007,4.326975345611572,4.353846549987793,4.601259708404541,4.239622116088867,4.0520429611206055,4.2622857093811035,4.25049352645874,4.952922821044922,4.62552547454834,4.307549476623535
1,1,Common Nouns,Match_Mismatch,Match,Mismatch,him,man,party planner,m,f,the man thought that the party planner would praise MASKTOKEN enthusiastically for the amazing success of the event.,the man thought that the party planner would praise,him,the man thought that the party planner would praise,4.212571620941162,4.266726970672607,3.6736748218536377,3.256732225418091,5.179001331329346,3.6025521755218506,5.155435085296631,4.584441184997559,5.249067306518555,4.1719841957092285,4.1568708419799805,6.089114665985107,4.138302326202393,3.931334972381592,4.123203277587891,4.21825647354126,4.838432788848877,4.270188331604004,4.45512056350708,4.449916362762451,4.54368782043457,4.287796974182129,4.832944869995117,4.696892261505127,4.614246845245361
1,1,Common Nouns,Mismatch_Match,Mismatch,Match,him,woman,waiter,f,m,the woman thought that the waiter would praise MASKTOKEN enthusiastically for the amazing success of the event.,the woman thought that the waiter would praise,him,the woman thought that the waiter would praise,4.176815986633301,4.83109188079834,4.056306838989258,3.4449939727783203,5.930461883544922,3.2828316688537598,5.690314769744873,4.818848133087158,5.300741672515869,4.120354652404785,4.081466197967529,5.564373970031738,3.887988328933716,4.55906343460083,4.148195266723633,4.525257587432861,4.902063846588135,5.15578031539917,4.6679277420043945,4.240447521209717,4.467254638671875,4.674771308898926,5.278726577758789,5.183945178985596,4.6798224449157715
1,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,him,woman,party planner,f,f,the woman thought that the party planner would praise MASKTOKEN enthusiastically for the amazing success of the event.,the woman thought that the party planner would praise,him,the woman thought that the party planner would praise,4.440130233764648,5.042369365692139,3.918689250946045,3.7088019847869873,6.07243537902832,3.962554931640625,5.698817729949951,4.830695152282715,5.467812538146973,4.529179573059082,4.567766189575195,6.149416923522949,4.282402515411377,4.684077739715576,4.575935363769531,4.3637847900390625,5.229854583740234,4.708950042724609,4.792604923248291,4.648859024047852,4.725990295410156,4.715415954589844,5.222169399261475,5.203986644744873,5.0933003425598145
1,1,Common Nouns,Match_Match,Match,Match,his,man,waiter,m,m,the man thought that the waiter would praise MASKTOKEN co-worker for the success of the event.,the man thought that the waiter would praise,his,the man thought that the waiter would praise,3.332080602645874,2.9097537994384766,3.612046718597412,3.409992218017578,3.1571288108825684,2.7383334636688232,3.018744468688965,3.2679929733276367,4.159279823303223,3.6280722618103027,3.5646495819091797,4.520247936248779,3.976226568222046,3.7448534965515137,3.7985475063323975,2.8749423027038574,3.430807590484619,3.6375293731689453,3.2227258682250977,4.1585774421691895,3.5005500316619873,3.7721903324127197,3.3799502849578857,3.8511369228363037,3.385528326034546
1,1,Common Nouns,Match_Mismatch,Match,Mismatch,his,man,party planner,m,f,the man thought that the party planner would praise MASKTOKEN co-worker for the success of the event.,the man thought that the party planner would praise,his,the man thought that the party planner would praise,3.9193356037139893,3.1798436641693115,3.900347948074341,3.9198710918426514,3.2847049236297607,3.499919891357422,3.416506052017212,3.7852365970611572,4.378015041351318,4.010891437530518,4.213388442993164,5.542080402374268,4.733648300170898,3.9243648052215576,4.3117899894714355,3.416130542755127,4.0625529289245605,3.9044418334960938,3.652005910873413,4.625450134277344,4.017022132873535,4.411924362182617,3.4475133419036865,4.35887336730957,3.819289445877075
1,1,Common Nouns,Mismatch_Match,Mismatch,Match,his,woman,waiter,f,m,the woman thought that the waiter would praise MASKTOKEN co-worker for the success of the event.,the woman thought that the waiter would praise,his,the woman thought that the waiter would praise,3.668165683746338,3.6933319568634033,4.174741268157959,3.9389350414276123,3.927241086959839,3.3678557872772217,3.658297300338745,3.6520767211914062,4.541129112243652,3.9139628410339355,3.981760263442993,4.851475238800049,4.214859962463379,4.246578216552734,4.264984130859375,3.1896817684173584,4.0835065841674805,4.2343621253967285,3.6228537559509277,4.499495983123779,3.6956732273101807,4.262331962585449,3.8726916313171387,4.337584018707275,3.69661021232605
1,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,his,woman,party planner,f,f,the woman thought that the party planner would praise MASKTOKEN co-worker for the success of the event.,the woman thought that the party planner would praise,his,the woman thought that the party planner would praise,4.201589107513428,3.9306600093841553,4.434048175811768,4.485552787780762,4.130217552185059,3.9693379402160645,4.029494762420654,4.159356117248535,4.761295795440674,4.304535865783691,4.635311603546143,5.583464622497559,4.981569766998291,4.68986177444458,4.784683704376221,3.714533805847168,4.6097869873046875,4.38350248336792,4.005234241485596,5.0044074058532715,4.197292327880859,4.9585418701171875,4.008977890014648,4.8609538078308105,4.241976737976074
2,1,Common Nouns,Match_Match,Match,Match,him,man,tailor,m,m,the man worried that the tailor would criticize MASKTOKEN harshly for the lack of organization at the fashion show.,the man worried that the tailor would criticize,him,the man worried that the tailor would criticize,4.211686611175537,3.8170175552368164,4.061675071716309,3.804985284805298,4.66409158706665,4.091578483581543,4.441827297210693,3.901771306991577,3.8406264781951904,3.632145881652832,4.429417133331299,5.387332916259766,3.477612257003784,3.924661874771118,3.0795083045959473,3.9222359657287598,4.155804634094238,4.169281005859375,4.781739711761475,4.512883186340332,4.422776222229004,5.1308913230896,4.054330825805664,4.0731072425842285,4.216952800750732
2,1,Common Nouns,Match_Mismatch,Match,Mismatch,him,man,designer,m,f,the man worried that the designer would criticize MASKTOKEN harshly for the lack of organization at the fashion show.,the man worried that the designer would criticize,him,the man worried that the designer would criticize,4.758359432220459,3.955360174179077,4.501440048217773,3.7753961086273193,4.638714790344238,4.361723899841309,4.929161548614502,4.557491302490234,4.210054874420166,4.050429821014404,4.700492858886719,5.525676727294922,3.6918559074401855,4.056331634521484,3.046740770339966,4.029929161071777,4.499400615692139,4.194808006286621,4.5074005126953125,4.463962554931641,4.61023473739624,5.033768653869629,4.583698272705078,3.8936803340911865,4.150899410247803
