item,lang,exp,AttachType,antecedent,hasIC,verb,verbNum,N1_full,N2_full,N1,N2,mask_sents,auto_sents,target,sent,model,prob
1,English,Rohde,high,NP1,1,scolded,sg,the chef,the aristocrats,chef,aristocrats,The woman scolded the chef of the aristocrats who MASKTOKEN routinely letting food go to waste.,The woman scolded the chef of the aristocrats who,$SG,The woman scolded the chef of the aristocrats who MASKTOKEN routinely letting food go to waste.,wikitext-103_LSTM_400_1-d0.2.pt,0.035037099166332
1,English,Rohde,low,NP2,1,scolded,sg,the chefs,the aristocrat,chefs,aristocrat,The woman scolded the chefs of the aristocrat who MASKTOKEN routinely letting food go to waste.,The woman scolded the chefs of the aristocrat who,$SG,The woman scolded the chefs of the aristocrat who MASKTOKEN routinely letting food go to waste.,wikitext-103_LSTM_400_1-d0.2.pt,0.203584712111084
1,English,Rohde,low,NP2,1,scolded,pl,the chef,the aristocrats,chef,aristocrats,The woman scolded the chef of the aristocrats who MASKTOKEN routinely letting food go to waste.,The woman scolded the chef of the aristocrats who,$PL,The woman scolded the chef of the aristocrats who MASKTOKEN routinely letting food go to waste.,wikitext-103_LSTM_400_1-d0.2.pt,0.161415543787102
1,English,Rohde,high,NP1,1,scolded,pl,the chefs,the aristocrat,chefs,aristocrat,The woman scolded the chefs of the aristocrat who MASKTOKEN routinely letting food go to waste.,The woman scolded the chefs of the aristocrat who,$PL,The woman scolded the chefs of the aristocrat who MASKTOKEN routinely letting food go to waste.,wikitext-103_LSTM_400_1-d0.2.pt,0.025773993448561
1,English,Rohde,high,NP1,0,studied,sg,with the chef,the aristocrats,chef,aristocrats,The woman studied with the chef of the aristocrats who MASKTOKEN routinely letting food go to waste.,The woman studied with the chef of the aristocrats who,$SG,The woman studied with the chef of the aristocrats who MASKTOKEN routinely letting food go to waste.,wikitext-103_LSTM_400_1-d0.2.pt,0.056464988102524
1,English,Rohde,low,NP2,0,studied,sg,with the chefs,the aristocrat,chefs,aristocrat,The woman studied with the chefs of the aristocrat who MASKTOKEN routinely letting food go to waste.,The woman studied with the chefs of the aristocrat who,$SG,The woman studied with the chefs of the aristocrat who MASKTOKEN routinely letting food go to waste.,wikitext-103_LSTM_400_1-d0.2.pt,0.182008359176341
1,English,Rohde,low,NP2,0,studied,pl,with the chef,the aristocrats,chef,aristocrats,The woman studied with the chef of the aristocrats who MASKTOKEN routinely letting food go to waste.,The woman studied with the chef of the aristocrats who,$PL,The woman studied with the chef of the aristocrats who MASKTOKEN routinely letting food go to waste.,wikitext-103_LSTM_400_1-d0.2.pt,0.200846049130029
1,English,Rohde,high,NP1,0,studied,pl,with the chefs,the aristocrat,chefs,aristocrat,The woman studied with the chefs of the aristocrat who MASKTOKEN routinely letting food go to waste.,The woman studied with the chefs of the aristocrat who,$PL,The woman studied with the chefs of the aristocrat who MASKTOKEN routinely letting food go to waste.,wikitext-103_LSTM_400_1-d0.2.pt,0.066059150935209
2,English,Rohde,high,NP1,1,stared,sg,at the teacher,the second graders,teacher,graders,The man stared at the teacher of the second graders who MASKTOKEN definitely smartest in the school.,The man stared at the teacher of the second graders who,$SG,The man stared at the teacher of the second graders who MASKTOKEN definitely smartest in the school.,wikitext-103_LSTM_400_1-d0.2.pt,0.04192577139065
2,English,Rohde,low,NP2,1,stared,sg,at the teachers,the second grader,teachers,grader,The man stared at the teachers of the second grader who MASKTOKEN definitely smartest in the school.,The man stared at the teachers of the second grader who,$SG,The man stared at the teachers of the second grader who MASKTOKEN definitely smartest in the school.,wikitext-103_LSTM_400_1-d0.2.pt,0.428084146306053
2,English,Rohde,low,NP2,1,stared,pl,at the teacher,the second graders,teacher,graders,The man stared at the teacher of the second graders who MASKTOKEN definitely smartest in the school.,The man stared at the teacher of the second graders who,$PL,The man stared at the teacher of the second graders who MASKTOKEN definitely smartest in the school.,wikitext-103_LSTM_400_1-d0.2.pt,0.423388292099267
2,English,Rohde,high,NP1,1,stared,pl,at the teachers,the second grader,teachers,grader,The man stared at the teachers of the second grader who MASKTOKEN definitely smartest in the school.,The man stared at the teachers of the second grader who,$PL,The man stared at the teachers of the second grader who MASKTOKEN definitely smartest in the school.,wikitext-103_LSTM_400_1-d0.2.pt,0.028017569680848
2,English,Rohde,high,NP1,0,lived,sg,next to the teacher,the second graders,teacher,graders,The man lived next to the teacher of the second graders who MASKTOKEN definitely smartest in the school.,The man lived next to the teacher of the second graders who,$SG,The man lived next to the teacher of the second graders who MASKTOKEN definitely smartest in the school.,wikitext-103_LSTM_400_1-d0.2.pt,0.038221896517493
2,English,Rohde,low,NP2,0,lived,sg,next to the teachers,the second grader,teachers,grader,The man lived next to the teachers of the second grader who MASKTOKEN definitely smartest in the school.,The man lived next to the teachers of the second grader who,$SG,The man lived next to the teachers of the second grader who MASKTOKEN definitely smartest in the school.,wikitext-103_LSTM_400_1-d0.2.pt,0.285399848410585
2,English,Rohde,low,NP2,0,lived,pl,next to the teacher,the second graders,teacher,graders,The man lived next to the teacher of the second graders who MASKTOKEN definitely smartest in the school.,The man lived next to the teacher of the second graders who,$PL,The man lived next to the teacher of the second graders who MASKTOKEN definitely smartest in the school.,wikitext-103_LSTM_400_1-d0.2.pt,0.284470457118628
2,English,Rohde,high,NP1,0,lived,pl,next to the teachers,the second grader,teachers,grader,The man lived next to the teachers of the second grader who MASKTOKEN definitely smartest in the school.,The man lived next to the teachers of the second grader who,$PL,The man lived next to the teachers of the second grader who MASKTOKEN definitely smartest in the school.,wikitext-103_LSTM_400_1-d0.2.pt,0.025299212820347
3,English,Rohde,high,NP1,1,assisted,sg,the maid,the executives,maid,executives,The woman assisted the maid of the executives who MASKTOKEN regularly late to work.,The woman assisted the maid of the executives who,$SG,The woman assisted the maid of the executives who MASKTOKEN regularly late to work.,wikitext-103_LSTM_400_1-d0.2.pt,0.034547729899364
3,English,Rohde,low,NP2,1,assisted,sg,the maids,the executive,maids,executive,The woman assisted the maids of the executive who MASKTOKEN regularly late to work.,The woman assisted the maids of the executive who,$SG,The woman assisted the maids of the executive who MASKTOKEN regularly late to work.,wikitext-103_LSTM_400_1-d0.2.pt,0.096571553846425
3,English,Rohde,low,NP2,1,assisted,pl,the maid,the executives,maid,executives,The woman assisted the maid of the executives who MASKTOKEN regularly late to work.,The woman assisted the maid of the executives who,$PL,The woman assisted the maid of the executives who MASKTOKEN regularly late to work.,wikitext-103_LSTM_400_1-d0.2.pt,0.190688906302603
3,English,Rohde,high,NP1,1,assisted,pl,the maids,the executive,maids,executive,The woman assisted the maids of the executive who MASKTOKEN regularly late to work.,The woman assisted the maids of the executive who,$PL,The woman assisted the maids of the executive who MASKTOKEN regularly late to work.,wikitext-103_LSTM_400_1-d0.2.pt,0.168101740042407
3,English,Rohde,high,NP1,0,joked,sg,with the maid,the executives,maid,executives,The woman joked with the maid of the executives who MASKTOKEN regularly late to work.,The woman joked with the maid of the executives who,$SG,The woman joked with the maid of the executives who MASKTOKEN regularly late to work.,wikitext-103_LSTM_400_1-d0.2.pt,0.05089440493538
3,English,Rohde,low,NP2,0,joked,sg,with the maids,the executive,maids,executive,The woman joked with the maids of the executive who MASKTOKEN regularly late to work.,The woman joked with the maids of the executive who,$SG,The woman joked with the maids of the executive who MASKTOKEN regularly late to work.,wikitext-103_LSTM_400_1-d0.2.pt,0.13455017725038
3,English,Rohde,low,NP2,0,joked,pl,with the maid,the executives,maid,executives,The woman joked with the maid of the executives who MASKTOKEN regularly late to work.,The woman joked with the maid of the executives who,$PL,The woman joked with the maid of the executives who MASKTOKEN regularly late to work.,wikitext-103_LSTM_400_1-d0.2.pt,0.147539036909172
3,English,Rohde,high,NP1,0,joked,pl,with the maids,the executive,maids,executives,The woman joked with the maids of the executive who MASKTOKEN regularly late to work.,The woman joked with the maids of the executive who,$PL,The woman joked with the maids of the executive who MASKTOKEN regularly late to work.,wikitext-103_LSTM_400_1-d0.2.pt,0.127520733154963
4,English,Rohde,high,NP1,1,trusted,sg,the captain,the sailors,captain,sailors,The man trusted the captain of the sailors who MASKTOKEN consistently weathered big storms.,The man trusted the captain of the sailors who,$SG,The man trusted the captain of the sailors who MASKTOKEN consistently weathered big storms.,wikitext-103_LSTM_400_1-d0.2.pt,0.033968819144496
4,English,Rohde,low,NP2,1,trusted,sg,the captains,the sailor,captains,sailor,The man trusted the captains of the sailor who MASKTOKEN consistently weathered big storms.,The man trusted the captains of the sailor who,$SG,The man trusted the captains of the sailor who MASKTOKEN consistently weathered big storms.,wikitext-103_LSTM_400_1-d0.2.pt,0.167491441464838
4,English,Rohde,low,NP2,1,trusted,pl,the captain,the sailors,captain,sailors,The man trusted the captain of the sailors who MASKTOKEN consistently weathered big storms.,The man trusted the captain of the sailors who,$PL,The man trusted the captain of the sailors who MASKTOKEN consistently weathered big storms.,wikitext-103_LSTM_400_1-d0.2.pt,0.225175363720407
4,English,Rohde,high,NP1,1,trusted,pl,the captains,the sailor,captains,sailor,The man trusted the captains of the sailor who MASKTOKEN consistently weathered big storms.,The man trusted the captains of the sailor who,$PL,The man trusted the captains of the sailor who MASKTOKEN consistently weathered big storms.,wikitext-103_LSTM_400_1-d0.2.pt,0.080189589512547
4,English,Rohde,high,NP1,0,stood,sg,near the captain,the sailors,captain,sailors,The man stood near the captain of the sailors who MASKTOKEN consistently weathered big storms.,The man stood near the captain of the sailors who,$SG,The man stood near the captain of the sailors who MASKTOKEN consistently weathered big storms.,wikitext-103_LSTM_400_1-d0.2.pt,0.024917076112814
4,English,Rohde,low,NP2,0,stood,sg,near the captains,the sailor,captains,sailor,The man stood near the captains of the sailor who MASKTOKEN consistently weathered big storms.,The man stood near the captains of the sailor who,$SG,The man stood near the captains of the sailor who MASKTOKEN consistently weathered big storms.,wikitext-103_LSTM_400_1-d0.2.pt,0.225786166801358
4,English,Rohde,low,NP2,0,stood,pl,near the captain,the sailors,captain,sailors,The man stood near the captain of the sailors who MASKTOKEN consistently weathered big storms.,The man stood near the captain of the sailors who,$PL,The man stood near the captain of the sailors who MASKTOKEN consistently weathered big storms.,wikitext-103_LSTM_400_1-d0.2.pt,0.215364554992115
4,English,Rohde,high,NP1,0,stood,pl,near the captains,the sailor,captains,sailor,The man stood near the captains of the sailor who MASKTOKEN consistently weathered big storms.,The man stood near the captains of the sailor who,$PL,The man stood near the captains of the sailor who MASKTOKEN consistently weathered big storms.,wikitext-103_LSTM_400_1-d0.2.pt,0.029875791046903
5,English,Rohde,high,NP1,1,corrected,sg,the secretary,the lawyers,secretary,lawyers,The woman corrected the secretary of the lawyers who MASKTOKEN occasionally made small mistakes.,The woman corrected the secretary of the lawyers who,$SG,The woman corrected the secretary of the lawyers who MASKTOKEN occasionally made small mistakes.,wikitext-103_LSTM_400_1-d0.2.pt,0.044473948211044
