item,cond,adjunct,contrast,pronoun,og_sent,sent,mask_sents,auto_sents,target,model,surp
1,CATAMARAN-OBJ-Misma,Constraint,Mismatch,her,"Before offering her a fancy pastry, Michael politely asked Emily whether he had any preference.","Before offering her a fancy pastry, the MASKTOKEN politely asked Emily whether he had any preference.","Before offering her a fancy pastry, the MASKTOKEN politely asked Emily whether he had any preference.","Before offering her a fancy pastry, the",man,wikitext-103_LSTM_400_1-d0.2.pt,8.607231140136719
1,CATAMARAN-OBJ-Match,Constraint,Match,him,"Before offering him a fancy pastry, Michael politely asked Tyler whether he had any preference.","Before offering him a fancy pastry, the MASKTOKEN politely asked Tyler whether he had any preference.","Before offering him a fancy pastry, the MASKTOKEN politely asked Tyler whether he had any preference.","Before offering him a fancy pastry, the",man,wikitext-103_LSTM_400_1-d0.2.pt,8.218219757080078
1,CATAMARAN-GEN-Misma,No Constraint,Mismatch,her,"Before offering her son a fancy pastry, Michael politely asked Emily whether he had any preference.","Before offering her son a fancy pastry, the MASKTOKEN politely asked Emily whether he had any preference.","Before offering her son a fancy pastry, the MASKTOKEN politely asked Emily whether he had any preference.","Before offering her son a fancy pastry, the",man,wikitext-103_LSTM_400_1-d0.2.pt,8.269866943359375
1,CATAMARAN-GEN-Match,No Constraint,Match,his,"Before offering his son a fancy pastry, Michael politely asked Tyler whether he had any preference.","Before offering his son a fancy pastry, the MASKTOKEN politely asked Tyler whether he had any preference.","Before offering his son a fancy pastry, the MASKTOKEN politely asked Tyler whether he had any preference.","Before offering his son a fancy pastry, the",man,wikitext-103_LSTM_400_1-d0.2.pt,7.957386016845703
2,CATAMARAN-GEN-Match,No Constraint,Match,his,"While driving his daughter to school on Friday, Christopher casually told Juan that he would pick up everyone early for a surprise.","While driving his daughter to school on Friday, the MASKTOKEN casually told Juan that he would pick up everyone early for a surprise.","While driving his daughter to school on Friday, the MASKTOKEN casually told Juan that he would pick up everyone early for a surprise.","While driving his daughter to school on Friday, the",man,wikitext-103_LSTM_400_1-d0.2.pt,9.361601829528809
2,CATAMARAN-OBJ-Misma,Constraint,Mismatch,her,"While driving her to school on Friday, Christopher casually told Hannah that he would pick up everyone early for a surprise.","While driving her to school on Friday, the MASKTOKEN casually told Hannah that he would pick up everyone early for a surprise.","While driving her to school on Friday, the MASKTOKEN casually told Hannah that he would pick up everyone early for a surprise.","While driving her to school on Friday, the",man,wikitext-103_LSTM_400_1-d0.2.pt,9.92635726928711
2,CATAMARAN-OBJ-Match,Constraint,Match,him,"While driving him to school on Friday, Christopher casually told Juan that he would pick up everyone early for a surprise.","While driving him to school on Friday, the MASKTOKEN casually told Juan that he would pick up everyone early for a surprise.","While driving him to school on Friday, the MASKTOKEN casually told Juan that he would pick up everyone early for a surprise.","While driving him to school on Friday, the",man,wikitext-103_LSTM_400_1-d0.2.pt,9.447765350341797
2,CATAMARAN-GEN-Misma,No Constraint,Mismatch,her,"While driving her daughter to school on Friday, Christopher casually told Hannah that he would pick up everyone early for a surprise.","While driving her daughter to school on Friday, the MASKTOKEN casually told Hannah that he would pick up everyone early for a surprise.","While driving her daughter to school on Friday, the MASKTOKEN casually told Hannah that he would pick up everyone early for a surprise.","While driving her daughter to school on Friday, the",man,wikitext-103_LSTM_400_1-d0.2.pt,9.494918823242188
3,CATAMARAN-GEN-Misma,No Constraint,Mismatch,her,"While baking her friends some cookies, Nicholas happily informed Kayla about all the positive new changes in his life.","While baking her friends some cookies, the MASKTOKEN happily informed Kayla about all the positive new changes in his life.","While baking her friends some cookies, the MASKTOKEN happily informed Kayla about all the positive new changes in his life.","While baking her friends some cookies, the",man,wikitext-103_LSTM_400_1-d0.2.pt,8.692238807678223
3,CATAMARAN-GEN-Match,No Constraint,Match,his,"While baking his friends some cookies, Nicholas happily informed Luke about all the positive new changes in his life.","While baking his friends some cookies, the MASKTOKEN happily informed Luke about all the positive new changes in his life.","While baking his friends some cookies, the MASKTOKEN happily informed Luke about all the positive new changes in his life.","While baking his friends some cookies, the",man,wikitext-103_LSTM_400_1-d0.2.pt,8.334691047668457
