item,exp,contrast,top,middle,bottom,N1,N2,N3,N1_gender,N2_gender,N3_gender,mask_sents,auto_sents,target
1,1,Match_Match_Match,Match,Match,Match,boy,dad,actor,m,m,m,the boy told the dad that the actor would probably blame MASKTOKEN for the recent injury.,the boy told the dad that the actor would probably blame,him
1,1,Match_Match_Mismatch,Match,Match,Mismatch,boy,dad,actress,m,m,f,the boy told the dad that the actress would probably blame MASKTOKEN for the recent injury.,the boy told the dad that the actress would probably blame,him
1,1,Match_Mismatch_Match,Match,Mismatch,Match,boy,mom,actor,m,f,m,the boy told the mom that the actor would probably blame MASKTOKEN for the recent injury.,the boy told the mom that the actor would probably blame,him
1,1,Match_Mismatch_Mismatch,Match,Mismatch,Mismatch,boy,mom,actress,m,f,f,the boy told the mom that the actress would probably blame MASKTOKEN for the recent injury.,the boy told the mom that the actress would probably blame,him
1,1,Mismatch_Match_Match,Mismatch,Match,Match,girl,dad,actor,f,m,m,the girl told the dad that the actor would probably blame MASKTOKEN for the recent injury.,the girl told the dad that the actor would probably blame,him
1,1,Mismatch_Match_Mismatch,Mismatch,Match,Mismatch,girl,dad,actress,f,m,f,the girl told the dad that the actress would probably blame MASKTOKEN for the recent injury.,the girl told the dad that the actress would probably blame,him
1,1,Mismatch_Mismatch_Match,Mismatch,Mismatch,Match,girl,mom,actor,f,f,m,the girl told the mom that the actor would probably blame MASKTOKEN for the recent injury.,the girl told the mom that the actor would probably blame,him
1,1,Mismatch_Mismatch_Mismatch,Mismatch,Mismatch,Mismatch,girl,mom,actress,f,f,f,the girl told the mom that the actress would probably blame MASKTOKEN for the recent injury.,the girl told the mom that the actress would probably blame,him
2,1,Match_Match_Match,Match,Match,Match,man,wizard,nephew,m,m,m,the man told the wizard that the nephew would protect MASKTOKEN if it became necessary.,the man told the wizard that the nephew would protect,him
2,1,Match_Match_Mismatch,Match,Match,Mismatch,man,wizard,niece,m,m,f,the man told the wizard that the niece would protect MASKTOKEN if it became necessary.,the man told the wizard that the niece would protect,him
2,1,Match_Mismatch_Match,Match,Mismatch,Match,man,witch,nephew,m,f,m,the man told the witch that the nephew would protect MASKTOKEN if it became necessary.,the man told the witch that the nephew would protect,him
2,1,Match_Mismatch_Mismatch,Match,Mismatch,Mismatch,man,witch,niece,m,f,f,the man told the witch that the niece would protect MASKTOKEN if it became necessary.,the man told the witch that the niece would protect,him
2,1,Mismatch_Match_Match,Mismatch,Match,Match,woman,wizard,nephew,f,m,m,the woman told the wizard that the nephew would protect MASKTOKEN if it became necessary.,the woman told the wizard that the nephew would protect,him
2,1,Mismatch_Match_Mismatch,Mismatch,Match,Mismatch,woman,wizard,niece,f,m,f,the woman told the wizard that the niece would protect MASKTOKEN if it became necessary.,the woman told the wizard that the niece would protect,him
2,1,Mismatch_Mismatch_Match,Mismatch,Mismatch,Match,woman,witch,nephew,f,f,m,the woman told the witch that the nephew would protect MASKTOKEN if it became necessary.,the woman told the witch that the nephew would protect,him
2,1,Mismatch_Mismatch_Mismatch,Mismatch,Mismatch,Mismatch,woman,witch,niece,f,f,f,the woman told the witch that the niece would protect MASKTOKEN if it became necessary.,the woman told the witch that the niece would protect,him
3,1,Match_Match_Match,Match,Match,Match,doctor,lord,uncle,m,m,m,the doctor told the lord that the uncle would teach MASKTOKEN how to drive this weekend.,the doctor told the lord that the uncle would teach,him
3,1,Match_Match_Mismatch,Match,Match,Mismatch,doctor,lord,aunt,m,m,f,the doctor told the lord that the aunt would teach MASKTOKEN how to drive this weekend.,the doctor told the lord that the aunt would teach,him
3,1,Match_Mismatch_Match,Match,Mismatch,Match,doctor,lady,uncle,m,f,m,the doctor told the lady that the uncle would teach MASKTOKEN how to drive this weekend.,the doctor told the lady that the uncle would teach,him
3,1,Match_Mismatch_Mismatch,Match,Mismatch,Mismatch,doctor,lady,aunt,m,f,f,the doctor told the lady that the aunt would teach MASKTOKEN how to drive this weekend.,the doctor told the lady that the aunt would teach,him
3,1,Mismatch_Match_Match,Mismatch,Match,Match,nurse,lord,uncle,f,m,m,the nurse told the lord that the uncle would teach MASKTOKEN how to drive this weekend.,the nurse told the lord that the uncle would teach,him
3,1,Mismatch_Match_Mismatch,Mismatch,Match,Mismatch,nurse,lord,aunt,f,m,f,the nurse told the lord that the aunt would teach MASKTOKEN how to drive this weekend.,the nurse told the lord that the aunt would teach,him
3,1,Mismatch_Mismatch_Match,Mismatch,Mismatch,Match,nurse,lady,uncle,f,f,m,the nurse told the lady that the uncle would teach MASKTOKEN how to drive this weekend.,the nurse told the lady that the uncle would teach,him
3,1,Mismatch_Mismatch_Mismatch,Mismatch,Mismatch,Mismatch,nurse,lady,aunt,f,f,f,the nurse told the lady that the aunt would teach MASKTOKEN how to drive this weekend.,the nurse told the lady that the aunt would teach,him
4,1,Match_Match_Match,Match,Match,Match,actor,god,father,m,m,m,the actor told the god that the father would buy MASKTOKEN the tickets to the performance.,the actor told the god that the father would buy,him
4,1,Match_Match_Mismatch,Match,Match,Mismatch,actor,god,mother,m,m,f,the actor told the god that the mother would buy MASKTOKEN the tickets to the performance.,the actor told the god that the mother would buy,him
4,1,Match_Mismatch_Match,Match,Mismatch,Match,actor,goddess,father,m,f,m,the actor told the goddess that the father would buy MASKTOKEN the tickets to the performance.,the actor told the goddess that the father would buy,him
4,1,Match_Mismatch_Mismatch,Match,Mismatch,Mismatch,actor,goddess,mother,m,f,f,the actor told the goddess that the mother would buy MASKTOKEN the tickets to the performance.,the actor told the goddess that the mother would buy,him
4,1,Mismatch_Match_Match,Mismatch,Match,Match,actress,god,father,f,m,m,the actress told the god that the father would buy MASKTOKEN the tickets to the performance.,the actress told the god that the father would buy,him
4,1,Mismatch_Match_Mismatch,Mismatch,Match,Mismatch,actress,god,mother,f,m,f,the actress told the god that the mother would buy MASKTOKEN the tickets to the performance.,the actress told the god that the mother would buy,him
4,1,Mismatch_Mismatch_Match,Mismatch,Mismatch,Match,actress,goddess,father,f,f,m,the actress told the goddess that the father would buy MASKTOKEN the tickets to the performance.,the actress told the goddess that the father would buy,him
4,1,Mismatch_Mismatch_Mismatch,Mismatch,Mismatch,Mismatch,actress,goddess,mother,f,f,f,the actress told the goddess that the mother would buy MASKTOKEN the tickets to the performance.,the actress told the goddess that the mother would buy,him
