item,exp,contrast,top,middle,bottom,N1,N2,N3,N1_gender,N2_gender,N3_gender,mask_sents,auto_sents,target,sent,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_1-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_2-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_3-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_4-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_5-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_6-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_7-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_8-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_9-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_10-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_11-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_12-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_13-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_14-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_15-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_16-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_17-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_18-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_19-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_20-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_21-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_22-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_23-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_24-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_25-d0.2.pt_surp
1,1,Match_Match_Match,Match,Match,Match,boy,dad,actor,m,m,m,the boy told the dad that the actor would probably blame MASKTOKEN for the recent injury.,the boy told the dad that the actor would probably blame,him,the boy told the dad that the actor would probably blame,2.5116782188415527,2.5034077167510986,3.2391810417175293,2.311410427093506,4.626292705535889,2.8166418075561523,3.8244035243988037,3.858757734298706,2.626441717147827,2.764620304107666,3.2060325145721436,4.464247703552246,3.4448964595794678,3.4112648963928223,3.5662529468536377,3.5949788093566895,3.7670722007751465,2.70786452293396,4.446576118469238,3.317445993423462,2.4611635208129883,4.583634853363037,2.9524588584899902,3.0961663722991943,3.8607699871063232
1,1,Match_Match_Mismatch,Match,Match,Mismatch,boy,dad,actress,m,m,m,the boy told the dad that the actress would probably blame MASKTOKEN for the recent injury.,the boy told the dad that the actress would probably blame,him,the boy told the dad that the actress would probably blame,3.238793134689331,3.38006591796875,3.5748891830444336,3.0057544708251953,5.421579837799072,3.4311342239379883,4.509181499481201,4.389455318450928,3.0540645122528076,3.3361222743988037,4.334998607635498,5.124446392059326,3.734774589538574,4.371431350708008,4.28617000579834,3.858166456222534,4.685956001281738,3.683716058731079,4.693449974060059,3.9629294872283936,2.8351447582244873,5.28685998916626,3.978095293045044,3.857208728790283,4.257845878601074
1,1,Match_Mismatch_Match,Match,Mismatch,Match,boy,mom,actor,m,f,f,the boy told the mom that the actor would probably blame MASKTOKEN for the recent injury.,the boy told the mom that the actor would probably blame,him,the boy told the mom that the actor would probably blame,2.638737201690674,2.5126900672912598,3.3657076358795166,2.415146827697754,4.508463382720947,2.7284507751464844,3.8543546199798584,3.7259397506713867,2.748788595199585,2.8173089027404785,3.2665772438049316,4.484511852264404,3.269749879837036,3.256420135498047,3.3233962059020996,3.559903144836426,3.771637201309204,2.792832612991333,4.327500343322754,3.4658069610595703,3.679492473602295,4.620744705200195,2.983290910720825,3.0816123485565186,4.056991100311279
1,1,Match_Mismatch_Mismatch,Match,Mismatch,Mismatch,boy,mom,actress,m,f,f,the boy told the mom that the actress would probably blame MASKTOKEN for the recent injury.,the boy told the mom that the actress would probably blame,him,the boy told the mom that the actress would probably blame,3.35783314704895,3.3598434925079346,3.7358298301696777,3.1663167476654053,5.327308654785156,3.335463762283325,4.597161769866943,4.2655439376831055,3.1500658988952637,3.3419785499572754,4.309196472167969,5.082434177398682,3.508899450302124,4.158362865447998,4.055187702178955,3.8086342811584473,4.7328901290893555,3.7736411094665527,4.600302696228027,4.096180438995361,4.673805236816406,5.375329971313477,3.97001576423645,3.813106060028076,4.402288436889648
1,1,Mismatch_Match_Match,Mismatch,Match,Match,girl,dad,actor,f,m,m,the girl told the dad that the actor would probably blame MASKTOKEN for the recent injury.,the girl told the dad that the actor would probably blame,him,the girl told the dad that the actor would probably blame,2.8570845127105713,3.043348550796509,3.302650213241577,2.619213342666626,5.269638538360596,3.011523485183716,4.199489593505859,4.3822760581970215,3.0529258251190186,3.193071126937866,3.6542561054229736,4.6675004959106445,3.613520622253418,3.799145460128784,3.7937839031219482,3.8464250564575195,3.8302009105682373,3.1230645179748535,4.700319766998291,3.594639539718628,2.674574136734009,4.791170597076416,3.203610897064209,3.299870729446411,4.251705646514893
1,1,Mismatch_Match_Mismatch,Mismatch,Match,Mismatch,girl,dad,actress,f,m,m,the girl told the dad that the actress would probably blame MASKTOKEN for the recent injury.,the girl told the dad that the actress would probably blame,him,the girl told the dad that the actress would probably blame,3.412010908126831,3.5760586261749268,3.6399736404418945,3.3037831783294678,5.816193103790283,3.3828601837158203,4.771529674530029,4.845263481140137,3.4603934288024902,3.601651430130005,4.702560901641846,5.22088098526001,3.8978092670440674,4.635282516479492,4.422121524810791,4.054008483886719,4.719453811645508,3.7659075260162354,4.8263702392578125,4.133289337158203,3.034231424331665,5.415462493896484,4.290166854858398,4.028883934020996,4.566783905029297
1,1,Mismatch_Mismatch_Match,Mismatch,Mismatch,Match,girl,mom,actor,f,f,f,the girl told the mom that the actor would probably blame MASKTOKEN for the recent injury.,the girl told the mom that the actor would probably blame,him,the girl told the mom that the actor would probably blame,2.9714982509613037,3.017178535461426,3.455124855041504,2.7528162002563477,5.137903690338135,2.9453728199005127,4.256845951080322,4.210822582244873,3.144298553466797,3.2404227256774902,3.6942052841186523,4.643651962280273,3.4359099864959717,3.6234328746795654,3.624337673187256,3.82806134223938,3.903629779815674,3.1968753337860107,4.582297325134277,3.8096282482147217,3.880401849746704,4.866315841674805,3.2542178630828857,3.277304172515869,4.4513959884643555
1,1,Mismatch_Mismatch_Mismatch,Mismatch,Mismatch,Mismatch,girl,mom,actress,f,f,f,the girl told the mom that the actress would probably blame MASKTOKEN for the recent injury.,the girl told the mom that the actress would probably blame,him,the girl told the mom that the actress would probably blame,3.4711856842041016,3.4708995819091797,3.790959119796753,3.4647066593170166,5.73856258392334,3.277271032333374,4.867236614227295,4.703542232513428,3.5180158615112305,3.6020026206970215,4.633489608764648,5.178269386291504,3.678842067718506,4.420979976654053,4.20241117477417,4.0049920082092285,4.885066509246826,3.8190696239471436,4.733942985534668,4.286353588104248,4.771315097808838,5.506875991821289,4.299278736114502,3.962719678878784,4.680028915405273
2,1,Match_Match_Match,Match,Match,Match,man,wizard,nephew,m,m,m,the man told the wizard that the nephew would protect MASKTOKEN if it became necessary.,the man told the wizard that the nephew would protect,him,the man told the wizard that the nephew would protect,3.6056015491485596,3.7873289585113525,3.434602975845337,3.224743366241455,4.203070163726807,3.581758499145508,4.918797492980957,4.305370807647705,3.8310976028442383,4.210188388824463,3.4662458896636963,4.836199760437012,3.1415863037109375,4.0922017097473145,3.7000999450683594,3.6769354343414307,3.88867449760437,3.9807240962982178,4.106122970581055,3.564462184906006,3.947293519973755,4.6443634033203125,3.780855178833008,3.892493486404419,3.156942367553711
2,1,Match_Match_Mismatch,Match,Match,Mismatch,man,wizard,niece,m,m,m,the man told the wizard that the niece would protect MASKTOKEN if it became necessary.,the man told the wizard that the niece would protect,him,the man told the wizard that the niece would protect,3.7591004371643066,4.001805305480957,3.5504143238067627,3.794769048690796,4.597555160522461,3.8736512660980225,5.199597358703613,4.272167682647705,3.707463026046753,4.354715347290039,3.6429452896118164,5.091762065887451,3.294902801513672,4.581299781799316,3.7525217533111572,3.6502442359924316,3.917686700820923,4.615784645080566,4.383683681488037,3.788921594619751,4.065383434295654,4.900395393371582,4.388085842132568,4.012670040130615,3.588801145553589
