item,lang,exp,AttachType,verbNum,N1_changed,N2_changed,N1_full,N2_full,N1,N2,mask_sents,auto_sents,target,sent,/data/gpt2-xl_prob
1a,English,Fernandez,ambi,sg,1,0,the relative,of the teacher,relative,teacher,Andrew had dinner yesterday with the relative of the teacher that MASKTOKEN divorced.,Andrew had dinner yesterday with the relative of the teacher that,$SG,Andrew had dinner yesterday with the relative of the teacher that,0.19876958598861982
1a,English,Fernandez,low,sg,1,0,the relatives,of the teacher,relatives,teacher,Andrew had dinner yesterday with the relatives of the teacher that MASKTOKEN divorced.,Andrew had dinner yesterday with the relatives of the teacher that,$SG,Andrew had dinner yesterday with the relatives of the teacher that,0.3216518032515343
1a,English,Fernandez,high,sg,1,0,the relative,of the teachers,relative,teachers,Andrew had dinner yesterday with the relative of the teachers that MASKTOKEN divorced.,Andrew had dinner yesterday with the relative of the teachers that,$SG,Andrew had dinner yesterday with the relative of the teachers that,0.07218113414989791
1a,English,Fernandez,ambi,pl,1,0,the relatives,of the teachers,relatives,teachers,Andrew had dinner yesterday with the relatives of the teachers that MASKTOKEN divorced.,Andrew had dinner yesterday with the relatives of the teachers that,$PL,Andrew had dinner yesterday with the relatives of the teachers that,0.44285827963213076
1a,English,Fernandez,low,pl,1,0,the relative,of the teachers,relative,teachers,Andrew had dinner yesterday with the relative of the teachers that MASKTOKEN divorced.,Andrew had dinner yesterday with the relative of the teachers that,$PL,Andrew had dinner yesterday with the relative of the teachers that,0.2225999615263783
1a,English,Fernandez,high,pl,1,0,the relatives,of the teacher,relatives,teacher,Andrew had dinner yesterday with the relatives of the teacher that MASKTOKEN divorced.,Andrew had dinner yesterday with the relatives of the teacher that,$PL,Andrew had dinner yesterday with the relatives of the teacher that,0.008759108352051959
2a,English,Fernandez,ambi,sg,0,1,the coach,of the athlete,coach,athlete,The journalist interviewed the coach of the athlete that MASKTOKEN sick.,The journalist interviewed the coach of the athlete that,$SG,The journalist interviewed the coach of the athlete that,0.18210570655327807
2a,English,Fernandez,low,sg,0,1,the coaches,of the athlete,coaches,athlete,The journalist interviewed the coaches of the athlete that MASKTOKEN sick.,The journalist interviewed the coaches of the athlete that,$SG,The journalist interviewed the coaches of the athlete that,0.17670581186076717
2a,English,Fernandez,high,sg,0,1,the coach,of the athletes,coach,athletes,The journalist interviewed the coach of the athletes that MASKTOKEN sick.,The journalist interviewed the coach of the athletes that,$SG,The journalist interviewed the coach of the athletes that,0.025890038942115723
2a,English,Fernandez,ambi,pl,0,1,the coaches,of the athletes,coaches,athletes,The journalist interviewed the coaches of the athletes that MASKTOKEN sick.,The journalist interviewed the coaches of the athletes that,$PL,The journalist interviewed the coaches of the athletes that,0.24308303374625417
2a,English,Fernandez,low,pl,0,1,the coach,of the athletes,coach,athletes,The journalist interviewed the coach of the athletes that MASKTOKEN sick.,The journalist interviewed the coach of the athletes that,$PL,The journalist interviewed the coach of the athletes that,0.22366363974272474
