item,exp,pronoun,cond,contrast,target_changed,mask_sents,auto_sents,target
1,1,he,m,Match,1,"When he was off work, the MASKTOKEN pestered the waitress all the time.","When he was off work, the",waiter
1,1,she,m,Mismatch,1,"When she was off work, the MASKTOKEN pestered the waitress all the time.","When she was off work, the",waiter
1,1,she,f,Match,0,"When she was off work, the MASKTOKEN pestered the waiter all the time.","When she was off work, the",waitress
1,1,he,f,Mismatch,0,"When he was off work, the MASKTOKEN pestered the waiter all the time.","When he was off work, the",waitress
2,1,he,m,Match,0,"When he arrived, the MASKTOKEN recognized the woman at once.","When he arrived, the",chairman
2,1,she,m,Mismatch,0,"When she arrived, the MASKTOKEN recognized the woman at once.","When she arrived, the",chairman
2,1,she,f,Match,1,"When she arrived, the MASKTOKEN recognized the chairman at once.","When she arrived, the",woman
2,1,he,f,Mismatch,1,"When he arrived, the MASKTOKEN recognized the chairman at once.","When he arrived, the",woman
3,1,he,m,Match,0,"When he was fed up, the MASKTOKEN visited the girl very often.","When he was fed up, the",boy
3,1,she,m,Mismatch,0,"When she was fed up, the MASKTOKEN visited the girl very often.","When she was fed up, the",boy
3,1,she,f,Match,0,"When she was fed up, the MASKTOKEN visited the boy very often.","When she was fed up, the",girl
3,1,he,f,Mismatch,0,"When he was fed up, the MASKTOKEN visited the boy very often.","When he was fed up, the",girl
4,1,he,m,Match,0,"When he was talking, the MASKTOKEN noticed the girl at the end of the street.","When he was talking, the",policeman
4,1,she,m,Mismatch,0,"When she was talking, the MASKTOKEN noticed the girl at the end of the street.","When she was talking, the",policeman
4,1,she,f,Match,1,"When she was talking, the MASKTOKEN noticed the policeman at the end of the street.","When she was talking, the",girl
4,1,he,f,Mismatch,1,"When he was talking, the MASKTOKEN noticed the policeman at the end of the street.","When he was talking, the",girl
5,1,he,m,Match,0,"When he was nearby, the MASKTOKEN saw the lady in the park.","When he was nearby, the",boy
5,1,she,m,Mismatch,0,"When she was nearby, the MASKTOKEN saw the lady in the park.","When she was nearby, the",boy
5,1,she,f,Match,1,"When she was nearby, the MASKTOKEN saw the boy in the park.","When she was nearby, the",lady
5,1,he,f,Mismatch,1,"When he was nearby, the MASKTOKEN saw the boy in the park.","When he was nearby, the",lady
6,1,he,m,Match,1,"When he was lost, the MASKTOKEN spotted the maid in the forest.","When he was lost, the",hunter
6,1,she,m,Mismatch,1,"When she was lost, the MASKTOKEN spotted the maid in the forest.","When she was lost, the",hunter
6,1,she,f,Match,1,"When she was lost, the MASKTOKEN spotted the hunter in the forest.","When she was lost, the",maid
6,1,he,f,Mismatch,1,"When he was lost, the MASKTOKEN spotted the hunter in the forest.","When he was lost, the",maid
7,1,he,m,Match,1,"When he was bad-tempered, the MASKTOKEN ignored the lady all day.","When he was bad-tempered, the",man
7,1,she,m,Mismatch,1,"When she was bad-tempered, the MASKTOKEN ignored the lady all day.","When she was bad-tempered, the",man
7,1,she,f,Match,1,"When she was bad-tempered, the MASKTOKEN ignored the man all day.","When she was bad-tempered, the",lady
7,1,he,f,Mismatch,1,"When he was bad-tempered, the MASKTOKEN ignored the man all day.","When he was bad-tempered, the",lady
8,1,he,m,Match,0,"When he was jealous, the MASKTOKEN angered the secretary more than ever.","When he was jealous, the",businessman
8,1,she,m,Mismatch,0,"When she was jealous, the MASKTOKEN angered the secretary more than ever.","When she was jealous, the",businessman
8,1,she,f,Match,1,"When she was jealous, the MASKTOKEN angered the businessman more than ever.","When she was jealous, the",secretary
8,1,he,f,Mismatch,1,"When he was jealous, the MASKTOKEN angered the businessman more than ever.","When he was jealous, the",secretary
9,1,he,m,Match,1,"When he was in residence, the MASKTOKEN annoyed the princess very much.","When he was in residence, the",lord
9,1,she,m,Mismatch,1,"When she was in residence, the MASKTOKEN annoyed the princess very much.","When she was in residence, the",lord
9,1,she,f,Match,0,"When she was in residence, the MASKTOKEN annoyed the lord very much.","When she was in residence, the",princess
9,1,he,f,Mismatch,0,"When he was in residence, the MASKTOKEN annoyed the lord very much.","When he was in residence, the",princess
10,1,he,m,Match,1,"When he was introduced, the MASKTOKEN shook the widow by the hand.","When he was introduced, the",sailor
10,1,she,m,Mismatch,1,"When she was introduced, the MASKTOKEN shook the widow by the hand.","When she was introduced, the",sailor
10,1,she,f,Match,1,"When she was introduced, the MASKTOKEN shook the sailor by the hand.","When she was introduced, the",widow
10,1,he,f,Mismatch,1,"When he was introduced, the MASKTOKEN shook the sailor by the hand.","When he was introduced, the",widow
11,1,he,m,Match,0,"When he arrived, the MASKTOKEN greeted the maid kindly.","When he arrived, the",master
