item,lang,expType,exp,contrast,AttachType,verbNum,N1_changed,N2_changed,N1_full,N2_full,N1,N2,mask_sents,auto_sents,target,sent,model,prob,expCat,N2PropSource,N2Prop
1,English,A1,substance,def,ambi,sg,0,0,the table,of wood,table,wood,In the garage we keep the table of wood that MASKTOKEN carved this Christmas holiday.,In the garage we keep the table of wood that,$SG,In the garage we keep the table of wood that MASKTOKEN carved this Christmas holiday.,wikitext-103_LSTM_400_1-d0.2.pt,0.3056460623392603,A,human,0.39
2,English,A1,substance,def,ambi,sg,0,1,the lamp,of material,lamp,material,To my sister they gave the lamp of material that MASKTOKEN polished until it looked like marble.,To my sister they gave the lamp of material that,$SG,To my sister they gave the lamp of material that MASKTOKEN polished until it looked like marble.,wikitext-103_LSTM_400_1-d0.2.pt,0.2419351717925542,A,human,0.13
3,English,A1,substance,def,ambi,sg,1,1,the shirt,of fabric,shirt,fabric,Yesterday they gave me the shirt of fabric that MASKTOKEN illegally imported. ,Yesterday they gave me the shirt of fabric that,$SG,Yesterday they gave me the shirt of fabric that MASKTOKEN illegally imported. ,wikitext-103_LSTM_400_1-d0.2.pt,0.2565752431055923,A,human,0.3
4,English,A1,substance,def,ambi,sg,1,0,the blanket,of material,blanket,material,In the end Tomas brought the blanket of material that MASKTOKEN very expensive.,In the end Tomas brought the blanket of material that,$SG,In the end Tomas brought the blanket of material that MASKTOKEN very expensive.,wikitext-103_LSTM_400_1-d0.2.pt,0.2238347675549525,A,human,0.21
5,English,A1,substance,def,ambi,sg,0,1,the belt,of hide,belt,hide,Maria made the belt of hide that MASKTOKEN liked a lot.,Maria made the belt of hide that,$SG,Maria made the belt of hide that MASKTOKEN liked a lot.,wikitext-103_LSTM_400_1-d0.2.pt,0.203408222169783,A,human,0.12
6,English,A1,substance,def,ambi,sg,0,1,the bell,of medal,bell,medal,Finally they placed the bell of medal that MASKTOKEN brought from the foundry.,Finally they placed the bell of medal that,$SG,Finally they placed the bell of medal that MASKTOKEN brought from the foundry.,wikitext-103_LSTM_400_1-d0.2.pt,0.1373346768957368,A,human,0.09
7,English,A1,substance,def,ambi,sg,0,1,the cake,of grain,cake,grain,Yesterday we ate the cake of grain that MASKTOKEN sold in the oriental shop.,Yesterday we ate the cake of grain that,$SG,Yesterday we ate the cake of grain that MASKTOKEN sold in the oriental shop.,wikitext-103_LSTM_400_1-d0.2.pt,0.2344501461361972,A,human,0.29
8,English,A1,substance,def,ambi,sg,1,1,the dress,of thread,dress,thread,The young actress admired the dress of thread that MASKTOKEN so beautiful.,The young actress admired the dress of thread that,$SG,The young actress admired the dress of thread that MASKTOKEN so beautiful.,wikitext-103_LSTM_400_1-d0.2.pt,0.2994895643871764,A,human,0.12
1,English,A2,quantity,noAdj,ambi,sg,0,0,the glass,of water,glass,water,John asked for the glass of water that MASKTOKEN on the table.,John asked for the glass of water that,$SG,John asked for the glass of water that MASKTOKEN on the table.,wikitext-103_LSTM_400_1-d0.2.pt,0.1840082166378629,A,human,0.16
2,English,A2,quantity,noAdj,ambi,sg,0,1,the bottle,of spirit,bottle,spirit,Mary liked the bottle of spirit that MASKTOKEN in the wine cellar.,Mary liked the bottle of spirit that,$SG,Mary liked the bottle of spirit that MASKTOKEN in the wine cellar.,wikitext-103_LSTM_400_1-d0.2.pt,0.2003956062476808,A,human,0.54
4,English,A2,quantity,noAdj,ambi,sg,0,0,the sack,of sand,sack,sand,Andres picked up the sack of sand that MASKTOKEN brought from the construction site.,Andres picked up the sack of sand that,$SG,Andres picked up the sack of sand that MASKTOKEN brought from the construction site.,wikitext-103_LSTM_400_1-d0.2.pt,0.2464795705153957,A,human,0.56
5,English,A2,quantity,noAdj,ambi,sg,0,1,the package,of food,package,food,The clerk brought us the package of food that MASKTOKEN on the counter.,The clerk brought us the package of food that,$SG,The clerk brought us the package of food that MASKTOKEN on the counter.,wikitext-103_LSTM_400_1-d0.2.pt,0.1463188287460495,A,human,0.28
7,English,A2,quantity,noAdj,ambi,sg,0,1,the basket,of fruit,basket,fruit,In the dining-room you will find the basket of fruit that MASKTOKEN on the table.,In the dining-room you will find the basket of fruit that,$SG,In the dining-room you will find the basket of fruit that MASKTOKEN on the table.,wikitext-103_LSTM_400_1-d0.2.pt,0.3279441942278183,A,human,0.7
8,English,A2,quantity,noAdj,ambi,sg,0,1,the can,of oil,can,oil,Julia picked up the can of oil that MASKTOKEN oily.,Julia picked up the can of oil that,$SG,Julia picked up the can of oil that MASKTOKEN oily.,wikitext-103_LSTM_400_1-d0.2.pt,0.1732633057838617,A,human,0.34
9,English,A2,quantity,noAdj,ambi,sg,0,1,the jar,of preserve,jar,preserve,My mother didn’t see the jar of preserve that MASKTOKEN crawling with ants.,My mother didn’t see the jar of preserve that,$SG,My mother didn’t see the jar of preserve that MASKTOKEN crawling with ants.,wikitext-103_LSTM_400_1-d0.2.pt,0.225382758730948,A,human,0.38
1,English,B1,kinship,def,ambi,sg,0,0,the relative,of the boy,relative,boy,The teacher was talking with the relative of the boy who MASKTOKEN in the hospital.,The teacher was talking with the relative of the boy who,$SG,The teacher was talking with the relative of the boy who MASKTOKEN in the hospital.,wikitext-103_LSTM_400_1-d0.2.pt,0.26140917693718,B,human,0.89
2,English,B1,kinship,def,ambi,sg,0,1,the daughter,of the captain,daughter,captain,The journalist had interviewed the daughter of the captain who MASKTOKEN in an accident.,The journalist had interviewed the daughter of the captain who,$SG,The journalist had interviewed the daughter of the captain who MASKTOKEN in an accident.,wikitext-103_LSTM_400_1-d0.2.pt,0.2201642667991703,B,human,0.7
3,English,B1,kinship,def,ambi,sg,1,0,the relative,of the servant,relative,servant,Andres had dinner with the relative of the servant who MASKTOKEN happy last summer.,Andres had dinner with the relative of the servant who,$SG,Andres had dinner with the relative of the servant who MASKTOKEN happy last summer.,wikitext-103_LSTM_400_1-d0.2.pt,0.3027803669047841,B,human,0.53
4,English,B1,kinship,def,ambi,sg,1,0,the mother,of the mechanic,mother,mechanic,This morning I met the mother of the mechanic who MASKTOKEN in the building where I live.,This morning I met the mother of the mechanic who,$SG,This morning I met the mother of the mechanic who MASKTOKEN in the building where I live.,wikitext-103_LSTM_400_1-d0.2.pt,0.2734499805019698,B,human,0.7
5,English,B1,kinship,def,ambi,sg,0,0,the cousin,of the artist,cousin,artist,The police arrested the cousin of the artist who MASKTOKEN in Marbella.,The police arrested the cousin of the artist who,$SG,The police arrested the cousin of the artist who MASKTOKEN in Marbella.,wikitext-103_LSTM_400_1-d0.2.pt,0.228748924451501,B,human,0.49
6,English,B1,kinship,def,ambi,sg,0,0,the sister,of the nurse,sister,nurse,The doorman was talking to the sister of the nurse who MASKTOKEN my mother’s friend.,The doorman was talking to the sister of the nurse who,$SG,The doorman was talking to the sister of the nurse who MASKTOKEN my mother’s friend.,wikitext-103_LSTM_400_1-d0.2.pt,0.2805039113847938,B,human,0.72
7,English,B1,kinship,def,ambi,sg,1,0,the brother,of the director,brother,director,Everybody in the office felt sorry about the death of the brother of the director who MASKTOKEN in the corporation.,Everybody in the office felt sorry about the death of the brother of the director who,$SG,Everybody in the office felt sorry about the death of the brother of the director who MASKTOKEN in the corporation.,wikitext-103_LSTM_400_1-d0.2.pt,0.2957786191069687,B,human,0.65
8,English,B1,kinship,def,ambi,sg,1,0,the friend,of the exchange student,friend,student,All of our friends liked the friend of the exchange student who MASKTOKEN visiting us.,All of our friends liked the friend of the exchange student who,$SG,All of our friends liked the friend of the exchange student who MASKTOKEN visiting us.,wikitext-103_LSTM_400_1-d0.2.pt,0.2319114075354269,B,human,0.71
9,English,B1,kinship,def,ambi,sg,1,1,the mother,of the au pair,mother,pair,We were worried about the mother of the au pair who MASKTOKEN ill.,We were worried about the mother of the au pair who,$SG,We were worried about the mother of the au pair who MASKTOKEN ill.,wikitext-103_LSTM_400_1-d0.2.pt,0.0297814414811226,B,human,0.2
1,English,B2,functional,def,ambi,sg,0,0,the assistant,of the inspector,assistant,inspector,The explosion deafened the assistant of the inspector who MASKTOKEN near the warehouse.,The explosion deafened the assistant of the inspector who,$SG,The explosion deafened the assistant of the inspector who MASKTOKEN near the warehouse.,wikitext-103_LSTM_400_1-d0.2.pt,0.2491808517728029,B,human,0.26
2,English,B2,functional,def,ambi,sg,1,0,the driver,of the actor,driver,actor,The police arrested the driver of the actor who MASKTOKEN accused of dealing drugs.,The police arrested the driver of the actor who,$SG,The police arrested the driver of the actor who MASKTOKEN accused of dealing drugs.,wikitext-103_LSTM_400_1-d0.2.pt,0.2070138452540394,B,human,0.44
3,English,B2,functional,def,ambi,sg,0,0,the secretary,of the manager,secretary,manager,Next month they will assign to the foreigner the secretary of the manager who MASKTOKEN long hours in the office.,Next month they will assign to the foreigner the secretary of the manager who,$SG,Next month they will assign to the foreigner the secretary of the manager who MASKTOKEN long hours in the office.,wikitext-103_LSTM_400_1-d0.2.pt,0.3476801938832952,B,human,0.36
4,English,B2,functional,def,ambi,sg,0,0,the nurse,of the surgeon,nurse,surgeon,Most of the patients like the nurse of the surgeon who MASKTOKEN in the hospital.,Most of the patients like the nurse of the surgeon who,$SG,Most of the patients like the nurse of the surgeon who MASKTOKEN in the hospital.,wikitext-103_LSTM_400_1-d0.2.pt,0.0667600213863546,B,human,0.45
5,English,B2,functional,def,ambi,sg,1,1,the pupil,of the dress maker,pupil,maker,I was talking to the pupil of the dress maker who MASKTOKEN in Paris for a while.,I was talking to the pupil of the dress maker who,$SG,I was talking to the pupil of the dress maker who MASKTOKEN in Paris for a while.,wikitext-103_LSTM_400_1-d0.2.pt,0.2937229920508821,B,human,0.4
6,English,B2,functional,def,ambi,sg,0,0,the advisor,of the assistant district attorney,advisor,attorney,Tomorrow I have a date with the advisor of the assistant district attorney that MASKTOKEN at Mary’s party.,Tomorrow I have a date with the advisor of the assistant district attorney that,$SG,Tomorrow I have a date with the advisor of the assistant district attorney that MASKTOKEN at Mary’s party.,wikitext-103_LSTM_400_1-d0.2.pt,0.1893568358278399,B,human,0.28
7,English,B2,functional,def,ambi,sg,1,1,the doctor,of the performer,doctor,performer,I was told that the doctor of the performer who MASKTOKEN on tv yesterday had been fired.,I was told that the doctor of the performer who,$SG,I was told that the doctor of the performer who MASKTOKEN on tv yesterday had been fired.,wikitext-103_LSTM_400_1-d0.2.pt,0.2658070386410807,B,human,0.4
