item,lang,exp,AttachType,verbNum,N1_changed,N2_changed,N1_full,N2_full,N1,N2,mask_sents,auto_sents,target,sent,/data/new_es_models/es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt_prob,/data/new_es_models/es_lstm_hidden650_batch64_dropout0.2_lr20_1.pt_prob,/data/new_es_models/es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt_prob,/data/new_es_models/es_lstm_hidden650_batch64_dropout0.2_lr20_3.pt_prob,/data/new_es_models/es_lstm_hidden650_batch64_dropout0.2_lr20_4.pt_prob
1a,Spanish,Fernandez,ambi,sg,1,0,el relativo,del maestro,relativo,maestro,Andrés cenó ayer con el relativo del maestro que MASKTOKEN en el partido comunista..,Andrés cenó ayer con el relativo del maestro que,$ES_SG,Andrés cenó ayer con el relativo del maestro que,0.3518527116910377,0.062490618232028394,0.11502718835547521,0.26437522298340355,0.29479750045936726
1a,Spanish,Fernandez,low,sg,1,0,los relativos,del maestro,relativos,maestro,Andrés cenó ayer con los relativos del maestro que MASKTOKEN en el partido comunista..,Andrés cenó ayer con los relativos del maestro que,$ES_SG,Andrés cenó ayer con los relativos del maestro que,0.2838747964767663,0.06522390968628178,0.09055604384228966,0.24030395819852401,0.2446349034178752
1a,Spanish,Fernandez,high,sg,1,0,el relativo,de los maestros,relativo,maestros,Andrés cenó ayer con el relativo de los maestros que MASKTOKEN en el partido comunista..,Andrés cenó ayer con el relativo de los maestros que,$ES_SG,Andrés cenó ayer con el relativo de los maestros que,0.031077597495119846,0.04339741604856773,0.05021698959321519,0.03632754821121864,0.05416690111152889
1a,Spanish,Fernandez,ambi,pl,1,0,los relativos,de los maestros,relativos,maestros,Andrés cenó ayer con los relativos de los maestros que MASKTOKEN en el partido comunista..,Andrés cenó ayer con los relativos de los maestros que,$ES_PL,Andrés cenó ayer con los relativos de los maestros que,0.35342359015540126,0.03255378768223571,0.029491796856553953,0.2950603311646489,0.3600180745993953
1a,Spanish,Fernandez,low,pl,1,0,el relativo,de los maestros,relativo,maestros,Andrés cenó ayer con el relativo de los maestros que MASKTOKEN en el partido comunista..,Andrés cenó ayer con el relativo de los maestros que,$ES_PL,Andrés cenó ayer con el relativo de los maestros que,0.3840445256389273,0.023610573692620207,0.025403208930220078,0.27282508307243347,0.3258278360251978
1a,Spanish,Fernandez,high,pl,1,0,los relativos,del maestro,relativos,maestro,Andrés cenó ayer con los relativos del maestro que MASKTOKEN en el partido comunista..,Andrés cenó ayer con los relativos del maestro que,$ES_PL,Andrés cenó ayer con los relativos del maestro que,0.037802123707365354,0.015924252925574478,0.01681954305358846,0.04670967228213385,0.05723909323899079
2a,Spanish,Fernandez,ambi,sg,0,1,al entrenador,del atleta,entrenador,atleta,El periodista entrevistó al entrenador del atleta que MASKTOKEN en la competición.,El periodista entrevistó al entrenador del atleta que,$ES_SG,El periodista entrevistó al entrenador del atleta que,0.23141021981995902,0.04670306352992981,0.08770705239378074,0.19781890602519425,0.19339654313485255
2a,Spanish,Fernandez,low,sg,0,1,a los entrenadores,del atleta,entrenadores,atleta,El periodista entrevistó a los entrenadores del atleta que MASKTOKEN en la competición.,El periodista entrevistó a los entrenadores del atleta que,$ES_SG,El periodista entrevistó a los entrenadores del atleta que,0.02892020100889514,0.06865872734122302,0.0781290803645916,0.05046738159173003,0.052088044785156384
2a,Spanish,Fernandez,high,sg,0,1,al entrenador,de los atletas,entrenador,atletas,El periodista entrevistó al entrenador de los atletas que MASKTOKEN en la competición.,El periodista entrevistó al entrenador de los atletas que,$ES_SG,El periodista entrevistó al entrenador de los atletas que,0.05019890735201682,0.049857971144887436,0.047555467164772325,0.0842551828756486,0.1099169060764904
2a,Spanish,Fernandez,ambi,pl,0,1,a los entrenadores,de los atletas,entrenadores,atletas,El periodista entrevistó a los entrenadores de los atletas que MASKTOKEN en la competición.,El periodista entrevistó a los entrenadores de los atletas que,$ES_PL,El periodista entrevistó a los entrenadores de los atletas que,0.35279633875807503,0.01401146303109213,0.0183746641080893,0.1991614917640705,0.2766211186850889
2a,Spanish,Fernandez,low,pl,0,1,al entrenador,de los atletas,entrenador,atletas,El periodista entrevistó al entrenador de los atletas que MASKTOKEN en la competición.,El periodista entrevistó al entrenador de los atletas que,$ES_PL,El periodista entrevistó al entrenador de los atletas que,0.18440984138251348,0.018277934574836507,0.022742014669733912,0.08326685982963689,0.09143334044955509
2a,Spanish,Fernandez,high,pl,0,1,a los entrenadores,del atleta,entrenadores,atleta,El periodista entrevistó a los entrenadores del atleta que MASKTOKEN en la competición.,El periodista entrevistó a los entrenadores del atleta que,$ES_PL,El periodista entrevistó a los entrenadores del atleta que,0.32073119377106174,0.019706409653987622,0.01250178097538357,0.1702627518430262,0.220522185751852
3a,Spanish,Fernandez,ambi,sg,1,1,al asistente,del trabajador,asistente,trabajador,El gerente observaba al asistente del trabajador que MASKTOKEN en la oficina.,El gerente observaba al asistente del trabajador que,$ES_SG,El gerente observaba al asistente del trabajador que,0.27690660582909565,0.017533291339326018,0.018408658911371223,0.22762201143098082,0.2965524930307808
3a,Spanish,Fernandez,low,sg,1,1,a los asistentes,del trabajador,asistentes,trabajador,El gerente observaba a los asistentes del trabajador que MASKTOKEN en la oficina.,El gerente observaba a los asistentes del trabajador que,$ES_SG,El gerente observaba a los asistentes del trabajador que,0.0465298574184807,0.0344479382095752,0.05396612786710708,0.0788180927439015,0.09345161618712083
