item,exp,cond,contrast,matrix,embedded,pronoun,N1,N2,N1_gender,N2_gender,mask_sents,auto_sents,target,sent,/data/bert-base-uncased_surp,/data/roberta-base_surp
1,1,Common Nouns,Match_Match,Match,Match,him,man,waiter,m,m,the man thought that the waiter would praise MASKTOKEN enthusiastically for the amazing success of the event.,the man thought that the waiter would praise,him,the man thought that the waiter would praise MASKTOKEN enthusiastically for the amazing success of the event.,0.14980913698673248,0.05918847769498825
1,1,Common Nouns,Match_Mismatch,Match,Mismatch,him,man,party planner,m,f,the man thought that the party planner would praise MASKTOKEN enthusiastically for the amazing success of the event.,the man thought that the party planner would praise,him,the man thought that the party planner would praise MASKTOKEN enthusiastically for the amazing success of the event.,0.16193145513534546,0.042940642684698105
1,1,Common Nouns,Mismatch_Match,Mismatch,Match,him,woman,waiter,f,m,the woman thought that the waiter would praise MASKTOKEN enthusiastically for the amazing success of the event.,the woman thought that the waiter would praise,him,the woman thought that the waiter would praise MASKTOKEN enthusiastically for the amazing success of the event.,4.763864517211914,7.5886430740356445
1,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,him,woman,party planner,f,f,the woman thought that the party planner would praise MASKTOKEN enthusiastically for the amazing success of the event.,the woman thought that the party planner would praise,him,the woman thought that the party planner would praise MASKTOKEN enthusiastically for the amazing success of the event.,5.285341262817383,6.0960211753845215
1,1,Common Nouns,Match_Match,Match,Match,his,man,waiter,m,m,the man thought that the waiter would praise MASKTOKEN co-worker for the success of the event.,the man thought that the waiter would praise,his,the man thought that the waiter would praise MASKTOKEN co-worker for the success of the event.,0.15309397876262665,0.49560436606407166
1,1,Common Nouns,Match_Mismatch,Match,Mismatch,his,man,party planner,m,f,the man thought that the party planner would praise MASKTOKEN co-worker for the success of the event.,the man thought that the party planner would praise,his,the man thought that the party planner would praise MASKTOKEN co-worker for the success of the event.,0.29039013385772705,0.658187747001648
1,1,Common Nouns,Mismatch_Match,Mismatch,Match,his,woman,waiter,f,m,the woman thought that the waiter would praise MASKTOKEN co-worker for the success of the event.,the woman thought that the waiter would praise,his,the woman thought that the waiter would praise MASKTOKEN co-worker for the success of the event.,3.829136848449707,3.187990665435791
1,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,his,woman,party planner,f,f,the woman thought that the party planner would praise MASKTOKEN co-worker for the success of the event.,the woman thought that the party planner would praise,his,the woman thought that the party planner would praise MASKTOKEN co-worker for the success of the event.,5.344020843505859,4.299168109893799
2,1,Common Nouns,Match_Match,Match,Match,him,man,tailor,m,m,the man worried that the tailor would criticize MASKTOKEN harshly for the lack of organization at the fashion show.,the man worried that the tailor would criticize,him,the man worried that the tailor would criticize MASKTOKEN harshly for the lack of organization at the fashion show.,0.18953971564769745,0.05255097150802612
2,1,Common Nouns,Match_Mismatch,Match,Mismatch,him,man,designer,m,f,the man worried that the designer would criticize MASKTOKEN harshly for the lack of organization at the fashion show.,the man worried that the designer would criticize,him,the man worried that the designer would criticize MASKTOKEN harshly for the lack of organization at the fashion show.,0.28707456588745117,0.04110013321042061
2,1,Common Nouns,Mismatch_Match,Mismatch,Match,him,woman,tailor,f,m,the woman worried that the tailor would criticize MASKTOKEN harshly for the lack of organization at the fashion show.,the woman worried that the tailor would criticize,him,the woman worried that the tailor would criticize MASKTOKEN harshly for the lack of organization at the fashion show.,4.886563301086426,6.454782485961914
2,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,him,woman,designer,f,f,the woman worried that the designer would criticize MASKTOKEN harshly for the lack of organization at the fashion show.,the woman worried that the designer would criticize,him,the woman worried that the designer would criticize MASKTOKEN harshly for the lack of organization at the fashion show.,5.20406436920166,5.973266124725342
2,1,Common Nouns,Match_Match,Match,Match,his,man,tailor,m,m,the man worried that the tailor would criticize MASKTOKEN assistant harshly for the lack of organization at the fashion show.,the man worried that the tailor would criticize,his,the man worried that the tailor would criticize MASKTOKEN assistant harshly for the lack of organization at the fashion show.,0.43426984548568726,0.7179019451141357
2,1,Common Nouns,Match_Mismatch,Match,Mismatch,his,man,designer,m,f,the man worried that the designer would criticize MASKTOKEN assistant harshly for the lack of organization at the fashion show.,the man worried that the designer would criticize,his,the man worried that the designer would criticize MASKTOKEN assistant harshly for the lack of organization at the fashion show.,0.3146091103553772,0.6877555847167969
2,1,Common Nouns,Mismatch_Match,Mismatch,Match,his,woman,tailor,f,m,the woman worried that the tailor would criticize MASKTOKEN assistant harshly for the lack of organization at the fashion show.,the woman worried that the tailor would criticize,his,the woman worried that the tailor would criticize MASKTOKEN assistant harshly for the lack of organization at the fashion show.,3.4057984352111816,2.4730403423309326
2,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,his,woman,designer,f,f,the woman worried that the designer would criticize MASKTOKEN assistant harshly for the lack of organization at the fashion show.,the woman worried that the designer would criticize,his,the woman worried that the designer would criticize MASKTOKEN assistant harshly for the lack of organization at the fashion show.,3.2070908546447754,2.9617483615875244
3,1,Common Nouns,Match_Match,Match,Match,him,man,producer,m,m,the man revealed that the producer had doubted MASKTOKEN even after several successful performances of the show.,the man revealed that the producer had doubted,him,the man revealed that the producer had doubted MASKTOKEN even after several successful performances of the show.,0.8159145712852478,0.32362571358680725
3,1,Common Nouns,Match_Mismatch,Match,Mismatch,him,man,dancer,m,f,the man revealed that the dancer had doubted MASKTOKEN even after several successful performances of the show.,the man revealed that the dancer had doubted,him,the man revealed that the dancer had doubted MASKTOKEN even after several successful performances of the show.,0.8078161478042603,0.7412353157997131
3,1,Common Nouns,Mismatch_Match,Mismatch,Match,him,woman,producer,f,m,the woman revealed that the producer had doubted MASKTOKEN even after several successful performances of the show.,the woman revealed that the producer had doubted,him,the woman revealed that the producer had doubted MASKTOKEN even after several successful performances of the show.,3.076045513153076,4.96657657623291
3,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,him,woman,dancer,f,f,the woman revealed that the dancer had doubted MASKTOKEN even after several successful performances of the show.,the woman revealed that the dancer had doubted,him,the woman revealed that the dancer had doubted MASKTOKEN even after several successful performances of the show.,1.8869431018829346,2.670410633087158
3,1,Common Nouns,Match_Match,Match,Match,his,man,producer,m,m,the man revealed that the producer had doubted MASKTOKEN ability even after several successful performances of the show.,the man revealed that the producer had doubted,his,the man revealed that the producer had doubted MASKTOKEN ability even after several successful performances of the show.,0.2544413208961487,0.08348987251520157
3,1,Common Nouns,Match_Mismatch,Match,Mismatch,his,man,dancer,m,f,the man revealed that the dancer had doubted MASKTOKEN ability even after several successful performances of the show.,the man revealed that the dancer had doubted,his,the man revealed that the dancer had doubted MASKTOKEN ability even after several successful performances of the show.,0.48872876167297363,0.5013291835784912
3,1,Common Nouns,Mismatch_Match,Mismatch,Match,his,woman,producer,f,m,the woman revealed that the producer had doubted MASKTOKEN ability even after several successful performances of the show.,the woman revealed that the producer had doubted,his,the woman revealed that the producer had doubted MASKTOKEN ability even after several successful performances of the show.,2.919867753982544,4.904971122741699
3,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,his,woman,dancer,f,f,the woman revealed that the dancer had doubted MASKTOKEN ability even after several successful performances of the show.,the woman revealed that the dancer had doubted,his,the woman revealed that the dancer had doubted MASKTOKEN ability even after several successful performances of the show.,2.1501471996307373,2.075796604156494
4,1,Common Nouns,Match_Match,Match,Match,him,man,monk,m,m,the man said that the monk had hidden MASKTOKEN effectively from the persistent agents of the secret police.,the man said that the monk had hidden,him,the man said that the monk had hidden MASKTOKEN effectively from the persistent agents of the secret police.,2.9778764247894287,3.907945156097412
4,1,Common Nouns,Match_Mismatch,Match,Mismatch,him,man,nun,m,f,the man said that the nun had hidden MASKTOKEN effectively from the persistent agents of the secret police.,the man said that the nun had hidden,him,the man said that the nun had hidden MASKTOKEN effectively from the persistent agents of the secret police.,5.4736008644104,5.231949329376221
4,1,Common Nouns,Mismatch_Match,Mismatch,Match,him,woman,monk,f,m,the woman said that the monk had hidden MASKTOKEN effectively from the persistent agents of the secret police.,the woman said that the monk had hidden,him,the woman said that the monk had hidden MASKTOKEN effectively from the persistent agents of the secret police.,3.6439125537872314,3.8169543743133545
