item,exp,cond,contrast,matrix,embedded,pronoun,N1,N2,N1_gender,N2_gender,mask_sents,auto_sents,target
1,1,Common Nouns,Match_Match,Match,Match,him,man,waiter,m,m,the man thought that the waiter would praise MASKTOKEN enthusiastically for the amazing success of the event.,the man thought that the waiter would praise,him
1,1,Common Nouns,Match_Mismatch,Match,Mismatch,him,man,party planner,m,f,the man thought that the party planner would praise MASKTOKEN enthusiastically for the amazing success of the event.,the man thought that the party planner would praise,him
1,1,Common Nouns,Mismatch_Match,Mismatch,Match,him,woman,waiter,f,m,the woman thought that the waiter would praise MASKTOKEN enthusiastically for the amazing success of the event.,the woman thought that the waiter would praise,him
1,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,him,woman,party planner,f,f,the woman thought that the party planner would praise MASKTOKEN enthusiastically for the amazing success of the event.,the woman thought that the party planner would praise,him
1,1,Common Nouns,Match_Match,Match,Match,his,man,waiter,m,m,the man thought that the waiter would praise MASKTOKEN co-worker for the success of the event.,the man thought that the waiter would praise,his
1,1,Common Nouns,Match_Mismatch,Match,Mismatch,his,man,party planner,m,f,the man thought that the party planner would praise MASKTOKEN co-worker for the success of the event.,the man thought that the party planner would praise,his
1,1,Common Nouns,Mismatch_Match,Mismatch,Match,his,woman,waiter,f,m,the woman thought that the waiter would praise MASKTOKEN co-worker for the success of the event.,the woman thought that the waiter would praise,his
1,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,his,woman,party planner,f,f,the woman thought that the party planner would praise MASKTOKEN co-worker for the success of the event.,the woman thought that the party planner would praise,his
2,1,Common Nouns,Match_Match,Match,Match,him,man,tailor,m,m,the man worried that the tailor would criticize MASKTOKEN harshly for the lack of organization at the fashion show.,the man worried that the tailor would criticize,him
2,1,Common Nouns,Match_Mismatch,Match,Mismatch,him,man,designer,m,f,the man worried that the designer would criticize MASKTOKEN harshly for the lack of organization at the fashion show.,the man worried that the designer would criticize,him
2,1,Common Nouns,Mismatch_Match,Mismatch,Match,him,woman,tailor,f,m,the woman worried that the tailor would criticize MASKTOKEN harshly for the lack of organization at the fashion show.,the woman worried that the tailor would criticize,him
2,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,him,woman,designer,f,f,the woman worried that the designer would criticize MASKTOKEN harshly for the lack of organization at the fashion show.,the woman worried that the designer would criticize,him
2,1,Common Nouns,Match_Match,Match,Match,his,man,tailor,m,m,the man worried that the tailor would criticize MASKTOKEN assistant harshly for the lack of organization at the fashion show.,the man worried that the tailor would criticize,his
2,1,Common Nouns,Match_Mismatch,Match,Mismatch,his,man,designer,m,f,the man worried that the designer would criticize MASKTOKEN assistant harshly for the lack of organization at the fashion show.,the man worried that the designer would criticize,his
2,1,Common Nouns,Mismatch_Match,Mismatch,Match,his,woman,tailor,f,m,the woman worried that the tailor would criticize MASKTOKEN assistant harshly for the lack of organization at the fashion show.,the woman worried that the tailor would criticize,his
2,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,his,woman,designer,f,f,the woman worried that the designer would criticize MASKTOKEN assistant harshly for the lack of organization at the fashion show.,the woman worried that the designer would criticize,his
3,1,Common Nouns,Match_Match,Match,Match,him,man,producer,m,m,the man revealed that the producer had doubted MASKTOKEN even after several successful performances of the show.,the man revealed that the producer had doubted,him
3,1,Common Nouns,Match_Mismatch,Match,Mismatch,him,man,dancer,m,f,the man revealed that the dancer had doubted MASKTOKEN even after several successful performances of the show.,the man revealed that the dancer had doubted,him
3,1,Common Nouns,Mismatch_Match,Mismatch,Match,him,woman,producer,f,m,the woman revealed that the producer had doubted MASKTOKEN even after several successful performances of the show.,the woman revealed that the producer had doubted,him
3,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,him,woman,dancer,f,f,the woman revealed that the dancer had doubted MASKTOKEN even after several successful performances of the show.,the woman revealed that the dancer had doubted,him
3,1,Common Nouns,Match_Match,Match,Match,his,man,producer,m,m,the man revealed that the producer had doubted MASKTOKEN ability even after several successful performances of the show.,the man revealed that the producer had doubted,his
3,1,Common Nouns,Match_Mismatch,Match,Mismatch,his,man,dancer,m,f,the man revealed that the dancer had doubted MASKTOKEN ability even after several successful performances of the show.,the man revealed that the dancer had doubted,his
3,1,Common Nouns,Mismatch_Match,Mismatch,Match,his,woman,producer,f,m,the woman revealed that the producer had doubted MASKTOKEN ability even after several successful performances of the show.,the woman revealed that the producer had doubted,his
3,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,his,woman,dancer,f,f,the woman revealed that the dancer had doubted MASKTOKEN ability even after several successful performances of the show.,the woman revealed that the dancer had doubted,his
4,1,Common Nouns,Match_Match,Match,Match,him,man,monk,m,m,the man said that the monk had hidden MASKTOKEN effectively from the persistent agents of the secret police.,the man said that the monk had hidden,him
4,1,Common Nouns,Match_Mismatch,Match,Mismatch,him,man,nun,m,f,the man said that the nun had hidden MASKTOKEN effectively from the persistent agents of the secret police.,the man said that the nun had hidden,him
4,1,Common Nouns,Mismatch_Match,Mismatch,Match,him,woman,monk,f,m,the woman said that the monk had hidden MASKTOKEN effectively from the persistent agents of the secret police.,the woman said that the monk had hidden,him
4,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,him,woman,nun,f,f,the woman said that the nun had hidden MASKTOKEN effectively from the persistent agents of the secret police.,the woman said that the nun had hidden,him
4,1,Common Nouns,Match_Match,Match,Match,his,man,monk,m,m,the man said that the monk had hidden MASKTOKEN belief effectively from the persistent agents of the secret police.,the man said that the monk had hidden,his
4,1,Common Nouns,Match_Mismatch,Match,Mismatch,his,man,nun,m,f,the man said that the nun had hidden MASKTOKEN belief effectively from the persistent agents of the secret police.,the man said that the nun had hidden,his
4,1,Common Nouns,Mismatch_Match,Mismatch,Match,his,woman,monk,f,m,the woman said that the monk had hidden MASKTOKEN belief effectively from the persistent agents of the secret police.,the woman said that the monk had hidden,his
4,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,his,woman,nun,f,f,the woman said that the nun had hidden MASKTOKEN belief effectively from the persistent agents of the secret police.,the woman said that the nun had hidden,his
5,1,Common Nouns,Match_Match,Match,Match,him,man,stock broker,m,m,the man believed that the stock broker had deceived MASKTOKEN repeatedly about the extent of the illegal activity.,the man believed that the stock broker had deceived,him
5,1,Common Nouns,Match_Mismatch,Match,Mismatch,him,man,secretary,m,f,the man believed that the secretary had deceived MASKTOKEN repeatedly about the extent of the illegal activity.,the man believed that the secretary had deceived,him
5,1,Common Nouns,Mismatch_Match,Mismatch,Match,him,woman,stock broker,f,m,the woman believed that the stock broker had deceived MASKTOKEN repeatedly about the extent of the illegal activity.,the woman believed that the stock broker had deceived,him
5,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,him,woman,secretary,f,f,the woman believed that the secretary had deceived MASKTOKEN repeatedly about the extent of the illegal activity.,the woman believed that the secretary had deceived,him
5,1,Common Nouns,Match_Match,Match,Match,his,man,stock broker,m,m,the man believed that the stock broker had deceived MASKTOKEN boss repeatedly about the extent of the illegal activity.,the man believed that the stock broker had deceived,his
5,1,Common Nouns,Match_Mismatch,Match,Mismatch,his,man,secretary,m,f,the man believed that the secretary had deceived MASKTOKEN boss repeatedly about the extent of the illegal activity.,the man believed that the secretary had deceived,his
5,1,Common Nouns,Mismatch_Match,Mismatch,Match,his,woman,stock broker,f,m,the woman believed that the stock broker had deceived MASKTOKEN boss repeatedly about the extent of the illegal activity.,the woman believed that the stock broker had deceived,his
5,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,his,woman,secretary,f,f,the woman believed that the secretary had deceived MASKTOKEN boss repeatedly about the extent of the illegal activity.,the woman believed that the secretary had deceived,his
6,1,Common Nouns,Match_Match,Match,Match,him,man,football player,m,m,the man said that the football player had embarrassed MASKTOKEN repeatedly in front of the visiting college recruiters.,the man said that the football player had embarrassed,him
