item,cond,adjunct,contrast,pronoun,og_sent,sent,mask_sents,auto_sents,target
1,CATAMARAN-OBJ-Misma,Constraint,Mismatch,her,"Before offering her a fancy pastry, Michael politely asked Emily whether he had any preference.","Before offering her a fancy pastry, the MASKTOKEN politely asked Emily whether he had any preference.","Before offering her a fancy pastry, the MASKTOKEN politely asked Emily whether he had any preference.","Before offering her a fancy pastry, the",man
1,CATAMARAN-OBJ-Match,Constraint,Match,him,"Before offering him a fancy pastry, Michael politely asked Tyler whether he had any preference.","Before offering him a fancy pastry, the MASKTOKEN politely asked Tyler whether he had any preference.","Before offering him a fancy pastry, the MASKTOKEN politely asked Tyler whether he had any preference.","Before offering him a fancy pastry, the",man
1,CATAMARAN-GEN-Misma,No Constraint,Mismatch,her,"Before offering her son a fancy pastry, Michael politely asked Emily whether he had any preference.","Before offering her son a fancy pastry, the MASKTOKEN politely asked Emily whether he had any preference.","Before offering her son a fancy pastry, the MASKTOKEN politely asked Emily whether he had any preference.","Before offering her son a fancy pastry, the",man
1,CATAMARAN-GEN-Match,No Constraint,Match,his,"Before offering his son a fancy pastry, Michael politely asked Tyler whether he had any preference.","Before offering his son a fancy pastry, the MASKTOKEN politely asked Tyler whether he had any preference.","Before offering his son a fancy pastry, the MASKTOKEN politely asked Tyler whether he had any preference.","Before offering his son a fancy pastry, the",man
2,CATAMARAN-GEN-Match,No Constraint,Match,his,"While driving his daughter to school on Friday, Christopher casually told Juan that he would pick up everyone early for a surprise.","While driving his daughter to school on Friday, the MASKTOKEN casually told Juan that he would pick up everyone early for a surprise.","While driving his daughter to school on Friday, the MASKTOKEN casually told Juan that he would pick up everyone early for a surprise.","While driving his daughter to school on Friday, the",man
2,CATAMARAN-OBJ-Misma,Constraint,Mismatch,her,"While driving her to school on Friday, Christopher casually told Hannah that he would pick up everyone early for a surprise.","While driving her to school on Friday, the MASKTOKEN casually told Hannah that he would pick up everyone early for a surprise.","While driving her to school on Friday, the MASKTOKEN casually told Hannah that he would pick up everyone early for a surprise.","While driving her to school on Friday, the",man
2,CATAMARAN-OBJ-Match,Constraint,Match,him,"While driving him to school on Friday, Christopher casually told Juan that he would pick up everyone early for a surprise.","While driving him to school on Friday, the MASKTOKEN casually told Juan that he would pick up everyone early for a surprise.","While driving him to school on Friday, the MASKTOKEN casually told Juan that he would pick up everyone early for a surprise.","While driving him to school on Friday, the",man
2,CATAMARAN-GEN-Misma,No Constraint,Mismatch,her,"While driving her daughter to school on Friday, Christopher casually told Hannah that he would pick up everyone early for a surprise.","While driving her daughter to school on Friday, the MASKTOKEN casually told Hannah that he would pick up everyone early for a surprise.","While driving her daughter to school on Friday, the MASKTOKEN casually told Hannah that he would pick up everyone early for a surprise.","While driving her daughter to school on Friday, the",man
3,CATAMARAN-GEN-Misma,No Constraint,Mismatch,her,"While baking her friends some cookies, Nicholas happily informed Kayla about all the positive new changes in his life.","While baking her friends some cookies, the MASKTOKEN happily informed Kayla about all the positive new changes in his life.","While baking her friends some cookies, the MASKTOKEN happily informed Kayla about all the positive new changes in his life.","While baking her friends some cookies, the",man
3,CATAMARAN-GEN-Match,No Constraint,Match,his,"While baking his friends some cookies, Nicholas happily informed Luke about all the positive new changes in his life.","While baking his friends some cookies, the MASKTOKEN happily informed Luke about all the positive new changes in his life.","While baking his friends some cookies, the MASKTOKEN happily informed Luke about all the positive new changes in his life.","While baking his friends some cookies, the",man
