item,lang,exp,AttachType,gender,N1_changed,N2_changed,N1,N2,mask_sents,auto_sents,target
1,Spanish,5,ambi,m,0,0,el criado,del actor,Alguien disparó contra el criado del actor que estaba MASKTOKEN.,Alguien disparó contra el criado del actor que estaba,$ES_Adj_m
1,Spanish,5,low,m,0,0,la criada,del actor,Alguien disparó contra la criada del actor que estaba MASKTOKEN.,Alguien disparó contra la criada del actor que estaba,$ES_Adj_m
1,Spanish,5,high,m,0,0,el criado,de la actriz,Alguien disparó contra el criado de la actriz que estaba MASKTOKEN.,Alguien disparó contra el criado de la actriz que estaba,$ES_Adj_m
1,Spanish,5,ambi,f,0,0,la criada,de la actriz,Alguien disparó contra la criada de la actriz que estaba MASKTOKEN.,Alguien disparó contra la criada de la actriz que estaba,$ES_Adj_f
1,Spanish,5,low,f,0,0,el criado,de la actriz,Alguien disparó contra el criado de la actriz que estaba MASKTOKEN.,Alguien disparó contra el criado de la actriz que estaba,$ES_Adj_f
1,Spanish,5,high,f,0,0,la criada,del actor,Alguien disparó contra la criada del actor que estaba MASKTOKEN.,Alguien disparó contra la criada del actor que estaba,$ES_Adj_f
2,Spanish,5,ambi,m,0,0,al amigo,del maestro,Pedro conoció al amigo del maestro que estuvo MASKTOKEN por el Ministerio.,Pedro conoció al amigo del maestro que estuvo,$ES_Adj_m
2,Spanish,5,low,m,0,0,a la amiga,del maestro,Pedro conoció a la amiga del maestro que estuvo MASKTOKEN por el Ministerio.,Pedro conoció a la amiga del maestro que estuvo,$ES_Adj_m
2,Spanish,5,high,m,0,0,al amigo,de la maestra,Pedro conoció al amigo de la maestra que estuvo MASKTOKEN por el Ministerio.,Pedro conoció al amigo de la maestra que estuvo,$ES_Adj_m
2,Spanish,5,ambi,f,0,0,a la amiga,de la maestra,Pedro conoció a la amiga de la maestra que estuvo MASKTOKEN por el Ministerio.,Pedro conoció a la amiga de la maestra que estuvo,$ES_Adj_f
2,Spanish,5,low,f,0,0,al amigo,de la maestra,Pedro conoció al amigo de la maestra que estuvo MASKTOKEN por el Ministerio.,Pedro conoció al amigo de la maestra que estuvo,$ES_Adj_f
2,Spanish,5,high,f,0,0,a la amiga,del maestro,Pedro conoció a la amiga del maestro que estuvo MASKTOKEN por el Ministerio.,Pedro conoció a la amiga del maestro que estuvo,$ES_Adj_f
3,Spanish,5,ambi,m,0,1,al hermano,del trabajador,La policía detuvo al hermano del trabajador que estuvo MASKTOKEN de hurto.,La policía detuvo al hermano del trabajador que estuvo,$ES_Adj_m
3,Spanish,5,low,m,0,1,a la hermana,del trabajador,La policía detuvo a la hermana del trabajador que estuvo MASKTOKEN de hurto.,La policía detuvo a la hermana del trabajador que estuvo,$ES_Adj_m
3,Spanish,5,high,m,0,1,al hermano,de la trabajadora,La policía detuvo al hermano de la trabajadora que estuvo MASKTOKEN de hurto.,La policía detuvo al hermano de la trabajadora que estuvo,$ES_Adj_m
3,Spanish,5,ambi,f,0,1,a la hermana,de la trabajadora,La policía detuvo a la hermana de la trabajadora que estuvo MASKTOKEN de hurto.,La policía detuvo a la hermana de la trabajadora que estuvo,$ES_Adj_f
3,Spanish,5,low,f,0,1,al hermano,de la trabajadora,La policía detuvo al hermano de la trabajadora que estuvo MASKTOKEN de hurto.,La policía detuvo al hermano de la trabajadora que estuvo,$ES_Adj_f
3,Spanish,5,high,f,0,1,a la hermana,del trabajador,La policía detuvo a la hermana del trabajador que estuvo MASKTOKEN de hurto.,La policía detuvo a la hermana del trabajador que estuvo,$ES_Adj_f
4,Spanish,5,ambi,m,0,0,al amigo,del abogado,Un alumno apedreó al amigo del abogado que estuvo como MASKTOKEN en el Parlamento.,Un alumno apedreó al amigo del abogado que estuvo como,$ES_Adj_m
4,Spanish,5,low,m,0,0,a la amiga,del abogado,Un alumno apedreó a la amiga del abogado que estuvo como MASKTOKEN en el Parlamento.,Un alumno apedreó a la amiga del abogado que estuvo como,$ES_Adj_m
4,Spanish,5,high,m,0,0,al amigo,de la abogada,Un alumno apedreó al amigo de la abogada que estuvo como MASKTOKEN en el Parlamento.,Un alumno apedreó al amigo de la abogada que estuvo como,$ES_Adj_m
4,Spanish,5,ambi,f,0,0,a la amiga,de la abogada,Un alumno apedreó a la amiga de la abogada que estuvo como MASKTOKEN en el Parlamento.,Un alumno apedreó a la amiga de la abogada que estuvo como,$ES_Adj_f
4,Spanish,5,low,f,0,0,al amigo,de la abogada,Un alumno apedreó al amigo de la abogada que estuvo como MASKTOKEN en el Parlamento.,Un alumno apedreó al amigo de la abogada que estuvo como,$ES_Adj_f
4,Spanish,5,high,f,0,0,a la amiga,del abogado,Un alumno apedreó a la amiga del abogado que estuvo como MASKTOKEN en el Parlamento.,Un alumno apedreó a la amiga del abogado que estuvo como,$ES_Adj_f
5,Spanish,5,ambi,m,0,0,el novio,del cantante,Amelia se fotografió con el novio del cantante que estuvo MASKTOKEN con los periodistas.,Amelia se fotografió con el novio del cantante que estuvo,$ES_Adj_m
5,Spanish,5,low,m,0,0,la novia,del cantante,Amelia se fotografió con la novia del cantante que estuvo MASKTOKEN con los periodistas.,Amelia se fotografió con la novia del cantante que estuvo,$ES_Adj_m
5,Spanish,5,high,m,0,0,el novio,de la cantante,Amelia se fotografió con el novio de la cantante que estuvo MASKTOKEN con los periodistas.,Amelia se fotografió con el novio de la cantante que estuvo,$ES_Adj_m
5,Spanish,5,ambi,f,0,0,la novia,de la cantante,Amelia se fotografió con la novia de la cantante que estuvo MASKTOKEN con los periodistas.,Amelia se fotografió con la novia de la cantante que estuvo,$ES_Adj_f
5,Spanish,5,low,f,0,0,el novio,de la cantante,Amelia se fotografió con el novio de la cantante que estuvo MASKTOKEN con los periodistas.,Amelia se fotografió con el novio de la cantante que estuvo,$ES_Adj_f
5,Spanish,5,high,f,0,0,la novia,del cantante,Amelia se fotografió con la novia del cantante que estuvo MASKTOKEN con los periodistas.,Amelia se fotografió con la novia del cantante que estuvo,$ES_Adj_f
6,Spanish,5,ambi,m,0,0,al hijo,del diputado,El periodista entrevistó al hijo del diputado que se quedó MASKTOKEN.,El periodista entrevistó al hijo del diputado que se quedó,$ES_Adj_m
6,Spanish,5,low,m,0,0,a la hija,del diputado,El periodista entrevistó a la hija del diputado que se quedó MASKTOKEN.,El periodista entrevistó a la hija del diputado que se quedó,$ES_Adj_m
6,Spanish,5,high,m,0,0,al hijo,de la diputada,El periodista entrevistó al hijo de la diputada que se quedó MASKTOKEN.,El periodista entrevistó al hijo de la diputada que se quedó,$ES_Adj_m
6,Spanish,5,ambi,f,0,0,a la hija,de la diputada,El periodista entrevistó a la hija de la diputada que se quedó MASKTOKEN.,El periodista entrevistó a la hija de la diputada que se quedó,$ES_Adj_f
6,Spanish,5,low,f,0,0,al hijo,de la diputada,El periodista entrevistó al hijo de la diputada que se quedó MASKTOKEN.,El periodista entrevistó al hijo de la diputada que se quedó,$ES_Adj_f
6,Spanish,5,high,f,0,0,a la hija,del diputado,El periodista entrevistó a la hija del diputado que se quedó MASKTOKEN.,El periodista entrevistó a la hija del diputado que se quedó,$ES_Adj_f
7,Spanish,5,ambi,m,0,0,el sobrino,del conserje,Andrés cenó ayer con el sobrino del conserje que trabajó de MASKTOKEN en su empresa.,Andrés cenó ayer con el sobrino del conserje que trabajó de,$ES_Adj_m
7,Spanish,5,low,m,0,0,la sobrina,del conserje,Andrés cenó ayer con la sobrina del conserje que trabajó de MASKTOKEN en su empresa.,Andrés cenó ayer con la sobrina del conserje que trabajó de,$ES_Adj_m
7,Spanish,5,high,m,0,0,el sobrino,de la conserje,Andrés cenó ayer con el sobrino de la conserje que trabajó de MASKTOKEN en su empresa.,Andrés cenó ayer con el sobrino de la conserje que trabajó de,$ES_Adj_m
7,Spanish,5,ambi,f,0,0,la sobrina,de la conserje,Andrés cenó ayer con la sobrina de la conserje que trabajó de MASKTOKEN en su empresa.,Andrés cenó ayer con la sobrina de la conserje que trabajó de,$ES_Adj_f
7,Spanish,5,low,f,0,0,el sobrino,de la conserje,Andrés cenó ayer con el sobrino de la conserje que trabajó de MASKTOKEN en su empresa.,Andrés cenó ayer con el sobrino de la conserje que trabajó de,$ES_Adj_f
7,Spanish,5,high,f,0,0,la sobrina,del conserje,Andrés cenó ayer con la sobrina del conserje que trabajó de MASKTOKEN en su empresa.,Andrés cenó ayer con la sobrina del conserje que trabajó de,$ES_Adj_f
8,Spanish,5,ambi,m,0,1,el hijo,del obrero,María salió al cine con el hijo del obrero que estaba MASKTOKEN.,María salió al cine con el hijo del obrero que estaba,$ES_Adj_m
8,Spanish,5,low,m,0,1,la hija,del obrero,María salió al cine con la hija del obrero que estaba MASKTOKEN.,María salió al cine con la hija del obrero que estaba,$ES_Adj_m
8,Spanish,5,high,m,0,1,el hijo,de la obrera,María salió al cine con el hijo de la obrera que estaba MASKTOKEN.,María salió al cine con el hijo de la obrera que estaba,$ES_Adj_m
8,Spanish,5,ambi,f,0,1,la hija,de la obrera,María salió al cine con la hija de la obrera que estaba MASKTOKEN.,María salió al cine con la hija de la obrera que estaba,$ES_Adj_f
8,Spanish,5,low,f,0,1,el hijo,de la obrera,María salió al cine con el hijo de la obrera que estaba MASKTOKEN.,María salió al cine con el hijo de la obrera que estaba,$ES_Adj_f
8,Spanish,5,high,f,0,1,la hija,del obrero,María salió al cine con la hija del obrero que estaba MASKTOKEN.,María salió al cine con la hija del obrero que estaba,$ES_Adj_f
9,Spanish,5,ambi,m,0,0,del sobrino,del maestro,Los chicos se burlaron del sobrino del maestro que estaba MASKTOKEN en el parque.,Los chicos se burlaron del sobrino del maestro que estaba,$ES_Adj_m
9,Spanish,5,low,m,0,0,de la sobrina,del maestro,Los chicos se burlaron de la sobrina del maestro que estaba MASKTOKEN en el parque.,Los chicos se burlaron de la sobrina del maestro que estaba,$ES_Adj_m
9,Spanish,5,high,m,0,0,del sobrino,de la maestra,Los chicos se burlaron del sobrino de la maestra que estaba MASKTOKEN en el parque.,Los chicos se burlaron del sobrino de la maestra que estaba,$ES_Adj_m
9,Spanish,5,ambi,f,0,0,de la sobrina,de la maestra,Los chicos se burlaron de la sobrina de la maestra que estaba MASKTOKEN en el parque.,Los chicos se burlaron de la sobrina de la maestra que estaba,$ES_Adj_f
9,Spanish,5,low,f,0,0,del sobrino,de la maestra,Los chicos se burlaron del sobrino de la maestra que estaba MASKTOKEN en el parque.,Los chicos se burlaron del sobrino de la maestra que estaba,$ES_Adj_f
9,Spanish,5,high,f,0,0,de la sobrina,del maestro,Los chicos se burlaron de la sobrina del maestro que estaba MASKTOKEN en el parque.,Los chicos se burlaron de la sobrina del maestro que estaba,$ES_Adj_f
10,Spanish,5,ambi,m,0,1,el sirviente,del rey,Mi madre discutió con el sirviente del rey que estuvo MASKTOKEN la semana pasada.,Mi madre discutió con el sirviente del rey que estuvo,$ES_Adj_m
10,Spanish,5,low,m,0,1,la sirvienta,del rey,Mi madre discutió con la sirvienta del rey que estuvo MASKTOKEN la semana pasada.,Mi madre discutió con la sirvienta del rey que estuvo,$ES_Adj_m
10,Spanish,5,high,m,0,1,el sirviente,de la reina,Mi madre discutió con el sirviente de la reina que estuvo MASKTOKEN la semana pasada.,Mi madre discutió con el sirviente de la reina que estuvo,$ES_Adj_m
10,Spanish,5,ambi,f,0,1,la sirvienta,de la reina,Mi madre discutió con la sirvienta de la reina que estuvo MASKTOKEN la semana pasada.,Mi madre discutió con la sirvienta de la reina que estuvo,$ES_Adj_f
10,Spanish,5,low,f,0,1,el sirviente,de la reina,Mi madre discutió con el sirviente de la reina que estuvo MASKTOKEN la semana pasada.,Mi madre discutió con el sirviente de la reina que estuvo,$ES_Adj_f
10,Spanish,5,high,f,0,1,la sirvienta,del rey,Mi madre discutió con la sirvienta del rey que estuvo MASKTOKEN la semana pasada.,Mi madre discutió con la sirvienta del rey que estuvo,$ES_Adj_f
11,Spanish,5,ambi,m,0,1,al criado,del emperador,La policía detuvo al criado del emperador que estuvo MASKTOKEN antes por escandalo.,La policía detuvo al criado del emperador que estuvo,$ES_Adj_m
11,Spanish,5,low,m,0,1,a la criada,del emperador,La policía detuvo a la criada del emperador que estuvo MASKTOKEN antes por escandalo.,La policía detuvo a la criada del emperador que estuvo,$ES_Adj_m
11,Spanish,5,high,m,0,1,al criado,de la emperatriz,La policía detuvo al criado de la emperatriz que estuvo MASKTOKEN antes por escandalo.,La policía detuvo al criado de la emperatriz que estuvo,$ES_Adj_m
11,Spanish,5,ambi,f,0,1,a la criada,de la emperatriz,La policía detuvo a la criada de la emperatriz que estuvo MASKTOKEN antes por escandalo.,La policía detuvo a la criada de la emperatriz que estuvo,$ES_Adj_f
11,Spanish,5,low,f,0,1,al criado,de la emperatriz,La policía detuvo al criado de la emperatriz que estuvo MASKTOKEN antes por escandalo.,La policía detuvo al criado de la emperatriz que estuvo,$ES_Adj_f
11,Spanish,5,high,f,0,1,a la criada,del emperador,La policía detuvo a la criada del emperador que estuvo MASKTOKEN antes por escandalo.,La policía detuvo a la criada del emperador que estuvo,$ES_Adj_f
12,Spanish,5,ambi,m,1,0,al ayudante,del doctor,Esta tarde he visto al ayudante del doctor que había sido MASKTOKEN el año pasado.,Esta tarde he visto al ayudante del doctor que había sido,$ES_Adj_m
12,Spanish,5,low,m,1,0,a la ayudante,del doctor,Esta tarde he visto a la ayudante del doctor que había sido MASKTOKEN el año pasado.,Esta tarde he visto a la ayudante del doctor que había sido,$ES_Adj_m
12,Spanish,5,high,m,1,0,al ayudante,de la doctora,Esta tarde he visto al ayudante de la doctora que había sido MASKTOKEN el año pasado.,Esta tarde he visto al ayudante de la doctora que había sido,$ES_Adj_m
12,Spanish,5,ambi,f,1,0,a la ayudante,de la doctora,Esta tarde he visto a la ayudante de la doctora que había sido MASKTOKEN el año pasado.,Esta tarde he visto a la ayudante de la doctora que había sido,$ES_Adj_f
12,Spanish,5,low,f,1,0,al ayudante,de la doctora,Esta tarde he visto al ayudante de la doctora que había sido MASKTOKEN el año pasado.,Esta tarde he visto al ayudante de la doctora que había sido,$ES_Adj_f
12,Spanish,5,high,f,1,0,a la ayudante,del doctor,Esta tarde he visto a la ayudante del doctor que había sido MASKTOKEN el año pasado.,Esta tarde he visto a la ayudante del doctor que había sido,$ES_Adj_f
13,Spanish,5,ambi,m,0,1,el abuelo,del chico,Los chicos se reían con el abuelo del chico que estaba MASKTOKEN con un traje nuevo.,Los chicos se reían con el abuelo del chico que estaba,$ES_Adj_m
