item,lang,expType,exp,contrast,N2Prop,AttachType,verbNum,N1_changed,N2_changed,N1_full,N2_full,N1,N2,mask_sents,auto_sents,target,sent,/data/gpt2-xl_prob
1,English,A1,substance,def,0.39,ambi,sg,0,0,the table,of wood,table,wood,In the garage we keep the table of wood that MASKTOKEN carved this Christmas holiday.,In the garage we keep the table of wood that,$SG,In the garage we keep the table of wood that,0.2682171930376498
1,English,A1,substance,def,0.39,low,sg,0,0,the tables,of wood,tables,wood,In the garage we keep the tables of wood that MASKTOKEN carved this Christmas holiday.,In the garage we keep the tables of wood that,$SG,In the garage we keep the tables of wood that,0.03863742192068553
1,English,A1,substance,def,0.39,high,sg,0,0,the table,of woods,table,woods,In the garage we keep the table of woods that MASKTOKEN carved this Christmas holiday.,In the garage we keep the table of woods that,$SG,In the garage we keep the table of woods that,0.06809403634924749
1,English,A1,substance,def,0.39,ambi,pl,0,0,the tables,of woods,tables,woods,In the garage we keep the tables of woods that MASKTOKEN carved this Christmas holiday.,In the garage we keep the tables of woods that,$PL,In the garage we keep the tables of woods that,0.3431402984556531
1,English,A1,substance,def,0.39,low,pl,0,0,the table,of woods,table,woods,In the garage we keep the table of woods that MASKTOKEN carved this Christmas holiday.,In the garage we keep the table of woods that,$PL,In the garage we keep the table of woods that,0.24370086857584639
1,English,A1,substance,def,0.39,high,pl,0,0,the tables,of wood,tables,wood,In the garage we keep the tables of wood that MASKTOKEN carved this Christmas holiday.,In the garage we keep the tables of wood that,$PL,In the garage we keep the tables of wood that,0.36221676374462497
1,English,A1,substance,indef,0.39,ambi,sg,0,0,a table,of wood,table,wood,In the garage we keep a table of wood that MASKTOKEN carved this Christmas holiday.,In the garage we keep a table of wood that,$SG,In the garage we keep a table of wood that,0.2518410293579869
1,English,A1,substance,indef,0.39,low,sg,0,0,some tables,of wood,tables,wood,In the garage we keep some tables of wood that MASKTOKEN carved this Christmas holiday.,In the garage we keep some tables of wood that,$SG,In the garage we keep some tables of wood that,0.0557787932496252
1,English,A1,substance,indef,0.39,high,sg,0,0,a table,of woods,table,woods,In the garage we keep a table of woods that MASKTOKEN carved this Christmas holiday.,In the garage we keep a table of woods that,$SG,In the garage we keep a table of woods that,0.038812476152442876
1,English,A1,substance,indef,0.39,ambi,pl,0,0,some tables,of woods,tables,woods,In the garage we keep some tables of woods that MASKTOKEN carved this Christmas holiday.,In the garage we keep some tables of woods that,$PL,In the garage we keep some tables of woods that,0.35454303379840724
1,English,A1,substance,indef,0.39,low,pl,0,0,a table,of woods,table,woods,In the garage we keep a table of woods that MASKTOKEN carved this Christmas holiday.,In the garage we keep a table of woods that,$PL,In the garage we keep a table of woods that,0.30251802826924035
1,English,A1,substance,indef,0.39,high,pl,0,0,some tables,of wood,tables,wood,In the garage we keep some tables of wood that MASKTOKEN carved this Christmas holiday.,In the garage we keep some tables of wood that,$PL,In the garage we keep some tables of wood that,0.33479164427871666
2,English,A1,substance,def,0.13,ambi,sg,0,1,the lamp,of material,lamp,material,To my sister they gave the lamp of material that MASKTOKEN polished until it looked like marble.,To my sister they gave the lamp of material that,$SG,To my sister they gave the lamp of material that,0.25176242962201556
2,English,A1,substance,def,0.13,low,sg,0,1,the lamps,of material,lamps,material,To my sister they gave the lamps of material that MASKTOKEN polished until it looked like marble.,To my sister they gave the lamps of material that,$SG,To my sister they gave the lamps of material that,0.22318762649141188
2,English,A1,substance,def,0.13,high,sg,0,1,the lamp,of materials,lamp,materials,To my sister they gave the lamp of materials that MASKTOKEN polished until it looked like marble.,To my sister they gave the lamp of materials that,$SG,To my sister they gave the lamp of materials that,0.10284343715726241
2,English,A1,substance,def,0.13,ambi,pl,0,1,the lamps,of materials,lamps,materials,To my sister they gave the lamps of materials that MASKTOKEN polished until it looked like marble.,To my sister they gave the lamps of materials that,$PL,To my sister they gave the lamps of materials that,0.27675817552287896
2,English,A1,substance,def,0.13,low,pl,0,1,the lamp,of materials,lamp,materials,To my sister they gave the lamp of materials that MASKTOKEN polished until it looked like marble.,To my sister they gave the lamp of materials that,$PL,To my sister they gave the lamp of materials that,0.15317811336410259
2,English,A1,substance,def,0.13,high,pl,0,1,the lamps,of material,lamps,material,To my sister they gave the lamps of material that MASKTOKEN polished until it looked like marble.,To my sister they gave the lamps of material that,$PL,To my sister they gave the lamps of material that,0.12577279021743593
2,English,A1,substance,indef,0.13,ambi,sg,0,1,a lamp,of material,lamp,material,To my sister they gave a lamp of material that MASKTOKEN polished until it looked like marble.,To my sister they gave a lamp of material that,$SG,To my sister they gave a lamp of material that,0.3280376956496802
2,English,A1,substance,indef,0.13,low,sg,0,1,some lamps,of material,lamps,material,To my sister they gave some lamps of material that MASKTOKEN polished until it looked like marble.,To my sister they gave some lamps of material that,$SG,To my sister they gave some lamps of material that,0.2302273170723974
2,English,A1,substance,indef,0.13,high,sg,0,1,a lamp,of materials,lamp,materials,To my sister they gave a lamp of materials that MASKTOKEN polished until it looked like marble.,To my sister they gave a lamp of materials that,$SG,To my sister they gave a lamp of materials that,0.12358248159143237
2,English,A1,substance,indef,0.13,ambi,pl,0,1,some lamps,of materials,lamps,materials,To my sister they gave some lamps of materials that MASKTOKEN polished until it looked like marble.,To my sister they gave some lamps of materials that,$PL,To my sister they gave some lamps of materials that,0.26984495738966174
2,English,A1,substance,indef,0.13,low,pl,0,1,a lamp,of materials,lamp,materials,To my sister they gave a lamp of materials that MASKTOKEN polished until it looked like marble.,To my sister they gave a lamp of materials that,$PL,To my sister they gave a lamp of materials that,0.20843378403387547
2,English,A1,substance,indef,0.13,high,pl,0,1,some lamps,of material,lamps,material,To my sister they gave some lamps of material that MASKTOKEN polished until it looked like marble.,To my sister they gave some lamps of material that,$PL,To my sister they gave some lamps of material that,0.13648970484571876
3,English,A1,substance,def,0.3,ambi,sg,1,1,the shirt,of fabric,shirt,fabric,Yesterday they gave me the shirt of fabric that MASKTOKEN illegally imported. ,Yesterday they gave me the shirt of fabric that,$SG,Yesterday they gave me the shirt of fabric that,0.19187850477323032
3,English,A1,substance,def,0.3,low,sg,1,1,the shirts,of fabric,shirts,fabric,Yesterday they gave me the shirts of fabric that MASKTOKEN illegally imported. ,Yesterday they gave me the shirts of fabric that,$SG,Yesterday they gave me the shirts of fabric that,0.09120980607993712
3,English,A1,substance,def,0.3,high,sg,1,1,the shirt,of fabrics,shirt,fabrics,Yesterday they gave me the shirt of fabrics that MASKTOKEN illegally imported. ,Yesterday they gave me the shirt of fabrics that,$SG,Yesterday they gave me the shirt of fabrics that,0.10635560904857044
3,English,A1,substance,def,0.3,ambi,pl,1,1,the shirts,of fabrics,shirts,fabrics,Yesterday they gave me the shirts of fabrics that MASKTOKEN illegally imported. ,Yesterday they gave me the shirts of fabrics that,$PL,Yesterday they gave me the shirts of fabrics that,0.2643846001679613
3,English,A1,substance,def,0.3,low,pl,1,1,the shirt,of fabrics,shirt,fabrics,Yesterday they gave me the shirt of fabrics that MASKTOKEN illegally imported. ,Yesterday they gave me the shirt of fabrics that,$PL,Yesterday they gave me the shirt of fabrics that,0.11709968646398394
3,English,A1,substance,def,0.3,high,pl,1,1,the shirts,of fabric,shirts,fabric,Yesterday they gave me the shirts of fabric that MASKTOKEN illegally imported. ,Yesterday they gave me the shirts of fabric that,$PL,Yesterday they gave me the shirts of fabric that,0.16158106397138638
3,English,A1,substance,indef,0.3,ambi,sg,1,1,a shirt,of fabric,shirt,fabric,Yesterday they gave me a shirt of fabric that MASKTOKEN illegally imported. ,Yesterday they gave me a shirt of fabric that,$SG,Yesterday they gave me a shirt of fabric that,0.33366847498173513
