item,lang,exp,AttachType,verbNum,N1_changed,N2_changed,N1_full,N2_full,N1,N2,mask_sents,auto_sents,target,sent,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_1-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_2-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_3-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_4-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_5-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_6-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_7-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_8-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_9-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_10-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_11-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_12-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_13-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_14-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_15-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_16-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_17-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_18-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_19-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_20-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_21-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_22-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_23-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_24-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_25-d0.2.pt_prob
1a,English,Fernandez,ambi,sg,1,0,the relative,of the teacher,relative,teacher,Andrew had dinner yesterday with the relative of the teacher that MASKTOKEN divorced.,Andrew had dinner yesterday with the relative of the teacher that,$SG,Andrew had dinner yesterday with the relative of the teacher that,0.1683386237678146,0.13150148906278591,0.10648380687839776,0.13648216935337842,0.13307825331387058,0.19126814268336645,0.10829072310656684,0.10875727754432685,0.19099928261076826,0.16454871921892433,0.15066440131138492,0.12634223487810559,0.14041038261703953,0.2026961709219055,0.14884962136527236,0.11748768680384458,0.15646803361631623,0.06165088631204263,0.19697527974438778,0.18526658588646416,0.12256677138132943,0.12042186159625601,0.15369023813764926,0.12933429062080748,0.11989315350256202
1a,English,Fernandez,low,sg,1,0,the relatives,of the teacher,relatives,teacher,Andrew had dinner yesterday with the relatives of the teacher that MASKTOKEN divorced.,Andrew had dinner yesterday with the relatives of the teacher that,$SG,Andrew had dinner yesterday with the relatives of the teacher that,0.17096305340541917,0.10112654026998236,0.12121317456051894,0.11830305250994932,0.11189920401705233,0.08253632904535291,0.09984289680519254,0.06549012273109778,0.08403756589382638,0.1396237259047366,0.1273159844831575,0.05222342830941429,0.09894410496339567,0.13721621096613745,0.10180182780153402,0.08183263962525267,0.10782032757424886,0.10475958161680232,0.07689900212376699,0.13932586693822557,0.05898317487799076,0.1097725888878216,0.12944445043461172,0.09677416972036923,0.09234247310000754
1a,English,Fernandez,high,sg,1,0,the relative,of the teachers,relative,teachers,Andrew had dinner yesterday with the relative of the teachers that MASKTOKEN divorced.,Andrew had dinner yesterday with the relative of the teachers that,$SG,Andrew had dinner yesterday with the relative of the teachers that,0.06634093534004748,0.022123454054149505,0.026264365323575234,0.05446024675212513,0.053001437973589915,0.04607860876671932,0.06738491343982567,0.021910364832821827,0.04644619701933017,0.05316152028864973,0.028313521422212773,0.02099940821992874,0.029806610012675705,0.049274078789718345,0.07454198424356662,0.040848006963116745,0.05854329269697356,0.04424401388772026,0.1138318753302876,0.05077720311031264,0.04328793289708166,0.03176822418262937,0.037691182010567204,0.03886034186882892,0.030606922261702252
1a,English,Fernandez,ambi,pl,1,0,the relatives,of the teachers,relatives,teachers,Andrew had dinner yesterday with the relatives of the teachers that MASKTOKEN divorced.,Andrew had dinner yesterday with the relatives of the teachers that,$PL,Andrew had dinner yesterday with the relatives of the teachers that,0.17220226670817063,0.19773229068828968,0.16033144201811922,0.16962987308851218,0.16925575410971483,0.25164110651427674,0.19138705601715333,0.13498631556304463,0.18467312342615116,0.09329432737432519,0.15358815309874885,0.25166887236300184,0.18932794428184607,0.17141914807134917,0.13605173862749353,0.14150215450792203,0.14351241526246383,0.14443688462405824,0.14689211392325774,0.18460034537110825,0.14123915092639727,0.11957463264098411,0.12567878420385625,0.21734812853674157,0.16667056640067734
1a,English,Fernandez,low,pl,1,0,the relative,of the teachers,relative,teachers,Andrew had dinner yesterday with the relative of the teachers that MASKTOKEN divorced.,Andrew had dinner yesterday with the relative of the teachers that,$PL,Andrew had dinner yesterday with the relative of the teachers that,0.1452452319466424,0.16458684012782498,0.1116222990438338,0.10505714289282331,0.1276970225143632,0.14924595243017968,0.13107710400866956,0.11227284301308771,0.14079852168530493,0.07932237457265057,0.16510940288507925,0.1788058474257106,0.17530185587094138,0.17727102727277355,0.07970583030137846,0.09720505501649157,0.11555642803323707,0.06421739434784968,0.11661773459078972,0.14475751736751796,0.10454499443581078,0.1115885424572598,0.1199703494844897,0.17237999688129335,0.13228160284105783
1a,English,Fernandez,high,pl,1,0,the relatives,of the teacher,relatives,teacher,Andrew had dinner yesterday with the relatives of the teacher that MASKTOKEN divorced.,Andrew had dinner yesterday with the relatives of the teacher that,$PL,Andrew had dinner yesterday with the relatives of the teacher that,0.03252618399906826,0.047541074500992764,0.044343339433780216,0.07553607349490221,0.047122678388983985,0.09251558266983917,0.08265636831054834,0.04900715498903807,0.06074651055639535,0.047134365730211236,0.057448315622504964,0.11478798325293127,0.0478222934317607,0.08458564515779088,0.06658895264850173,0.04469214806882249,0.06860756675320623,0.06851022277966123,0.06100103315959693,0.04066854150719834,0.042409140862083916,0.05657337634843529,0.05315618192771154,0.04131529454517491,0.06734830944989234
2a,English,Fernandez,ambi,sg,0,1,the coach,of the athlete,coach,athlete,The journalist interviewed the coach of the athlete that MASKTOKEN sick.,The journalist interviewed the coach of the athlete that,$SG,The journalist interviewed the coach of the athlete that,0.11683472302462761,0.13010746174655452,0.1536974422386841,0.13304238466564655,0.12442451521701159,0.07907675134579151,0.06948108923933205,0.07011476993288923,0.13624294982361373,0.0881955913656789,0.13771897001704758,0.11377773655719636,0.1624998251443177,0.1792489712807548,0.059003595588137614,0.18458365919484443,0.046641784582218904,0.11496771543806616,0.12583545156054932,0.108768498018053,0.09809803108247728,0.08137000608998335,0.07808313651544019,0.08565766298712774,0.09581175606135339
2a,English,Fernandez,low,sg,0,1,the coaches,of the athlete,coaches,athlete,The journalist interviewed the coaches of the athlete that MASKTOKEN sick.,The journalist interviewed the coaches of the athlete that,$SG,The journalist interviewed the coaches of the athlete that,0.14998880509022072,0.08762124889667255,0.09898313499951117,0.07940164774608505,0.10332229211552146,0.05936668989210858,0.0581975795605274,0.06647522913177184,0.05817555697781529,0.0855600363153961,0.07716747134553259,0.09620231274885782,0.09136406530469898,0.10036984524123405,0.023103862818521392,0.11557538233732423,0.030188661480072376,0.0709122935941835,0.035550908719558905,0.09408652933003481,0.0634647049626631,0.07367477466686623,0.0847922770125038,0.04833609015661011,0.05546850979314755
2a,English,Fernandez,high,sg,0,1,the coach,of the athletes,coach,athletes,The journalist interviewed the coach of the athletes that MASKTOKEN sick.,The journalist interviewed the coach of the athletes that,$SG,The journalist interviewed the coach of the athletes that,0.056109974446261646,0.029499941204507607,0.052890543195994066,0.0360991878773973,0.041360565978763475,0.04904569126893321,0.054929972200955746,0.02405762047353477,0.05987925277118844,0.05545272722307004,0.028221020601662872,0.025463032007447595,0.025465638044417815,0.024378997357132448,0.039069616573822685,0.049280267369940844,0.023008450461108332,0.05040862462975859,0.06208157770316536,0.07933435848019776,0.055315622692577726,0.028543893696240108,0.05489175760988729,0.04527957721217035,0.02535944865347517
2a,English,Fernandez,ambi,pl,0,1,the coaches,of the athletes,coaches,athletes,The journalist interviewed the coaches of the athletes that MASKTOKEN sick.,The journalist interviewed the coaches of the athletes that,$PL,The journalist interviewed the coaches of the athletes that,0.1414162628469029,0.20072023848490872,0.12954319064617437,0.10619743873302312,0.20032553039562373,0.09025917874617306,0.12051931675347305,0.1894164718069753,0.1818321994167711,0.13975856605636494,0.23076576965183193,0.19617974104278346,0.22959895368448002,0.2245377284877339,0.14407960537696596,0.1881128903127518,0.058348026966330124,0.1604922304540608,0.09196893011314522,0.17041536136930446,0.17422835277389126,0.09142023111561848,0.11675925307191903,0.19440225110525944,0.13409526654912085
