item,cond,adjunct,contrast,pronoun,og_sent,sent,mask_sents,auto_sents,target,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_1-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_2-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_3-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_4-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_5-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_6-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_7-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_8-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_9-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_10-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_11-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_12-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_13-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_14-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_15-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_16-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_17-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_18-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_19-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_20-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_21-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_22-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_23-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_24-d0.2.pt_surp,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_25-d0.2.pt_surp
1,CATAMARAN-OBJ-Misma,Constraint,Mismatch,her,"Before offering her a fancy pastry, Michael politely asked Emily whether he had any preference.","Before offering her a fancy pastry, the","Before offering her a fancy pastry, the MASKTOKEN politely asked Emily whether he had any preference.","Before offering her a fancy pastry, the",man,8.607231140136719,8.566999435424805,7.936708927154541,8.890942573547363,8.830204010009766,9.134073257446289,9.098847389221191,8.64208984375,8.476236343383789,7.927746772766113,9.250428199768066,7.8975911140441895,8.150557518005371,8.762943267822266,8.108220100402832,8.598876953125,8.536712646484375,8.00012493133545,8.303815841674805,7.700242519378662,8.764700889587402,8.668694496154785,8.522350311279297,7.509735107421875,9.059836387634277
1,CATAMARAN-OBJ-Match,Constraint,Match,him,"Before offering him a fancy pastry, Michael politely asked Tyler whether he had any preference.","Before offering him a fancy pastry, the","Before offering him a fancy pastry, the MASKTOKEN politely asked Tyler whether he had any preference.","Before offering him a fancy pastry, the",man,8.218219757080078,8.234953880310059,7.7177557945251465,8.574240684509277,8.318385124206543,8.8543701171875,8.751872062683105,8.319633483886719,8.14688491821289,7.946193218231201,8.670467376708984,7.653417587280273,7.792148590087891,8.440439224243164,7.85164213180542,8.160857200622559,8.223469734191895,7.517414569854736,8.089313507080078,7.182092189788818,8.646186828613281,8.460526466369629,8.351404190063477,7.110357761383057,8.737699508666992
1,CATAMARAN-GEN-Misma,No Constraint,Mismatch,her,"Before offering her son a fancy pastry, Michael politely asked Emily whether he had any preference.","Before offering her son a fancy pastry, the","Before offering her son a fancy pastry, the MASKTOKEN politely asked Emily whether he had any preference.","Before offering her son a fancy pastry, the",man,8.269866943359375,8.30451488494873,7.776467800140381,8.678153991699219,8.601651191711426,8.94809341430664,8.419088363647461,8.40013599395752,7.969102382659912,7.670156955718994,8.83459758758545,7.434895038604736,8.035561561584473,8.607696533203125,7.865717887878418,8.069496154785156,7.917486667633057,7.682662487030029,8.146241188049316,7.452239513397217,8.528138160705566,8.54550552368164,8.247937202453613,7.328575611114502,8.817377090454102
1,CATAMARAN-GEN-Match,No Constraint,Match,his,"Before offering his son a fancy pastry, Michael politely asked Tyler whether he had any preference.","Before offering his son a fancy pastry, the","Before offering his son a fancy pastry, the MASKTOKEN politely asked Tyler whether he had any preference.","Before offering his son a fancy pastry, the",man,7.957386016845703,7.7732110023498535,7.562385082244873,8.30033016204834,8.191367149353027,8.315140724182129,8.122227668762207,8.199642181396484,7.687441349029541,7.593210220336914,8.441488265991211,7.486533164978027,7.80237340927124,8.264325141906738,7.602719306945801,7.657784938812256,7.542562007904053,7.277414321899414,7.929423809051514,6.996979236602783,8.388845443725586,8.387510299682617,7.871095657348633,6.953009605407715,8.731830596923828
2,CATAMARAN-GEN-Match,No Constraint,Match,his,"While driving his daughter to school on Friday, Christopher casually told Juan that he would pick up everyone early for a surprise.","While driving his daughter to school on Friday, the","While driving his daughter to school on Friday, the MASKTOKEN casually told Juan that he would pick up everyone early for a surprise.","While driving his daughter to school on Friday, the",man,9.361601829528809,8.28678035736084,9.218164443969727,7.268305778503418,8.068373680114746,8.953649520874023,8.32162857055664,8.034283638000488,8.268412590026855,7.691416263580322,10.195857048034668,8.272205352783203,8.679930686950684,7.851931095123291,9.565077781677246,9.322993278503418,7.7352070808410645,8.751197814941406,9.352411270141602,8.635640144348145,8.497089385986328,8.950922012329102,7.794616222381592,8.447835922241211,9.082460403442383
2,CATAMARAN-OBJ-Misma,Constraint,Mismatch,her,"While driving her to school on Friday, Christopher casually told Hannah that he would pick up everyone early for a surprise.","While driving her to school on Friday, the","While driving her to school on Friday, the MASKTOKEN casually told Hannah that he would pick up everyone early for a surprise.","While driving her to school on Friday, the",man,9.92635726928711,8.704792022705078,9.34720230102539,7.6984758377075195,8.505504608154297,9.531493186950684,8.267234802246094,8.27641487121582,8.581103324890137,7.783249378204346,10.95598030090332,8.873370170593262,9.12669849395752,8.56814956665039,10.053751945495605,9.338817596435547,8.403009414672852,9.633938789367676,9.80912971496582,9.011056900024414,8.765130043029785,9.446474075317383,8.466444969177246,8.433974266052246,9.4108247756958
2,CATAMARAN-OBJ-Match,Constraint,Match,him,"While driving him to school on Friday, Christopher casually told Juan that he would pick up everyone early for a surprise.","While driving him to school on Friday, the","While driving him to school on Friday, the MASKTOKEN casually told Juan that he would pick up everyone early for a surprise.","While driving him to school on Friday, the",man,9.447765350341797,8.518420219421387,9.042977333068848,7.190941333770752,7.918064594268799,9.063014030456543,8.104326248168945,7.9786834716796875,8.326848030090332,7.435291290283203,10.594144821166992,8.477119445800781,8.763371467590332,7.915995121002197,9.686493873596191,8.890456199645996,8.007871627807617,8.839200019836426,9.239761352539062,7.957901954650879,8.418098449707031,8.84931755065918,8.09896183013916,8.130071640014648,8.881486892700195
2,CATAMARAN-GEN-Misma,No Constraint,Mismatch,her,"While driving her daughter to school on Friday, Christopher casually told Hannah that he would pick up everyone early for a surprise.","While driving her daughter to school on Friday, the","While driving her daughter to school on Friday, the MASKTOKEN casually told Hannah that he would pick up everyone early for a surprise.","While driving her daughter to school on Friday, the",man,9.494918823242188,8.34811019897461,9.503292083740234,7.43881893157959,8.560724258422852,9.188220977783203,8.381767272949219,8.107577323913574,8.45082950592041,7.647501468658447,10.515860557556152,8.310816764831543,8.829788208007812,8.271236419677734,9.82775592803955,9.531000137329102,7.900204658508301,9.344533920288086,9.540742874145508,8.89571475982666,8.553547859191895,9.284512519836426,8.036431312561035,8.446663856506348,9.223442077636719
3,CATAMARAN-GEN-Misma,No Constraint,Mismatch,her,"While baking her friends some cookies, Nicholas happily informed Kayla about all the positive new changes in his life.","While baking her friends some cookies, the","While baking her friends some cookies, the MASKTOKEN happily informed Kayla about all the positive new changes in his life.","While baking her friends some cookies, the",man,8.692238807678223,9.046188354492188,8.461470603942871,9.337591171264648,8.760505676269531,8.86609172821045,8.86640453338623,9.249810218811035,8.510811805725098,8.506330490112305,9.244271278381348,7.833453178405762,9.164708137512207,8.491891860961914,8.905125617980957,9.019939422607422,8.016679763793945,8.33047103881836,8.63162899017334,7.905167102813721,8.394298553466797,8.869624137878418,8.784737586975098,8.356233596801758,8.909688949584961
3,CATAMARAN-GEN-Match,No Constraint,Match,his,"While baking his friends some cookies, Nicholas happily informed Luke about all the positive new changes in his life.","While baking his friends some cookies, the","While baking his friends some cookies, the MASKTOKEN happily informed Luke about all the positive new changes in his life.","While baking his friends some cookies, the",man,8.334691047668457,8.606037139892578,8.111207008361816,8.895780563354492,7.908866882324219,8.590325355529785,8.560457229614258,9.020169258117676,8.249541282653809,8.247453689575195,8.682580947875977,7.641164302825928,8.76915168762207,7.94234037399292,8.54864501953125,8.600325584411621,7.664520263671875,7.677012920379639,8.514422416687012,7.353821277618408,8.129974365234375,8.65860366821289,8.32938003540039,8.048954010009766,8.642141342163086
