exp,verb,pairNum,mask_sents,auto_sents,target,bias,antecedent,gender,IC,sent,/data/gpt2-xl_prob,/data/transfo-xl-wt103_prob
ic_mismatch,abandoned,0,The man was abandoned by the woman because MASKTOKEN was there.,The man was abandoned by the woman because,he,33,subj,m,subj,The man was abandoned by the woman because,0.31226691603660583,0.1495743840932846
ic_mismatch,abandoned,0,The man was abandoned by the woman because MASKTOKEN was there.,The man was abandoned by the woman because,she,33,obj,f,subj,The man was abandoned by the woman because,0.2764468789100647,0.1878233104944229
ic_mismatch,abandoned,0,The woman was abandoned by the man because MASKTOKEN was there.,The woman was abandoned by the man because,he,33,obj,m,subj,The woman was abandoned by the man because,0.2674099802970886,0.2214062511920929
ic_mismatch,abandoned,0,The woman was abandoned by the man because MASKTOKEN was there.,The woman was abandoned by the man because,she,33,subj,f,subj,The woman was abandoned by the man because,0.3072175979614258,0.09500483423471451
ic_mismatch,acclaimed,0,The man was acclaimed by the woman because MASKTOKEN was there.,The man was acclaimed by the woman because,he,-58,subj,m,obj,The man was acclaimed by the woman because,0.44834887981414795,0.16217096149921417
ic_mismatch,acclaimed,0,The man was acclaimed by the woman because MASKTOKEN was there.,The man was acclaimed by the woman because,she,-58,obj,f,obj,The man was acclaimed by the woman because,0.15898869931697845,0.0343911312520504
ic_mismatch,acclaimed,0,The woman was acclaimed by the man because MASKTOKEN was there.,The woman was acclaimed by the man because,he,-58,obj,m,obj,The woman was acclaimed by the man because,0.19457899034023285,0.10763358324766159
ic_mismatch,acclaimed,0,The woman was acclaimed by the man because MASKTOKEN was there.,The woman was acclaimed by the man because,she,-58,subj,f,obj,The woman was acclaimed by the man because,0.42337802052497864,0.09567023813724518
ic_mismatch,accompanied,0,The man was accompanied by the woman because MASKTOKEN was there.,The man was accompanied by the woman because,he,-48,subj,m,obj,The man was accompanied by the woman because,0.25706687569618225,0.19773583114147186
ic_mismatch,accompanied,0,The man was accompanied by the woman because MASKTOKEN was there.,The man was accompanied by the woman because,she,-48,obj,f,obj,The man was accompanied by the woman because,0.21895690262317657,0.1278572827577591
ic_mismatch,accompanied,0,The woman was accompanied by the man because MASKTOKEN was there.,The woman was accompanied by the man because,he,-48,obj,m,obj,The woman was accompanied by the man because,0.148434117436409,0.19611968100070953
ic_mismatch,accompanied,0,The woman was accompanied by the man because MASKTOKEN was there.,The woman was accompanied by the man because,she,-48,subj,f,obj,The woman was accompanied by the man because,0.2823583483695984,0.08890172094106674
ic_mismatch,accused,0,The man was accused by the woman because MASKTOKEN was there.,The man was accused by the woman because,he,2,subj,m,subj,The man was accused by the woman because,0.4144364893436432,0.14748609066009521
ic_mismatch,accused,0,The man was accused by the woman because MASKTOKEN was there.,The man was accused by the woman because,she,2,obj,f,subj,The man was accused by the woman because,0.24487270414829254,0.09896271675825119
ic_mismatch,accused,0,The woman was accused by the man because MASKTOKEN was there.,The woman was accused by the man because,he,2,obj,m,subj,The woman was accused by the man because,0.22424359619617462,0.15773534774780273
ic_mismatch,accused,0,The woman was accused by the man because MASKTOKEN was there.,The woman was accused by the man because,she,2,subj,f,subj,The woman was accused by the man because,0.44107139110565186,0.0900777280330658
ic_mismatch,admired,0,The man was admired by the woman because MASKTOKEN was there.,The man was admired by the woman because,he,-92,subj,m,obj,The man was admired by the woman because,0.4940498471260071,0.1464836448431015
ic_mismatch,admired,0,The man was admired by the woman because MASKTOKEN was there.,The man was admired by the woman because,she,-92,obj,f,obj,The man was admired by the woman because,0.09575565159320831,0.0492701530456543
ic_mismatch,admired,0,The woman was admired by the man because MASKTOKEN was there.,The woman was admired by the man because,he,-92,obj,m,obj,The woman was admired by the man because,0.14025916159152985,0.1268526315689087
ic_mismatch,admired,0,The woman was admired by the man because MASKTOKEN was there.,The woman was admired by the man because,she,-92,subj,f,obj,The woman was admired by the man because,0.4860783517360687,0.08705280721187592
ic_mismatch,admonished,0,The man was admonished by the woman because MASKTOKEN was there.,The man was admonished by the woman because,he,-32,subj,m,obj,The man was admonished by the woman because,0.47405868768692017,0.22958233952522278
ic_mismatch,admonished,0,The man was admonished by the woman because MASKTOKEN was there.,The man was admonished by the woman because,she,-32,obj,f,obj,The man was admonished by the woman because,0.15017783641815186,0.13742205500602722
ic_mismatch,admonished,0,The woman was admonished by the man because MASKTOKEN was there.,The woman was admonished by the man because,he,-32,obj,m,obj,The woman was admonished by the man because,0.17007283866405487,0.25166913866996765
ic_mismatch,admonished,0,The woman was admonished by the man because MASKTOKEN was there.,The woman was admonished by the man because,she,-32,subj,f,obj,The woman was admonished by the man because,0.3149382770061493,0.09718627482652664
ic_mismatch,adored,0,The man was adored by the woman because MASKTOKEN was there.,The man was adored by the woman because,he,-74,subj,m,obj,The man was adored by the woman because,0.4451356530189514,0.13091444969177246
ic_mismatch,adored,0,The man was adored by the woman because MASKTOKEN was there.,The man was adored by the woman because,she,-74,obj,f,obj,The man was adored by the woman because,0.1453978717327118,0.059678152203559875
ic_mismatch,adored,0,The woman was adored by the man because MASKTOKEN was there.,The woman was adored by the man because,he,-74,obj,m,obj,The woman was adored by the man because,0.1782407909631729,0.12499603629112244
ic_mismatch,adored,0,The woman was adored by the man because MASKTOKEN was there.,The woman was adored by the man because,she,-74,subj,f,obj,The woman was adored by the man because,0.4380483627319336,0.08183938264846802
ic_mismatch,advised,0,The man was advised by the woman because MASKTOKEN was there.,The man was advised by the woman because,he,-28,subj,m,obj,The man was advised by the woman because,0.32935670018196106,0.17972667515277863
ic_mismatch,advised,0,The man was advised by the woman because MASKTOKEN was there.,The man was advised by the woman because,she,-28,obj,f,obj,The man was advised by the woman because,0.22927016019821167,0.10055364668369293
ic_mismatch,advised,0,The woman was advised by the man because MASKTOKEN was there.,The woman was advised by the man because,he,-28,obj,m,obj,The woman was advised by the man because,0.16978633403778076,0.16968442499637604
ic_mismatch,advised,0,The woman was advised by the man because MASKTOKEN was there.,The woman was advised by the man because,she,-28,subj,f,obj,The woman was advised by the man because,0.37459808588027954,0.07105666399002075
