item,lang,expType,exp,contrast,N2Prop,AttachType,verbNum,N1_changed,N2_changed,N1_full,N2_full,N1,N2,mask_sents,auto_sents,target,sent,/data/new_es_models/es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt_prob,/data/new_es_models/es_lstm_hidden650_batch64_dropout0.2_lr20_1.pt_prob,/data/new_es_models/es_lstm_hidden650_batch64_dropout0.2_lr20_2.pt_prob,/data/new_es_models/es_lstm_hidden650_batch64_dropout0.2_lr20_3.pt_prob,/data/new_es_models/es_lstm_hidden650_batch64_dropout0.2_lr20_4.pt_prob
1,Spanish,A1,substance,def,0.06,ambi,sg,0,1,la mesa,de material,mesa,material,En el garaje guardamos la mesa de material que MASKTOKEN estas Navidades.,En el garaje guardamos la mesa de material que,$ES_SG,En el garaje guardamos la mesa de material que,0.36060464262960323,0.07620706261171517,0.09561816397989353,0.35486248711742974,0.37654620201738
1,Spanish,A1,substance,def,0.06,low,sg,0,1,las mesas,de material,mesas,material,En el garaje guardamos las mesas de material que MASKTOKEN estas Navidades.,En el garaje guardamos las mesas de material que,$ES_SG,En el garaje guardamos las mesas de material que,0.10135617466008107,0.11381947230983058,0.09792940434223307,0.12383689801345099,0.04852448387030961
1,Spanish,A1,substance,def,0.06,high,sg,0,1,la mesa,de materiales,mesa,materiales,En el garaje guardamos la mesa de materiales que MASKTOKEN estas Navidades.,En el garaje guardamos la mesa de materiales que,$ES_SG,En el garaje guardamos la mesa de materiales que,0.23885776394769564,0.08745925390593623,0.09845979877579622,0.18445963698434298,0.33241810865882826
1,Spanish,A1,substance,def,0.06,ambi,pl,0,1,las mesas,de materiales,mesas,materiales,En el garaje guardamos las mesas de materiales que MASKTOKEN estas Navidades.,En el garaje guardamos las mesas de materiales que,$ES_PL,En el garaje guardamos las mesas de materiales que,0.31294256656416053,0.020959773024681994,0.01807958236202034,0.30417784744167875,0.3313236225703804
1,Spanish,A1,substance,def,0.06,low,pl,0,1,la mesa,de materiales,mesa,materiales,En el garaje guardamos la mesa de materiales que MASKTOKEN estas Navidades.,En el garaje guardamos la mesa de materiales que,$ES_PL,En el garaje guardamos la mesa de materiales que,0.15815278159547574,0.01176763333211256,0.01161401435372239,0.17052096189729582,0.07122220158990444
1,Spanish,A1,substance,def,0.06,high,pl,0,1,las mesas,de material,mesas,material,En el garaje guardamos las mesas de material que MASKTOKEN estas Navidades.,En el garaje guardamos las mesas de material que,$ES_PL,En el garaje guardamos las mesas de material que,0.30937613508122297,0.00793144526178935,0.007463324411974059,0.21446959433939128,0.3048027690466597
1,Spanish,A1,substance,indef,0.06,ambi,sg,0,1,una mesa,de material,mesa,material,En el garaje guardamos una mesa de material que MASKTOKEN estas Navidades.,En el garaje guardamos una mesa de material que,$ES_SG,En el garaje guardamos una mesa de material que,0.43210340561089566,0.07725289128354973,0.10389854530191106,0.39366018854630624,0.3822517424675169
1,Spanish,A1,substance,indef,0.06,low,sg,0,1,unas mesas,de material,mesas,material,En el garaje guardamos unas mesas de material que MASKTOKEN estas Navidades.,En el garaje guardamos unas mesas de material que,$ES_SG,En el garaje guardamos unas mesas de material que,0.07647771360532296,0.09885727299543745,0.10263693501081878,0.049296676573362674,0.04059970284295744
1,Spanish,A1,substance,indef,0.06,high,sg,0,1,una mesa,de materiales,mesa,materiales,En el garaje guardamos una mesa de materiales que MASKTOKEN estas Navidades.,En el garaje guardamos una mesa de materiales que,$ES_SG,En el garaje guardamos una mesa de materiales que,0.2621766165805788,0.06256205058170133,0.09439251349105665,0.21597553411658055,0.35513586274595355
1,Spanish,A1,substance,indef,0.06,ambi,pl,0,1,unas mesas,de materiales,mesas,materiales,En el garaje guardamos unas mesas de materiales que MASKTOKEN estas Navidades.,En el garaje guardamos unas mesas de materiales que,$ES_PL,En el garaje guardamos unas mesas de materiales que,0.4546895679835785,0.019537526551406892,0.014243768739037488,0.34176272166689614,0.3699694919210401
1,Spanish,A1,substance,indef,0.06,low,pl,0,1,una mesa,de materiales,mesa,materiales,En el garaje guardamos una mesa de materiales que MASKTOKEN estas Navidades.,En el garaje guardamos una mesa de materiales que,$ES_PL,En el garaje guardamos una mesa de materiales que,0.20189406094556261,0.011291372607229011,0.013357008432220985,0.16194637386234945,0.07342926503378067
1,Spanish,A1,substance,indef,0.06,high,pl,0,1,unas mesas,de material,mesas,material,En el garaje guardamos unas mesas de material que MASKTOKEN estas Navidades.,En el garaje guardamos unas mesas de material que,$ES_PL,En el garaje guardamos unas mesas de material que,0.4465632784547324,0.008228359661239859,0.0060487074938602725,0.3268825662353265,0.3553458458497971
2,Spanish,A1,substance,def,0.24,ambi,sg,1,1,la vela,de mineral,vela,mineral,A mi hermana le regalaron la vela de mineral que MASKTOKEN en la bodega. ,A mi hermana le regalaron la vela de mineral que,$ES_SG,A mi hermana le regalaron la vela de mineral que,0.2418652253520861,0.08630407243245997,0.07533354921970936,0.23146487899879276,0.15941488326726017
2,Spanish,A1,substance,def,0.24,low,sg,1,1,las velas,de mineral,velas,mineral,A mi hermana le regalaron las velas de mineral que MASKTOKEN en la bodega. ,A mi hermana le regalaron las velas de mineral que,$ES_SG,A mi hermana le regalaron las velas de mineral que,0.13998808626834958,0.08515898121883625,0.05793670246635663,0.11293459616443613,0.08848724916423123
2,Spanish,A1,substance,def,0.24,high,sg,1,1,la vela,de minerales,vela,minerales,A mi hermana le regalaron la vela de minerales que MASKTOKEN en la bodega. ,A mi hermana le regalaron la vela de minerales que,$ES_SG,A mi hermana le regalaron la vela de minerales que,0.17843876537403958,0.030546215049183534,0.028971720723831362,0.1344707387094104,0.07600386194530273
2,Spanish,A1,substance,def,0.24,ambi,pl,1,1,las velas,de minerales,velas,minerales,A mi hermana le regalaron las velas de minerales que MASKTOKEN en la bodega. ,A mi hermana le regalaron las velas de minerales que,$ES_PL,A mi hermana le regalaron las velas de minerales que,0.1410127656757254,0.02093965391270411,0.04547205417582423,0.14250502116679797,0.15259535052005901
2,Spanish,A1,substance,def,0.24,low,pl,1,1,la vela,de minerales,vela,minerales,A mi hermana le regalaron la vela de minerales que MASKTOKEN en la bodega. ,A mi hermana le regalaron la vela de minerales que,$ES_PL,A mi hermana le regalaron la vela de minerales que,0.04865167081584332,0.014646570481181564,0.029044379251058794,0.07752876251861096,0.11050634519479274
2,Spanish,A1,substance,def,0.24,high,pl,1,1,las velas,de mineral,velas,mineral,A mi hermana le regalaron las velas de mineral que MASKTOKEN en la bodega. ,A mi hermana le regalaron las velas de mineral que,$ES_PL,A mi hermana le regalaron las velas de mineral que,0.07721695303586884,0.019390982329999418,0.01418933718745552,0.10242066281887219,0.0759449249409343
2,Spanish,A1,substance,indef,0.24,ambi,sg,1,1,una vela,de mineral,vela,mineral,A mi hermana le regalaron una vela de mineral que MASKTOKEN en la bodega. ,A mi hermana le regalaron una vela de mineral que,$ES_SG,A mi hermana le regalaron una vela de mineral que,0.18936384321831667,0.10775611777106509,0.0642744882284676,0.24919681442531783,0.18590736045460687
2,Spanish,A1,substance,indef,0.24,low,sg,1,1,unas velas,de mineral,velas,mineral,A mi hermana le regalaron unas velas de mineral que MASKTOKEN en la bodega. ,A mi hermana le regalaron unas velas de mineral que,$ES_SG,A mi hermana le regalaron unas velas de mineral que,0.09134740325810498,0.07961557663847008,0.04893663175488494,0.05793236727947004,0.04305951509236294
2,Spanish,A1,substance,indef,0.24,high,sg,1,1,una vela,de minerales,vela,minerales,A mi hermana le regalaron una vela de minerales que MASKTOKEN en la bodega. ,A mi hermana le regalaron una vela de minerales que,$ES_SG,A mi hermana le regalaron una vela de minerales que,0.13585778419700034,0.028149574870200755,0.025704518745470972,0.14996794088096976,0.10087863052229551
2,Spanish,A1,substance,indef,0.24,ambi,pl,1,1,unas velas,de minerales,velas,minerales,A mi hermana le regalaron unas velas de minerales que MASKTOKEN en la bodega. ,A mi hermana le regalaron unas velas de minerales que,$ES_PL,A mi hermana le regalaron unas velas de minerales que,0.15528555631600227,0.020349110486177574,0.05208027901063095,0.19651917800604224,0.18487265059532376
2,Spanish,A1,substance,indef,0.24,low,pl,1,1,una vela,de minerales,vela,minerales,A mi hermana le regalaron una vela de minerales que MASKTOKEN en la bodega. ,A mi hermana le regalaron una vela de minerales que,$ES_PL,A mi hermana le regalaron una vela de minerales que,0.06016985842127198,0.016124007229489312,0.036209365940837845,0.06317531564572221,0.09082105018477904
