item,exp,cond,contrast,matrix,embedded,pronoun,N1,N2,N1_gender,N2_gender,mask_sents,auto_sents,target,sent,/data/gpt2-xl_surp,/data/transfo-xl-wt103_surp
1,1,Common Nouns,Match_Match,Match,Match,him,man,waiter,m,m,the man thought that the waiter would praise MASKTOKEN enthusiastically for the amazing success of the event.,the man thought that the waiter would praise,him,the man thought that the waiter would praise,0.8866286873817444,2.22513484954834
1,1,Common Nouns,Match_Mismatch,Match,Mismatch,him,man,party planner,m,f,the man thought that the party planner would praise MASKTOKEN enthusiastically for the amazing success of the event.,the man thought that the party planner would praise,him,the man thought that the party planner would praise,0.9281361699104309,2.9647881984710693
1,1,Common Nouns,Mismatch_Match,Mismatch,Match,him,woman,waiter,f,m,the woman thought that the waiter would praise MASKTOKEN enthusiastically for the amazing success of the event.,the woman thought that the waiter would praise,him,the woman thought that the waiter would praise,6.181775093078613,3.958557605743408
1,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,him,woman,party planner,f,f,the woman thought that the party planner would praise MASKTOKEN enthusiastically for the amazing success of the event.,the woman thought that the party planner would praise,him,the woman thought that the party planner would praise,5.7977213859558105,4.142428874969482
1,1,Common Nouns,Match_Match,Match,Match,his,man,waiter,m,m,the man thought that the waiter would praise MASKTOKEN co-worker for the success of the event.,the man thought that the waiter would praise,his,the man thought that the waiter would praise,2.508983612060547,4.742747783660889
1,1,Common Nouns,Match_Mismatch,Match,Mismatch,his,man,party planner,m,f,the man thought that the party planner would praise MASKTOKEN co-worker for the success of the event.,the man thought that the party planner would praise,his,the man thought that the party planner would praise,2.7125015258789062,5.123101711273193
1,1,Common Nouns,Mismatch_Match,Mismatch,Match,his,woman,waiter,f,m,the woman thought that the waiter would praise MASKTOKEN co-worker for the success of the event.,the woman thought that the waiter would praise,his,the woman thought that the waiter would praise,6.822177410125732,4.914862155914307
1,1,Common Nouns,Mismatch_Mismatch,Mismatch,Mismatch,his,woman,party planner,f,f,the woman thought that the party planner would praise MASKTOKEN co-worker for the success of the event.,the woman thought that the party planner would praise,his,the woman thought that the party planner would praise,7.256959915161133,5.244595527648926
2,1,Common Nouns,Match_Match,Match,Match,him,man,tailor,m,m,the man worried that the tailor would criticize MASKTOKEN harshly for the lack of organization at the fashion show.,the man worried that the tailor would criticize,him,the man worried that the tailor would criticize,1.0090327262878418,2.279770612716675
2,1,Common Nouns,Match_Mismatch,Match,Mismatch,him,man,designer,m,f,the man worried that the designer would criticize MASKTOKEN harshly for the lack of organization at the fashion show.,the man worried that the designer would criticize,him,the man worried that the designer would criticize,1.6033954620361328,3.2500221729278564
