item,exp,contrast,top,middle,bottom,N1,N2,N3,N1_gender,N2_gender,N3_gender,mask_sents,auto_sents,target,sent,model,surp
1,1,Match_Match_Match,Match,Match,Match,boy,dad,actor,m,m,m,the boy told the dad that the actor would probably blame MASKTOKEN for the recent injury.,the boy told the dad that the actor would probably blame,him,the boy told the dad that the actor would probably blame MASKTOKEN for the recent injury.,wikitext-103_LSTM_400_1-d0.2.pt,2.5116782188415527
1,1,Match_Match_Mismatch,Match,Match,Mismatch,boy,dad,actress,m,m,m,the boy told the dad that the actress would probably blame MASKTOKEN for the recent injury.,the boy told the dad that the actress would probably blame,him,the boy told the dad that the actress would probably blame MASKTOKEN for the recent injury.,wikitext-103_LSTM_400_1-d0.2.pt,3.238793134689331
1,1,Match_Mismatch_Match,Match,Mismatch,Match,boy,mom,actor,m,f,f,the boy told the mom that the actor would probably blame MASKTOKEN for the recent injury.,the boy told the mom that the actor would probably blame,him,the boy told the mom that the actor would probably blame MASKTOKEN for the recent injury.,wikitext-103_LSTM_400_1-d0.2.pt,2.638737201690674
1,1,Match_Mismatch_Mismatch,Match,Mismatch,Mismatch,boy,mom,actress,m,f,f,the boy told the mom that the actress would probably blame MASKTOKEN for the recent injury.,the boy told the mom that the actress would probably blame,him,the boy told the mom that the actress would probably blame MASKTOKEN for the recent injury.,wikitext-103_LSTM_400_1-d0.2.pt,3.35783314704895
1,1,Mismatch_Match_Match,Mismatch,Match,Match,girl,dad,actor,f,m,m,the girl told the dad that the actor would probably blame MASKTOKEN for the recent injury.,the girl told the dad that the actor would probably blame,him,the girl told the dad that the actor would probably blame MASKTOKEN for the recent injury.,wikitext-103_LSTM_400_1-d0.2.pt,2.8570845127105717
1,1,Mismatch_Match_Mismatch,Mismatch,Match,Mismatch,girl,dad,actress,f,m,m,the girl told the dad that the actress would probably blame MASKTOKEN for the recent injury.,the girl told the dad that the actress would probably blame,him,the girl told the dad that the actress would probably blame MASKTOKEN for the recent injury.,wikitext-103_LSTM_400_1-d0.2.pt,3.412010908126831
1,1,Mismatch_Mismatch_Match,Mismatch,Mismatch,Match,girl,mom,actor,f,f,f,the girl told the mom that the actor would probably blame MASKTOKEN for the recent injury.,the girl told the mom that the actor would probably blame,him,the girl told the mom that the actor would probably blame MASKTOKEN for the recent injury.,wikitext-103_LSTM_400_1-d0.2.pt,2.971498250961304
1,1,Mismatch_Mismatch_Mismatch,Mismatch,Mismatch,Mismatch,girl,mom,actress,f,f,f,the girl told the mom that the actress would probably blame MASKTOKEN for the recent injury.,the girl told the mom that the actress would probably blame,him,the girl told the mom that the actress would probably blame MASKTOKEN for the recent injury.,wikitext-103_LSTM_400_1-d0.2.pt,3.4711856842041016
2,1,Match_Match_Match,Match,Match,Match,man,wizard,nephew,m,m,m,the man told the wizard that the nephew would protect MASKTOKEN if it became necessary.,the man told the wizard that the nephew would protect,him,the man told the wizard that the nephew would protect MASKTOKEN if it became necessary.,wikitext-103_LSTM_400_1-d0.2.pt,3.60560154914856
2,1,Match_Match_Mismatch,Match,Match,Mismatch,man,wizard,niece,m,m,m,the man told the wizard that the niece would protect MASKTOKEN if it became necessary.,the man told the wizard that the niece would protect,him,the man told the wizard that the niece would protect MASKTOKEN if it became necessary.,wikitext-103_LSTM_400_1-d0.2.pt,3.759100437164306
2,1,Match_Mismatch_Match,Match,Mismatch,Match,man,witch,nephew,m,f,f,the man told the witch that the nephew would protect MASKTOKEN if it became necessary.,the man told the witch that the nephew would protect,him,the man told the witch that the nephew would protect MASKTOKEN if it became necessary.,wikitext-103_LSTM_400_1-d0.2.pt,3.553757905960083
2,1,Match_Mismatch_Mismatch,Match,Mismatch,Mismatch,man,witch,niece,m,f,f,the man told the witch that the niece would protect MASKTOKEN if it became necessary.,the man told the witch that the niece would protect,him,the man told the witch that the niece would protect MASKTOKEN if it became necessary.,wikitext-103_LSTM_400_1-d0.2.pt,3.6966664791107178
2,1,Mismatch_Match_Match,Mismatch,Match,Match,woman,wizard,nephew,f,m,m,the woman told the wizard that the nephew would protect MASKTOKEN if it became necessary.,the woman told the wizard that the nephew would protect,him,the woman told the wizard that the nephew would protect MASKTOKEN if it became necessary.,wikitext-103_LSTM_400_1-d0.2.pt,4.0192413330078125
2,1,Mismatch_Match_Mismatch,Mismatch,Match,Mismatch,woman,wizard,niece,f,m,m,the woman told the wizard that the niece would protect MASKTOKEN if it became necessary.,the woman told the wizard that the niece would protect,him,the woman told the wizard that the niece would protect MASKTOKEN if it became necessary.,wikitext-103_LSTM_400_1-d0.2.pt,4.232710838317871
2,1,Mismatch_Mismatch_Match,Mismatch,Mismatch,Match,woman,witch,nephew,f,f,f,the woman told the witch that the nephew would protect MASKTOKEN if it became necessary.,the woman told the witch that the nephew would protect,him,the woman told the witch that the nephew would protect MASKTOKEN if it became necessary.,wikitext-103_LSTM_400_1-d0.2.pt,3.9739484786987305
2,1,Mismatch_Mismatch_Mismatch,Mismatch,Mismatch,Mismatch,woman,witch,niece,f,f,f,the woman told the witch that the niece would protect MASKTOKEN if it became necessary.,the woman told the witch that the niece would protect,him,the woman told the witch that the niece would protect MASKTOKEN if it became necessary.,wikitext-103_LSTM_400_1-d0.2.pt,4.135895252227783
3,1,Match_Match_Match,Match,Match,Match,doctor,lord,uncle,m,m,m,the doctor told the lord that the uncle would teach MASKTOKEN how to drive this weekend.,the doctor told the lord that the uncle would teach,him,the doctor told the lord that the uncle would teach MASKTOKEN how to drive this weekend.,wikitext-103_LSTM_400_1-d0.2.pt,3.034263134002685
3,1,Match_Match_Mismatch,Match,Match,Mismatch,doctor,lord,aunt,m,m,m,the doctor told the lord that the aunt would teach MASKTOKEN how to drive this weekend.,the doctor told the lord that the aunt would teach,him,the doctor told the lord that the aunt would teach MASKTOKEN how to drive this weekend.,wikitext-103_LSTM_400_1-d0.2.pt,3.268030166625977
3,1,Match_Mismatch_Match,Match,Mismatch,Match,doctor,lady,uncle,m,f,f,the doctor told the lady that the uncle would teach MASKTOKEN how to drive this weekend.,the doctor told the lady that the uncle would teach,him,the doctor told the lady that the uncle would teach MASKTOKEN how to drive this weekend.,wikitext-103_LSTM_400_1-d0.2.pt,3.125552177429199
3,1,Match_Mismatch_Mismatch,Match,Mismatch,Mismatch,doctor,lady,aunt,m,f,f,the doctor told the lady that the aunt would teach MASKTOKEN how to drive this weekend.,the doctor told the lady that the aunt would teach,him,the doctor told the lady that the aunt would teach MASKTOKEN how to drive this weekend.,wikitext-103_LSTM_400_1-d0.2.pt,3.424527406692505
3,1,Mismatch_Match_Match,Mismatch,Match,Match,nurse,lord,uncle,f,m,m,the nurse told the lord that the uncle would teach MASKTOKEN how to drive this weekend.,the nurse told the lord that the uncle would teach,him,the nurse told the lord that the uncle would teach MASKTOKEN how to drive this weekend.,wikitext-103_LSTM_400_1-d0.2.pt,3.0577034950256348
