item,lang,expType,exp,contrast,N2Prop,AttachType,verbNum,N1_changed,N2_changed,N1_full,N2_full,N1,N2,mask_sents,auto_sents,target,sent,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_1-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_2-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_3-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_4-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_5-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_6-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_7-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_8-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_9-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_10-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_11-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_12-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_13-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_14-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_15-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_16-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_17-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_18-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_19-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_20-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_21-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_22-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_23-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_24-d0.2.pt_prob,/data/new-wikitext103-25-models/wikitext-103_LSTM_400_25-d0.2.pt_prob
1,English,A1,substance,def,0.39,ambi,sg,0,0,the table,of wood,table,wood,In the garage we keep the table of wood that MASKTOKEN carved this Christmas holiday.,In the garage we keep the table of wood that,$SG,In the garage we keep the table of wood that,0.3056460623392603,0.16070764817760352,0.33677043435780263,0.2610459282962987,0.1977847880941539,0.35952617043760426,0.15145233742087427,0.3853612329216869,0.3199823933267325,0.32647448318546424,0.231091642461287,0.2507684755884938,0.3576159878733094,0.3289811394174649,0.18560110080228576,0.2607155878514895,0.261247823008933,0.29388974873998386,0.1905876818224792,0.3435279557625064,0.24811921235971646,0.2918877315458861,0.2544760461854545,0.2876120992271307,0.19226029935237499
1,English,A1,substance,def,0.39,low,sg,0,0,the tables,of wood,tables,wood,In the garage we keep the tables of wood that MASKTOKEN carved this Christmas holiday.,In the garage we keep the tables of wood that,$SG,In the garage we keep the tables of wood that,0.20548399260418648,0.17388665812780513,0.26050010153733183,0.11115064757934778,0.11248703958482231,0.19408746988576198,0.15976483939744313,0.3080572829065904,0.23686262775783007,0.3263603761663987,0.22574061557431158,0.16810614664014523,0.2104036482275582,0.2376744123296355,0.0634705735509904,0.11338639049919408,0.15228614349511016,0.1586796672236055,0.0916767094581985,0.24247968210885595,0.10107769621482099,0.22639889638510802,0.21199339779510762,0.1421239693118057,0.10284940096489059
1,English,A1,substance,def,0.39,high,sg,0,0,the table,of woods,table,woods,In the garage we keep the table of woods that MASKTOKEN carved this Christmas holiday.,In the garage we keep the table of woods that,$SG,In the garage we keep the table of woods that,0.06146649495866807,0.06844891520939811,0.08028664831135224,0.05663337880417352,0.06745603315319215,0.348993469621,0.11243851050768683,0.0658070385027294,0.13646666156429887,0.09648186652354163,0.08494354882849109,0.028319929069285266,0.23843997381915827,0.17647646403651152,0.11487553852217403,0.07239723087407768,0.14606057757347557,0.08836031882790785,0.0599258222577328,0.07020733842881643,0.07568517694395283,0.17766334650525994,0.13878222492385905,0.11526004895547359,0.07755607359828431
1,English,A1,substance,def,0.39,ambi,pl,0,0,the tables,of woods,tables,woods,In the garage we keep the tables of woods that MASKTOKEN carved this Christmas holiday.,In the garage we keep the tables of woods that,$PL,In the garage we keep the tables of woods that,0.43748004563614096,0.2953191730177238,0.40173608317748943,0.48201880605202874,0.41065087822164337,0.270967380726546,0.43261193379734486,0.470936220795771,0.3514516863183559,0.378893893093462,0.21351070880430711,0.6214922426792278,0.3554131744793789,0.3171947485056421,0.305659222133567,0.35963550137905287,0.5129510595367641,0.41986020391198053,0.5299454062080295,0.4332529236662843,0.48726855631657173,0.3150206823464128,0.36162022311307496,0.5031501694182099,0.39513161921791173
1,English,A1,substance,def,0.39,low,pl,0,0,the table,of woods,table,woods,In the garage we keep the table of woods that MASKTOKEN carved this Christmas holiday.,In the garage we keep the table of woods that,$PL,In the garage we keep the table of woods that,0.45455275216589186,0.3194852162796167,0.43093502428668984,0.42849203719177353,0.44702621381388497,0.13116551754637484,0.19644880543767584,0.4206011183701861,0.24013498004258693,0.327378811405751,0.27892819663086854,0.6160305034050708,0.189083161726181,0.1896157956871498,0.24567429888124437,0.29436140205695516,0.313908047753074,0.2368244989569348,0.4313351655154545,0.3850669809922138,0.4403948301028109,0.161386084953417,0.3059265028538327,0.39843338770056036,0.3017852831474084
1,English,A1,substance,def,0.39,high,pl,0,0,the tables,of wood,tables,wood,In the garage we keep the tables of wood that MASKTOKEN carved this Christmas holiday.,In the garage we keep the tables of wood that,$PL,In the garage we keep the tables of wood that,0.18918762612350726,0.16107198139758694,0.21453867436007457,0.3588984041769194,0.3688038829369775,0.24829644111697746,0.2015303923022138,0.20881705626948488,0.14633741658392552,0.17465014411937574,0.21661167950876248,0.38693672836426884,0.22750317156911137,0.18627678754469557,0.2124839074554572,0.3005735615146712,0.3322014254593242,0.2890177841238568,0.4051401980687972,0.21085834470770592,0.3814943312035979,0.22054163942190108,0.2541350904142732,0.33360488118070464,0.3953600561967665
1,English,A1,substance,indef,0.39,ambi,sg,0,0,a table,of wood,table,wood,In the garage we keep a table of wood that MASKTOKEN carved this Christmas holiday.,In the garage we keep a table of wood that,$SG,In the garage we keep a table of wood that,0.21382233598855382,0.17950450733562384,0.4393555741365205,0.29193301850706455,0.20759113654091266,0.37878154063940883,0.19337666774958429,0.4039091712543996,0.2913653528190423,0.4577189918017961,0.3247582557365494,0.3165339415754431,0.358612125733039,0.3289609844471535,0.28066601263806845,0.29602639632877104,0.2621207517748534,0.3402987801741837,0.27341230305990916,0.23691783115611464,0.2953791414800335,0.3722874671285359,0.30496895743011576,0.24636799040607027,0.24523010318223637
1,English,A1,substance,indef,0.39,low,sg,0,0,some tables,of wood,tables,wood,In the garage we keep some tables of wood that MASKTOKEN carved this Christmas holiday.,In the garage we keep some tables of wood that,$SG,In the garage we keep some tables of wood that,0.1540927360985922,0.17622425374502804,0.30919400619275983,0.11444513081984553,0.12271211201720966,0.1149608299323468,0.11113024983788833,0.31250584031964657,0.23976445301171978,0.3034019759999591,0.19395587819643723,0.15214836649293773,0.1886195821202037,0.21539796442367276,0.09430503908529353,0.08954207827154104,0.17380594857492948,0.14573978027256018,0.03942741971454211,0.21157657031587007,0.08892628542481518,0.19710635824804612,0.2001515328333081,0.16188725409416804,0.08366346939344549
1,English,A1,substance,indef,0.39,high,sg,0,0,a table,of woods,table,woods,In the garage we keep a table of woods that MASKTOKEN carved this Christmas holiday.,In the garage we keep a table of woods that,$SG,In the garage we keep a table of woods that,0.061415448930470795,0.0759525505184584,0.07353383114568235,0.06575094242386115,0.07064446057660057,0.4509042330440529,0.07792459107410465,0.06590020534866525,0.12937301244192412,0.13841481878503004,0.13264535927371668,0.028722987618906792,0.2336566517449299,0.1666715251807247,0.13729485425785537,0.08812332024119307,0.0676176907005015,0.09227109799932087,0.05529685494034009,0.0572951645771842,0.07078277175511616,0.1426122718699272,0.12519461695213074,0.1147085733023836,0.1369871354782255
1,English,A1,substance,indef,0.39,ambi,pl,0,0,some tables,of woods,tables,woods,In the garage we keep some tables of woods that MASKTOKEN carved this Christmas holiday.,In the garage we keep some tables of woods that,$PL,In the garage we keep some tables of woods that,0.44375920898538546,0.3380173100680821,0.48783859018415754,0.4642646788905118,0.41251743359641146,0.4016738112670808,0.4400370875361208,0.5169984080553434,0.36834801262762973,0.42332758563631145,0.2358976932184511,0.6559548676382709,0.42233783894652177,0.33157934728611593,0.2949684727526236,0.4538451061109683,0.5268728481748575,0.397437072968458,0.5282152715890884,0.46184521241382903,0.5252613849520316,0.40428300027060704,0.3934599022380709,0.5011775883108909,0.4682194114879241
