exp,verb,pairNum,mask_sents,auto_sents,target,bias,antecedent,gender,IC,sent,/data/gpt2-xl_prob,/data/transfo-xl-wt103_prob
ic_mismatch,abandoned,0,The man abandoned the woman because MASKTOKEN was there.,The man abandoned the woman because,he,33,subj,m,subj,The man abandoned the woman because,0.39115315675735474,0.1326119601726532
ic_mismatch,abandoned,0,The man abandoned the woman because MASKTOKEN was there.,The man abandoned the woman because,she,33,obj,f,subj,The man abandoned the woman because,0.22102470695972443,0.16026437282562256
ic_mismatch,abandoned,0,The woman abandoned the man because MASKTOKEN was there.,The woman abandoned the man because,he,33,obj,m,subj,The woman abandoned the man because,0.20707398653030396,0.15742255747318268
ic_mismatch,abandoned,0,The woman abandoned the man because MASKTOKEN was there.,The woman abandoned the man because,she,33,subj,f,subj,The woman abandoned the man because,0.3884875774383545,0.1080126166343689
ic_mismatch,acclaimed,0,The man acclaimed the woman because MASKTOKEN was there.,The man acclaimed the woman because,he,-58,subj,m,obj,The man acclaimed the woman because,0.35876086354255676,0.10704850405454636
ic_mismatch,acclaimed,0,The man acclaimed the woman because MASKTOKEN was there.,The man acclaimed the woman because,she,-58,obj,f,obj,The man acclaimed the woman because,0.2567347288131714,0.05792808532714844
ic_mismatch,acclaimed,0,The woman acclaimed the man because MASKTOKEN was there.,The woman acclaimed the man because,he,-58,obj,m,obj,The woman acclaimed the man because,0.27860602736473083,0.10013856738805771
ic_mismatch,acclaimed,0,The woman acclaimed the man because MASKTOKEN was there.,The woman acclaimed the man because,she,-58,subj,f,obj,The woman acclaimed the man because,0.33803239464759827,0.04327905923128128
ic_mismatch,accompanied,0,The man accompanied the woman because MASKTOKEN was there.,The man accompanied the woman because,he,-48,subj,m,obj,The man accompanied the woman because,0.3567196726799011,0.21721145510673523
ic_mismatch,accompanied,0,The man accompanied the woman because MASKTOKEN was there.,The man accompanied the woman because,she,-48,obj,f,obj,The man accompanied the woman because,0.1989191174507141,0.08855888992547989
ic_mismatch,accompanied,0,The woman accompanied the man because MASKTOKEN was there.,The woman accompanied the man because,he,-48,obj,m,obj,The woman accompanied the man because,0.1351984739303589,0.209089994430542
ic_mismatch,accompanied,0,The woman accompanied the man because MASKTOKEN was there.,The woman accompanied the man because,she,-48,subj,f,obj,The woman accompanied the man because,0.40067073702812195,0.0642932653427124
ic_mismatch,accused,0,The man accused the woman because MASKTOKEN was there.,The man accused the woman because,he,2,subj,m,subj,The man accused the woman because,0.4506973326206207,0.15772606432437897
ic_mismatch,accused,0,The man accused the woman because MASKTOKEN was there.,The man accused the woman because,she,2,obj,f,subj,The man accused the woman because,0.2918207347393036,0.09121883660554886
