item,lang,expType,exp,contrast,AttachType,verbNum,N1_changed,N2_changed,N1_full,N2_full,N1,N2,mask_sents,auto_sents,target,sent,model,prob,expCat,N2PropSource,N2Prop
1,Spanish,A1,substance,def,ambi,sg,0,1,la mesa,de material,mesa,material,En el garaje guardamos la mesa de material que MASKTOKEN estas Navidades.,En el garaje guardamos la mesa de material que,$ES_SG,En el garaje guardamos la mesa de material que MASKTOKEN estas Navidades.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.3606046426296032,A,human,0.06
2,Spanish,A1,substance,def,ambi,sg,1,1,la vela,de mineral,vela,mineral,A mi hermana le regalaron la vela de mineral que MASKTOKEN en la bodega. ,A mi hermana le regalaron la vela de mineral que,$ES_SG,A mi hermana le regalaron la vela de mineral que MASKTOKEN en la bodega. ,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.2418652253520861,A,human,0.24
3,Spanish,A1,substance,def,ambi,sg,1,1,la camisa,de tela,camisa,tela,Ayer me regalaron la camisa de tela que MASKTOKEN de contrabando.,Ayer me regalaron la camisa de tela que,$ES_SG,Ayer me regalaron la camisa de tela que MASKTOKEN de contrabando.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.2338761220280503,A,human,0.1
4,Spanish,A1,substance,def,ambi,sg,0,1,la manta,de tela,manta,tela,Al final Tomás compró la manta de tela que MASKTOKEN muy cara.,Al final Tomás compró la manta de tela que,$ES_SG,Al final Tomás compró la manta de tela que MASKTOKEN muy cara.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.2658499985277132,A,human,0.0
5,Spanish,A1,substance,def,ambi,sg,1,0,la bolsa,de piel,bolsa,piel,María hizo la bolsa de piel que MASKTOKEN mucho.,María hizo la bolsa de piel que,$ES_SG,María hizo la bolsa de piel que MASKTOKEN mucho.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.2762821534044519,A,human,0.02
6,Spanish,A1,substance,def,ambi,sg,0,1,la campana,de metal,campana,metal,Por fin colocaron la campana de metal que MASKTOKEN de la fundición.,Por fin colocaron la campana de metal que,$ES_SG,Por fin colocaron la campana de metal que MASKTOKEN de la fundición.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.2679126263245166,A,human,0.06
7,Spanish,A1,substance,def,ambi,sg,0,1,el pastel,de grano,pastel,grano,Ayer nos comimos el pastel de grano que MASKTOKEN en la tienda de productos orientales.,Ayer nos comimos el pastel de grano que,$ES_SG,Ayer nos comimos el pastel de grano que MASKTOKEN en la tienda de productos orientales.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.3013439459948586,A,human,0.04
8,Spanish,A1,substance,def,ambi,sg,1,1,el vestido,de fibra,vestido,fibra,La joven actriz admiraba el vestido de fibra que MASKTOKEN muy bonita.,La joven actriz admiraba el vestido de fibra que,$ES_SG,La joven actriz admiraba el vestido de fibra que MASKTOKEN muy bonita.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.2088977125182083,A,human,0.0
1,Spanish,A2,quantity,noAdj,ambi,sg,0,1,el vaso,de jugo,vaso,jugo,Juan pidió el vaso de jugo que MASKTOKEN encima de la mesa.,Juan pidió el vaso de jugo que,$ES_SG,Juan pidió el vaso de jugo que MASKTOKEN encima de la mesa.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.216511180722648,A,human,0.03
2,Spanish,A2,quantity,noAdj,ambi,sg,0,1,la botella,de vino,botella,vino,A María le gustaba la botella de vino que MASKTOKEN en la bodega.,A María le gustaba la botella de vino que,$ES_SG,A María le gustaba la botella de vino que MASKTOKEN en la bodega.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.1897777321909757,A,human,0.07
