item,lang,exp,AttachType,verbNum,N1_changed,N2_changed,N1_full,N2_full,N1,N2,mask_sents,auto_sents,target,sent,/data/DeepESP/gpt2-spanish_prob,/data/mrm8488/spanish-gpt2_prob
1a,Spanish,Fernandez,ambi,sg,1,0,el relativo,del maestro,relativo,maestro,Andrés cenó ayer con el relativo del maestro que MASKTOKEN en el partido comunista..,Andrés cenó ayer con el relativo del maestro que,$ES_SG,Andrés cenó ayer con el relativo del maestro que,0.23782686348209836,0.35212865168750795
1a,Spanish,Fernandez,low,sg,1,0,los relativos,del maestro,relativos,maestro,Andrés cenó ayer con los relativos del maestro que MASKTOKEN en el partido comunista..,Andrés cenó ayer con los relativos del maestro que,$ES_SG,Andrés cenó ayer con los relativos del maestro que,0.2835960675402305,0.21065990752651942
1a,Spanish,Fernandez,high,sg,1,0,el relativo,de los maestros,relativo,maestros,Andrés cenó ayer con el relativo de los maestros que MASKTOKEN en el partido comunista..,Andrés cenó ayer con el relativo de los maestros que,$ES_SG,Andrés cenó ayer con el relativo de los maestros que,0.040417328241254324,0.08507722275015794
1a,Spanish,Fernandez,ambi,pl,1,0,los relativos,de los maestros,relativos,maestros,Andrés cenó ayer con los relativos de los maestros que MASKTOKEN en el partido comunista..,Andrés cenó ayer con los relativos de los maestros que,$ES_PL,Andrés cenó ayer con los relativos de los maestros que,0.31269227353260476,0.38585431918772883
1a,Spanish,Fernandez,low,pl,1,0,el relativo,de los maestros,relativo,maestros,Andrés cenó ayer con el relativo de los maestros que MASKTOKEN en el partido comunista..,Andrés cenó ayer con el relativo de los maestros que,$ES_PL,Andrés cenó ayer con el relativo de los maestros que,0.28862225460488844,0.32118903485252304
1a,Spanish,Fernandez,high,pl,1,0,los relativos,del maestro,relativos,maestro,Andrés cenó ayer con los relativos del maestro que MASKTOKEN en el partido comunista..,Andrés cenó ayer con los relativos del maestro que,$ES_PL,Andrés cenó ayer con los relativos del maestro que,0.010200796890792674,0.16283700583937843
2a,Spanish,Fernandez,ambi,sg,0,1,al entrenador,del atleta,entrenador,atleta,El periodista entrevistó al entrenador del atleta que MASKTOKEN en la competición.,El periodista entrevistó al entrenador del atleta que,$ES_SG,El periodista entrevistó al entrenador del atleta que,0.20864849649896655,0.26676497544667654
2a,Spanish,Fernandez,low,sg,0,1,a los entrenadores,del atleta,entrenadores,atleta,El periodista entrevistó a los entrenadores del atleta que MASKTOKEN en la competición.,El periodista entrevistó a los entrenadores del atleta que,$ES_SG,El periodista entrevistó a los entrenadores del atleta que,0.144283726040058,0.2446918774218716
2a,Spanish,Fernandez,high,sg,0,1,al entrenador,de los atletas,entrenador,atletas,El periodista entrevistó al entrenador de los atletas que MASKTOKEN en la competición.,El periodista entrevistó al entrenador de los atletas que,$ES_SG,El periodista entrevistó al entrenador de los atletas que,0.05418650068701325,0.053869062811045865
2a,Spanish,Fernandez,ambi,pl,0,1,a los entrenadores,de los atletas,entrenadores,atletas,El periodista entrevistó a los entrenadores de los atletas que MASKTOKEN en la competición.,El periodista entrevistó a los entrenadores de los atletas que,$ES_PL,El periodista entrevistó a los entrenadores de los atletas que,0.23112068171300848,0.33576198509071276
