item,lang,expType,exp,contrast,N2Prop,AttachType,verbNum,N1_changed,N2_changed,N1_full,N2_full,N1,N2,mask_sents,auto_sents,target,sent,/data/DeepESP/gpt2-spanish_prob,/data/mrm8488/spanish-gpt2_prob
1,Spanish,A1,substance,def,0.06,ambi,sg,0,1,la mesa,de material,mesa,material,En el garaje guardamos la mesa de material que MASKTOKEN estas Navidades.,En el garaje guardamos la mesa de material que,$ES_SG,En el garaje guardamos la mesa de material que,0.18901218942355058,0.21902029438378534
1,Spanish,A1,substance,def,0.06,low,sg,0,1,las mesas,de material,mesas,material,En el garaje guardamos las mesas de material que MASKTOKEN estas Navidades.,En el garaje guardamos las mesas de material que,$ES_SG,En el garaje guardamos las mesas de material que,0.07294458973447604,0.06128620746863778
1,Spanish,A1,substance,def,0.06,high,sg,0,1,la mesa,de materiales,mesa,materiales,En el garaje guardamos la mesa de materiales que MASKTOKEN estas Navidades.,En el garaje guardamos la mesa de materiales que,$ES_SG,En el garaje guardamos la mesa de materiales que,0.15842298752943407,0.12778223031700975
1,Spanish,A1,substance,def,0.06,ambi,pl,0,1,las mesas,de materiales,mesas,materiales,En el garaje guardamos las mesas de materiales que MASKTOKEN estas Navidades.,En el garaje guardamos las mesas de materiales que,$ES_PL,En el garaje guardamos las mesas de materiales que,0.18305453317259435,0.20080863074543487
1,Spanish,A1,substance,def,0.06,low,pl,0,1,la mesa,de materiales,mesa,materiales,En el garaje guardamos la mesa de materiales que MASKTOKEN estas Navidades.,En el garaje guardamos la mesa de materiales que,$ES_PL,En el garaje guardamos la mesa de materiales que,0.033868952287448906,0.09989168280872462
1,Spanish,A1,substance,def,0.06,high,pl,0,1,las mesas,de material,mesas,material,En el garaje guardamos las mesas de material que MASKTOKEN estas Navidades.,En el garaje guardamos las mesas de material que,$ES_PL,En el garaje guardamos las mesas de material que,0.16084578933305238,0.17511746749975998
1,Spanish,A1,substance,indef,0.06,ambi,sg,0,1,una mesa,de material,mesa,material,En el garaje guardamos una mesa de material que MASKTOKEN estas Navidades.,En el garaje guardamos una mesa de material que,$ES_SG,En el garaje guardamos una mesa de material que,0.329034339413397,0.31323156139092134
1,Spanish,A1,substance,indef,0.06,low,sg,0,1,unas mesas,de material,mesas,material,En el garaje guardamos unas mesas de material que MASKTOKEN estas Navidades.,En el garaje guardamos unas mesas de material que,$ES_SG,En el garaje guardamos unas mesas de material que,0.061574490586849606,0.0646180821767981
1,Spanish,A1,substance,indef,0.06,high,sg,0,1,una mesa,de materiales,mesa,materiales,En el garaje guardamos una mesa de materiales que MASKTOKEN estas Navidades.,En el garaje guardamos una mesa de materiales que,$ES_SG,En el garaje guardamos una mesa de materiales que,0.27337510192467107,0.2643207499811524
1,Spanish,A1,substance,indef,0.06,ambi,pl,0,1,unas mesas,de materiales,mesas,materiales,En el garaje guardamos unas mesas de materiales que MASKTOKEN estas Navidades.,En el garaje guardamos unas mesas de materiales que,$ES_PL,En el garaje guardamos unas mesas de materiales que,0.26439197707418316,0.27090898110170514
1,Spanish,A1,substance,indef,0.06,low,pl,0,1,una mesa,de materiales,mesa,materiales,En el garaje guardamos una mesa de materiales que MASKTOKEN estas Navidades.,En el garaje guardamos una mesa de materiales que,$ES_PL,En el garaje guardamos una mesa de materiales que,0.036231476890719705,0.09075335720777034
1,Spanish,A1,substance,indef,0.06,high,pl,0,1,unas mesas,de material,mesas,material,En el garaje guardamos unas mesas de material que MASKTOKEN estas Navidades.,En el garaje guardamos unas mesas de material que,$ES_PL,En el garaje guardamos unas mesas de material que,0.24297369370219712,0.23290747030106473
2,Spanish,A1,substance,def,0.24,ambi,sg,1,1,la vela,de mineral,vela,mineral,A mi hermana le regalaron la vela de mineral que MASKTOKEN en la bodega. ,A mi hermana le regalaron la vela de mineral que,$ES_SG,A mi hermana le regalaron la vela de mineral que,0.1246368327789682,0.22594246226505277
2,Spanish,A1,substance,def,0.24,low,sg,1,1,las velas,de mineral,velas,mineral,A mi hermana le regalaron las velas de mineral que MASKTOKEN en la bodega. ,A mi hermana le regalaron las velas de mineral que,$ES_SG,A mi hermana le regalaron las velas de mineral que,0.05270263870825609,0.15250460446879188
2,Spanish,A1,substance,def,0.24,high,sg,1,1,la vela,de minerales,vela,minerales,A mi hermana le regalaron la vela de minerales que MASKTOKEN en la bodega. ,A mi hermana le regalaron la vela de minerales que,$ES_SG,A mi hermana le regalaron la vela de minerales que,0.10853987986448033,0.2421903245637438
2,Spanish,A1,substance,def,0.24,ambi,pl,1,1,las velas,de minerales,velas,minerales,A mi hermana le regalaron las velas de minerales que MASKTOKEN en la bodega. ,A mi hermana le regalaron las velas de minerales que,$ES_PL,A mi hermana le regalaron las velas de minerales que,0.08111959834522153,0.08096567116740871
2,Spanish,A1,substance,def,0.24,low,pl,1,1,la vela,de minerales,vela,minerales,A mi hermana le regalaron la vela de minerales que MASKTOKEN en la bodega. ,A mi hermana le regalaron la vela de minerales que,$ES_PL,A mi hermana le regalaron la vela de minerales que,0.023213226481040294,0.014040737121815638
2,Spanish,A1,substance,def,0.24,high,pl,1,1,las velas,de mineral,velas,mineral,A mi hermana le regalaron las velas de mineral que MASKTOKEN en la bodega. ,A mi hermana le regalaron las velas de mineral que,$ES_PL,A mi hermana le regalaron las velas de mineral que,0.08846738970551371,0.06747590509254309
2,Spanish,A1,substance,indef,0.24,ambi,sg,1,1,una vela,de mineral,vela,mineral,A mi hermana le regalaron una vela de mineral que MASKTOKEN en la bodega. ,A mi hermana le regalaron una vela de mineral que,$ES_SG,A mi hermana le regalaron una vela de mineral que,0.1529135127659984,0.21784148431666495
2,Spanish,A1,substance,indef,0.24,low,sg,1,1,unas velas,de mineral,velas,mineral,A mi hermana le regalaron unas velas de mineral que MASKTOKEN en la bodega. ,A mi hermana le regalaron unas velas de mineral que,$ES_SG,A mi hermana le regalaron unas velas de mineral que,0.041430695865591005,0.10960876044996759
2,Spanish,A1,substance,indef,0.24,high,sg,1,1,una vela,de minerales,vela,minerales,A mi hermana le regalaron una vela de minerales que MASKTOKEN en la bodega. ,A mi hermana le regalaron una vela de minerales que,$ES_SG,A mi hermana le regalaron una vela de minerales que,0.12894309186219743,0.2138734996225793
2,Spanish,A1,substance,indef,0.24,ambi,pl,1,1,unas velas,de minerales,velas,minerales,A mi hermana le regalaron unas velas de minerales que MASKTOKEN en la bodega. ,A mi hermana le regalaron unas velas de minerales que,$ES_PL,A mi hermana le regalaron unas velas de minerales que,0.1105233795314362,0.09962253722805592
2,Spanish,A1,substance,indef,0.24,low,pl,1,1,una vela,de minerales,vela,minerales,A mi hermana le regalaron una vela de minerales que MASKTOKEN en la bodega. ,A mi hermana le regalaron una vela de minerales que,$ES_PL,A mi hermana le regalaron una vela de minerales que,0.02506194869935463,0.007130524868436794
2,Spanish,A1,substance,indef,0.24,high,pl,1,1,unas velas,de mineral,velas,mineral,A mi hermana le regalaron unas velas de mineral que MASKTOKEN en la bodega. ,A mi hermana le regalaron unas velas de mineral que,$ES_PL,A mi hermana le regalaron unas velas de mineral que,0.11403802968559162,0.07918408007897337
3,Spanish,A1,substance,def,0.1,ambi,sg,1,1,la camisa,de tela,camisa,tela,Ayer me regalaron la camisa de tela que MASKTOKEN de contrabando.,Ayer me regalaron la camisa de tela que,$ES_SG,Ayer me regalaron la camisa de tela que,0.1438565808664407,0.18045614079920824
3,Spanish,A1,substance,def,0.1,low,sg,1,1,las camisas,de tela,camisas,tela,Ayer me regalaron las camisas de tela que MASKTOKEN de contrabando.,Ayer me regalaron las camisas de tela que,$ES_SG,Ayer me regalaron las camisas de tela que,0.07962384284239832,0.12045511700342804
3,Spanish,A1,substance,def,0.1,high,sg,1,1,la camisa,de telas,camisa,telas,Ayer me regalaron la camisa de telas que MASKTOKEN de contrabando.,Ayer me regalaron la camisa de telas que,$ES_SG,Ayer me regalaron la camisa de telas que,0.14169172586849754,0.12602673542310328
3,Spanish,A1,substance,def,0.1,ambi,pl,1,1,las camisas,de telas,camisas,telas,Ayer me regalaron las camisas de telas que MASKTOKEN de contrabando.,Ayer me regalaron las camisas de telas que,$ES_PL,Ayer me regalaron las camisas de telas que,0.15150288929763178,0.10164358658262351
3,Spanish,A1,substance,def,0.1,low,pl,1,1,la camisa,de telas,camisa,telas,Ayer me regalaron la camisa de telas que MASKTOKEN de contrabando.,Ayer me regalaron la camisa de telas que,$ES_PL,Ayer me regalaron la camisa de telas que,0.03349100621868928,0.07323154271490395
3,Spanish,A1,substance,def,0.1,high,pl,1,1,las camisas,de tela,camisas,tela,Ayer me regalaron las camisas de tela que MASKTOKEN de contrabando.,Ayer me regalaron las camisas de tela que,$ES_PL,Ayer me regalaron las camisas de tela que,0.14396753241942406,0.09257964424175036
3,Spanish,A1,substance,indef,0.1,ambi,sg,1,1,una camisa,de tela,camisa,tela,Ayer me regalaron una camisa de tela que MASKTOKEN de contrabando.,Ayer me regalaron una camisa de tela que,$ES_SG,Ayer me regalaron una camisa de tela que,0.16928122647440347,0.17649411638766566
3,Spanish,A1,substance,indef,0.1,low,sg,1,1,unas camisas,de tela,camisas,tela,Ayer me regalaron unas camisas de tela que MASKTOKEN de contrabando.,Ayer me regalaron unas camisas de tela que,$ES_SG,Ayer me regalaron unas camisas de tela que,0.041960525523006,0.0483996755836138
3,Spanish,A1,substance,indef,0.1,high,sg,1,1,una camisa,de telas,camisa,telas,Ayer me regalaron una camisa de telas que MASKTOKEN de contrabando.,Ayer me regalaron una camisa de telas que,$ES_SG,Ayer me regalaron una camisa de telas que,0.16234000075173327,0.10870422675371572
3,Spanish,A1,substance,indef,0.1,ambi,pl,1,1,unas camisas,de telas,camisas,telas,Ayer me regalaron unas camisas de telas que MASKTOKEN de contrabando.,Ayer me regalaron unas camisas de telas que,$ES_PL,Ayer me regalaron unas camisas de telas que,0.1901921045930095,0.12677891927204854
