item,lang,expType,exp,contrast,N2Prop,AttachType,verbNum,N1_changed,N2_changed,N1_full,N2_full,N1,N2,mask_sents,auto_sents,target
1,English,A1,substance,def,0.39,ambi,sg,0,0,the table,of wood,table,wood,In the garage we keep the table of wood that MASKTOKEN carved this Christmas holiday.,In the garage we keep the table of wood that,$SG
1,English,A1,substance,def,0.39,low,sg,0,0,the tables,of wood,tables,wood,In the garage we keep the tables of wood that MASKTOKEN carved this Christmas holiday.,In the garage we keep the tables of wood that,$SG
1,English,A1,substance,def,0.39,high,sg,0,0,the table,of woods,table,woods,In the garage we keep the table of woods that MASKTOKEN carved this Christmas holiday.,In the garage we keep the table of woods that,$SG
1,English,A1,substance,def,0.39,ambi,pl,0,0,the tables,of woods,tables,woods,In the garage we keep the tables of woods that MASKTOKEN carved this Christmas holiday.,In the garage we keep the tables of woods that,$PL
1,English,A1,substance,def,0.39,low,pl,0,0,the table,of woods,table,woods,In the garage we keep the table of woods that MASKTOKEN carved this Christmas holiday.,In the garage we keep the table of woods that,$PL
1,English,A1,substance,def,0.39,high,pl,0,0,the tables,of wood,tables,wood,In the garage we keep the tables of wood that MASKTOKEN carved this Christmas holiday.,In the garage we keep the tables of wood that,$PL
1,English,A1,substance,indef,0.39,ambi,sg,0,0,a table,of wood,table,wood,In the garage we keep a table of wood that MASKTOKEN carved this Christmas holiday.,In the garage we keep a table of wood that,$SG
1,English,A1,substance,indef,0.39,low,sg,0,0,some tables,of wood,tables,wood,In the garage we keep some tables of wood that MASKTOKEN carved this Christmas holiday.,In the garage we keep some tables of wood that,$SG
1,English,A1,substance,indef,0.39,high,sg,0,0,a table,of woods,table,woods,In the garage we keep a table of woods that MASKTOKEN carved this Christmas holiday.,In the garage we keep a table of woods that,$SG
1,English,A1,substance,indef,0.39,ambi,pl,0,0,some tables,of woods,tables,woods,In the garage we keep some tables of woods that MASKTOKEN carved this Christmas holiday.,In the garage we keep some tables of woods that,$PL
1,English,A1,substance,indef,0.39,low,pl,0,0,a table,of woods,table,woods,In the garage we keep a table of woods that MASKTOKEN carved this Christmas holiday.,In the garage we keep a table of woods that,$PL
1,English,A1,substance,indef,0.39,high,pl,0,0,some tables,of wood,tables,wood,In the garage we keep some tables of wood that MASKTOKEN carved this Christmas holiday.,In the garage we keep some tables of wood that,$PL
2,English,A1,substance,def,0.13,ambi,sg,0,1,the lamp,of material,lamp,material,To my sister they gave the lamp of material that MASKTOKEN polished until it looked like marble.,To my sister they gave the lamp of material that,$SG
2,English,A1,substance,def,0.13,low,sg,0,1,the lamps,of material,lamps,material,To my sister they gave the lamps of material that MASKTOKEN polished until it looked like marble.,To my sister they gave the lamps of material that,$SG
2,English,A1,substance,def,0.13,high,sg,0,1,the lamp,of materials,lamp,materials,To my sister they gave the lamp of materials that MASKTOKEN polished until it looked like marble.,To my sister they gave the lamp of materials that,$SG
2,English,A1,substance,def,0.13,ambi,pl,0,1,the lamps,of materials,lamps,materials,To my sister they gave the lamps of materials that MASKTOKEN polished until it looked like marble.,To my sister they gave the lamps of materials that,$PL
2,English,A1,substance,def,0.13,low,pl,0,1,the lamp,of materials,lamp,materials,To my sister they gave the lamp of materials that MASKTOKEN polished until it looked like marble.,To my sister they gave the lamp of materials that,$PL
2,English,A1,substance,def,0.13,high,pl,0,1,the lamps,of material,lamps,material,To my sister they gave the lamps of material that MASKTOKEN polished until it looked like marble.,To my sister they gave the lamps of material that,$PL
2,English,A1,substance,indef,0.13,ambi,sg,0,1,a lamp,of material,lamp,material,To my sister they gave a lamp of material that MASKTOKEN polished until it looked like marble.,To my sister they gave a lamp of material that,$SG
2,English,A1,substance,indef,0.13,low,sg,0,1,some lamps,of material,lamps,material,To my sister they gave some lamps of material that MASKTOKEN polished until it looked like marble.,To my sister they gave some lamps of material that,$SG
2,English,A1,substance,indef,0.13,high,sg,0,1,a lamp,of materials,lamp,materials,To my sister they gave a lamp of materials that MASKTOKEN polished until it looked like marble.,To my sister they gave a lamp of materials that,$SG
2,English,A1,substance,indef,0.13,ambi,pl,0,1,some lamps,of materials,lamps,materials,To my sister they gave some lamps of materials that MASKTOKEN polished until it looked like marble.,To my sister they gave some lamps of materials that,$PL
2,English,A1,substance,indef,0.13,low,pl,0,1,a lamp,of materials,lamp,materials,To my sister they gave a lamp of materials that MASKTOKEN polished until it looked like marble.,To my sister they gave a lamp of materials that,$PL
2,English,A1,substance,indef,0.13,high,pl,0,1,some lamps,of material,lamps,material,To my sister they gave some lamps of material that MASKTOKEN polished until it looked like marble.,To my sister they gave some lamps of material that,$PL
3,English,A1,substance,def,0.3,ambi,sg,1,1,the shirt,of fabric,shirt,fabric,Yesterday they gave me the shirt of fabric that MASKTOKEN illegally imported. ,Yesterday they gave me the shirt of fabric that,$SG
3,English,A1,substance,def,0.3,low,sg,1,1,the shirts,of fabric,shirts,fabric,Yesterday they gave me the shirts of fabric that MASKTOKEN illegally imported. ,Yesterday they gave me the shirts of fabric that,$SG
3,English,A1,substance,def,0.3,high,sg,1,1,the shirt,of fabrics,shirt,fabrics,Yesterday they gave me the shirt of fabrics that MASKTOKEN illegally imported. ,Yesterday they gave me the shirt of fabrics that,$SG
3,English,A1,substance,def,0.3,ambi,pl,1,1,the shirts,of fabrics,shirts,fabrics,Yesterday they gave me the shirts of fabrics that MASKTOKEN illegally imported. ,Yesterday they gave me the shirts of fabrics that,$PL
3,English,A1,substance,def,0.3,low,pl,1,1,the shirt,of fabrics,shirt,fabrics,Yesterday they gave me the shirt of fabrics that MASKTOKEN illegally imported. ,Yesterday they gave me the shirt of fabrics that,$PL
3,English,A1,substance,def,0.3,high,pl,1,1,the shirts,of fabric,shirts,fabric,Yesterday they gave me the shirts of fabric that MASKTOKEN illegally imported. ,Yesterday they gave me the shirts of fabric that,$PL
3,English,A1,substance,indef,0.3,ambi,sg,1,1,a shirt,of fabric,shirt,fabric,Yesterday they gave me a shirt of fabric that MASKTOKEN illegally imported. ,Yesterday they gave me a shirt of fabric that,$SG
3,English,A1,substance,indef,0.3,low,sg,1,1,some shirts,of fabric,shirts,fabric,Yesterday they gave me some shirts of fabric that MASKTOKEN illegally imported. ,Yesterday they gave me some shirts of fabric that,$SG
3,English,A1,substance,indef,0.3,high,sg,1,1,a shirt,of fabrics,shirt,fabrics,Yesterday they gave me a shirt of fabrics that MASKTOKEN illegally imported. ,Yesterday they gave me a shirt of fabrics that,$SG
3,English,A1,substance,indef,0.3,ambi,pl,1,1,some shirts,of fabrics,shirts,fabrics,Yesterday they gave me some shirts of fabrics that MASKTOKEN illegally imported. ,Yesterday they gave me some shirts of fabrics that,$PL
3,English,A1,substance,indef,0.3,low,pl,1,1,a shirt,of fabrics,shirt,fabrics,Yesterday they gave me a shirt of fabrics that MASKTOKEN illegally imported. ,Yesterday they gave me a shirt of fabrics that,$PL
3,English,A1,substance,indef,0.3,high,pl,1,1,some shirts,of fabric,shirts,fabric,Yesterday they gave me some shirts of fabric that MASKTOKEN illegally imported. ,Yesterday they gave me some shirts of fabric that,$PL
4,English,A1,substance,def,0.21,ambi,sg,1,0,the blanket,of material,blanket,material,In the end Tomas brought the blanket of material that MASKTOKEN very expensive.,In the end Tomas brought the blanket of material that,$SG
4,English,A1,substance,def,0.21,low,sg,1,0,the blankets,of material,blankets,material,In the end Tomas brought the blankets of material that MASKTOKEN very expensive.,In the end Tomas brought the blankets of material that,$SG
4,English,A1,substance,def,0.21,high,sg,1,0,the blanket,of materials,blanket,materials,In the end Tomas brought the blanket of materials that MASKTOKEN very expensive.,In the end Tomas brought the blanket of materials that,$SG
4,English,A1,substance,def,0.21,ambi,pl,1,0,the blankets,of materials,blankets,materials,In the end Tomas brought the blankets of materials that MASKTOKEN very expensive.,In the end Tomas brought the blankets of materials that,$PL
4,English,A1,substance,def,0.21,low,pl,1,0,the blanket,of materials,blanket,materials,In the end Tomas brought the blanket of materials that MASKTOKEN very expensive.,In the end Tomas brought the blanket of materials that,$PL
4,English,A1,substance,def,0.21,high,pl,1,0,the blankets,of material,blankets,material,In the end Tomas brought the blankets of material that MASKTOKEN very expensive.,In the end Tomas brought the blankets of material that,$PL
4,English,A1,substance,indef,0.21,ambi,sg,1,0,a blanket,of material,blanket,material,In the end Tomas brought a blanket of material that MASKTOKEN very expensive.,In the end Tomas brought a blanket of material that,$SG
4,English,A1,substance,indef,0.21,low,sg,1,0,some blankets,of material,blankets,material,In the end Tomas brought some blankets of material that MASKTOKEN very expensive.,In the end Tomas brought some blankets of material that,$SG
4,English,A1,substance,indef,0.21,high,sg,1,0,a blanket,of materials,blanket,materials,In the end Tomas brought a blanket of materials that MASKTOKEN very expensive.,In the end Tomas brought a blanket of materials that,$SG
4,English,A1,substance,indef,0.21,ambi,pl,1,0,some blankets,of materials,blankets,materials,In the end Tomas brought some blankets of materials that MASKTOKEN very expensive.,In the end Tomas brought some blankets of materials that,$PL
4,English,A1,substance,indef,0.21,low,pl,1,0,a blanket,of materials,blanket,materials,In the end Tomas brought a blanket of materials that MASKTOKEN very expensive.,In the end Tomas brought a blanket of materials that,$PL
4,English,A1,substance,indef,0.21,high,pl,1,0,some blankets,of material,blankets,material,In the end Tomas brought some blankets of material that MASKTOKEN very expensive.,In the end Tomas brought some blankets of material that,$PL
5,English,A1,substance,def,0.12,ambi,sg,0,1,the belt,of hide,belt,hide,Maria made the belt of hide that MASKTOKEN liked a lot.,Maria made the belt of hide that,$SG
5,English,A1,substance,def,0.12,low,sg,0,1,the belts,of hide,belts,hide,Maria made the belts of hide that MASKTOKEN liked a lot.,Maria made the belts of hide that,$SG
5,English,A1,substance,def,0.12,high,sg,0,1,the belt,of hides,belt,hides,Maria made the belt of hides that MASKTOKEN liked a lot.,Maria made the belt of hides that,$SG
5,English,A1,substance,def,0.12,ambi,pl,0,1,the belts,of hides,belts,hides,Maria made the belts of hides that MASKTOKEN liked a lot.,Maria made the belts of hides that,$PL
5,English,A1,substance,def,0.12,low,pl,0,1,the belt,of hides,belt,hides,Maria made the belt of hides that MASKTOKEN liked a lot.,Maria made the belt of hides that,$PL
5,English,A1,substance,def,0.12,high,pl,0,1,the belts,of hide,belts,hide,Maria made the belts of hide that MASKTOKEN liked a lot.,Maria made the belts of hide that,$PL
5,English,A1,substance,indef,0.12,ambi,sg,0,1,a belt,of hide,belt,hide,Maria made a belt of hide that MASKTOKEN liked a lot.,Maria made a belt of hide that,$SG
5,English,A1,substance,indef,0.12,low,sg,0,1,some belts,of hide,belts,hide,Maria made some belts of hide that MASKTOKEN liked a lot.,Maria made some belts of hide that,$SG
5,English,A1,substance,indef,0.12,high,sg,0,1,a belt,of hides,belt,hides,Maria made a belt of hides that MASKTOKEN liked a lot.,Maria made a belt of hides that,$SG
5,English,A1,substance,indef,0.12,ambi,pl,0,1,some belts,of hides,belts,hides,Maria made some belts of hides that MASKTOKEN liked a lot.,Maria made some belts of hides that,$PL
5,English,A1,substance,indef,0.12,low,pl,0,1,a belt,of hides,belt,hides,Maria made a belt of hides that MASKTOKEN liked a lot.,Maria made a belt of hides that,$PL
5,English,A1,substance,indef,0.12,high,pl,0,1,some belts,of hide,belts,hide,Maria made some belts of hide that MASKTOKEN liked a lot.,Maria made some belts of hide that,$PL
6,English,A1,substance,def,0.09,ambi,sg,0,1,the bell,of medal,bell,medal,Finally they placed the bell of medal that MASKTOKEN brought from the foundry.,Finally they placed the bell of medal that,$SG
