item,lang,exp,AttachType,verbNum,N1_changed,N2_changed,N1_full,N2_full,N1,N2,mask_sents,auto_sents,target,sent,model,prob
1a,Spanish,Fernandez,low,sg,1,0,los relativos,del maestro,relativos,maestro,Andrés cenó ayer con los relativos del maestro que MASKTOKEN en el partido comunista..,Andrés cenó ayer con los relativos del maestro que,$ES_SG,Andrés cenó ayer con los relativos del maestro que MASKTOKEN en el partido comunista..,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.2838747964767663
1a,Spanish,Fernandez,high,sg,1,0,el relativo,de los maestros,relativo,maestros,Andrés cenó ayer con el relativo de los maestros que MASKTOKEN en el partido comunista..,Andrés cenó ayer con el relativo de los maestros que,$ES_SG,Andrés cenó ayer con el relativo de los maestros que MASKTOKEN en el partido comunista..,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0310775974951198
1a,Spanish,Fernandez,low,pl,1,0,el relativo,de los maestros,relativo,maestros,Andrés cenó ayer con el relativo de los maestros que MASKTOKEN en el partido comunista..,Andrés cenó ayer con el relativo de los maestros que,$ES_PL,Andrés cenó ayer con el relativo de los maestros que MASKTOKEN en el partido comunista..,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.3840445256389273
1a,Spanish,Fernandez,high,pl,1,0,los relativos,del maestro,relativos,maestro,Andrés cenó ayer con los relativos del maestro que MASKTOKEN en el partido comunista..,Andrés cenó ayer con los relativos del maestro que,$ES_PL,Andrés cenó ayer con los relativos del maestro que MASKTOKEN en el partido comunista..,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0378021237073653
2a,Spanish,Fernandez,low,sg,0,1,a los entrenadores,del atleta,entrenadores,atleta,El periodista entrevistó a los entrenadores del atleta que MASKTOKEN en la competición.,El periodista entrevistó a los entrenadores del atleta que,$ES_SG,El periodista entrevistó a los entrenadores del atleta que MASKTOKEN en la competición.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0289202010088951
2a,Spanish,Fernandez,high,sg,0,1,al entrenador,de los atletas,entrenador,atletas,El periodista entrevistó al entrenador de los atletas que MASKTOKEN en la competición.,El periodista entrevistó al entrenador de los atletas que,$ES_SG,El periodista entrevistó al entrenador de los atletas que MASKTOKEN en la competición.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0501989073520168
2a,Spanish,Fernandez,low,pl,0,1,al entrenador,de los atletas,entrenador,atletas,El periodista entrevistó al entrenador de los atletas que MASKTOKEN en la competición.,El periodista entrevistó al entrenador de los atletas que,$ES_PL,El periodista entrevistó al entrenador de los atletas que MASKTOKEN en la competición.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.1844098413825134
2a,Spanish,Fernandez,high,pl,0,1,a los entrenadores,del atleta,entrenadores,atleta,El periodista entrevistó a los entrenadores del atleta que MASKTOKEN en la competición.,El periodista entrevistó a los entrenadores del atleta que,$ES_PL,El periodista entrevistó a los entrenadores del atleta que MASKTOKEN en la competición.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.3207311937710617
3a,Spanish,Fernandez,low,sg,1,1,a los asistentes,del trabajador,asistentes,trabajador,El gerente observaba a los asistentes del trabajador que MASKTOKEN en la oficina.,El gerente observaba a los asistentes del trabajador que,$ES_SG,El gerente observaba a los asistentes del trabajador que MASKTOKEN en la oficina.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0465298574184807
3a,Spanish,Fernandez,high,sg,1,1,al asistente,de los trabajadores,asistente,trabajadores,El gerente observaba al asistente de los trabajadores que MASKTOKEN en la oficina.,El gerente observaba al asistente de los trabajadores que,$ES_SG,El gerente observaba al asistente de los trabajadores que MASKTOKEN en la oficina.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0615614933885275
3a,Spanish,Fernandez,low,pl,1,1,al asistente,de los trabajadores,asistente,trabajadores,El gerente observaba al asistente de los trabajadores que MASKTOKEN en la oficina.,El gerente observaba al asistente de los trabajadores que,$ES_PL,El gerente observaba al asistente de los trabajadores que MASKTOKEN en la oficina.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.1539670743821801
3a,Spanish,Fernandez,high,pl,1,1,a los asistentes,del trabajador,asistentes,trabajador,El gerente observaba a los asistentes del trabajador que MASKTOKEN en la oficina.,El gerente observaba a los asistentes del trabajador que,$ES_PL,El gerente observaba a los asistentes del trabajador que MASKTOKEN en la oficina.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.1555252124940693
4a,Spanish,Fernandez,low,sg,1,0,a los asistentes,del abogado,asistentes,abogado,Julia había hablado con a los asistentes del abogado que MASKTOKEN de vacación.,Julia había hablado con a los asistentes del abogado que,$ES_SG,Julia había hablado con a los asistentes del abogado que MASKTOKEN de vacación.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.1390624847594672
4a,Spanish,Fernandez,high,sg,1,0,al asistente,de los abogados,asistente,abogados,Julia había hablado con al asistente de los abogados que MASKTOKEN de vacación.,Julia había hablado con al asistente de los abogados que,$ES_SG,Julia había hablado con al asistente de los abogados que MASKTOKEN de vacación.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0664798729506577
4a,Spanish,Fernandez,low,pl,1,0,al asistente,de los abogados,asistente,abogados,Julia había hablado con al asistente de los abogados que MASKTOKEN de vacación.,Julia había hablado con al asistente de los abogados que,$ES_PL,Julia había hablado con al asistente de los abogados que MASKTOKEN de vacación.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.1129956777953378
4a,Spanish,Fernandez,high,pl,1,0,a los asistentes,del abogado,asistentes,abogado,Julia había hablado con a los asistentes del abogado que MASKTOKEN de vacación.,Julia había hablado con a los asistentes del abogado que,$ES_PL,Julia había hablado con a los asistentes del abogado que MASKTOKEN de vacación.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0284450619535689
5a,Spanish,Fernandez,low,sg,0,0,a los ayudantes,del detective,ayudantes,detective,Mi amigo conoció a los ayudantes del detective que MASKTOKEN en la oficina.,Mi amigo conoció a los ayudantes del detective que,$ES_SG,Mi amigo conoció a los ayudantes del detective que MASKTOKEN en la oficina.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0640907327570943
5a,Spanish,Fernandez,high,sg,0,0,al ayudante,de los detectives,ayudante,detectives,Mi amigo conoció al ayudante de los detectives que MASKTOKEN en la oficina.,Mi amigo conoció al ayudante de los detectives que,$ES_SG,Mi amigo conoció al ayudante de los detectives que MASKTOKEN en la oficina.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.152011195408356
5a,Spanish,Fernandez,low,pl,0,0,al ayudante,de los detectives,ayudante,detectives,Mi amigo conoció al ayudante de los detectives que MASKTOKEN en la oficina.,Mi amigo conoció al ayudante de los detectives que,$ES_PL,Mi amigo conoció al ayudante de los detectives que MASKTOKEN en la oficina.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0264615686405296
5a,Spanish,Fernandez,high,pl,0,0,a los ayudantes,del detective,ayudantes,detective,Mi amigo conoció a los ayudantes del detective que MASKTOKEN en la oficina.,Mi amigo conoció a los ayudantes del detective que,$ES_PL,Mi amigo conoció a los ayudantes del detective que MASKTOKEN en la oficina.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.1632396342183142
6a,Spanish,Fernandez,low,sg,1,0,a los analistas,del embajador,analistas,embajador,Carlos conoció a los analistas del embajador que MASKTOKEN en la compañia.,Carlos conoció a los analistas del embajador que,$ES_SG,Carlos conoció a los analistas del embajador que MASKTOKEN en la compañia.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0743028791225884
6a,Spanish,Fernandez,high,sg,1,0,al analista,de los embajadores,analista,embajadores,Carlos conoció al analista de los embajadores que MASKTOKEN en la compañia.,Carlos conoció al analista de los embajadores que,$ES_SG,Carlos conoció al analista de los embajadores que MASKTOKEN en la compañia.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.100641390411607
6a,Spanish,Fernandez,low,pl,1,0,al analista,de los embajadores,analista,embajadores,Carlos conoció al analista de los embajadores que MASKTOKEN en la compañia.,Carlos conoció al analista de los embajadores que,$ES_PL,Carlos conoció al analista de los embajadores que MASKTOKEN en la compañia.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0718492889139401
6a,Spanish,Fernandez,high,pl,1,0,a los analistas,del embajador,analistas,embajador,Carlos conoció a los analistas del embajador que MASKTOKEN en la compañia.,Carlos conoció a los analistas del embajador que,$ES_PL,Carlos conoció a los analistas del embajador que MASKTOKEN en la compañia.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.1440624868944677
7a,Spanish,Fernandez,low,sg,1,1,los versos,de la poema,versos,poema,Rosa leyó los versos de la poema que MASKTOKEN en las últimas páginas de la revista.,Rosa leyó los versos de la poema que,$ES_SG,Rosa leyó los versos de la poema que MASKTOKEN en las últimas páginas de la revista.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.2799536439221555
7a,Spanish,Fernandez,high,sg,1,1,el verso,de las poemas,verso,poemas,Rosa leyó el verso de las poemas que MASKTOKEN en las últimas páginas de la revista.,Rosa leyó el verso de las poemas que,$ES_SG,Rosa leyó el verso de las poemas que MASKTOKEN en las últimas páginas de la revista.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.1464698421798047
7a,Spanish,Fernandez,low,pl,1,1,el verso,de las poemas,verso,poemas,Rosa leyó el verso de las poemas que MASKTOKEN en las últimas páginas de la revista.,Rosa leyó el verso de las poemas que,$ES_PL,Rosa leyó el verso de las poemas que MASKTOKEN en las últimas páginas de la revista.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.1267517307988441
7a,Spanish,Fernandez,high,pl,1,1,los versos,de la poema,versos,poema,Rosa leyó los versos de la poema que MASKTOKEN en las últimas páginas de la revista.,Rosa leyó los versos de la poema que,$ES_PL,Rosa leyó los versos de la poema que MASKTOKEN en las últimas páginas de la revista.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0874845158970174
8a,Spanish,Fernandez,low,sg,0,1,los tubos,de la cocina,tubos,cocina,El plomero ajustó los tubos de la cocina que MASKTOKEN en la casa.,El plomero ajustó los tubos de la cocina que,$ES_SG,El plomero ajustó los tubos de la cocina que MASKTOKEN en la casa.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.1338214115893343
8a,Spanish,Fernandez,high,sg,0,1,el tubo,de las cocinas,tubo,cocinas,El plomero ajustó el tubo de las cocinas que MASKTOKEN en la casa.,El plomero ajustó el tubo de las cocinas que,$ES_SG,El plomero ajustó el tubo de las cocinas que MASKTOKEN en la casa.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0864369389944545
8a,Spanish,Fernandez,low,pl,0,1,el tubo,de las cocinas,tubo,cocinas,El plomero ajustó el tubo de las cocinas que MASKTOKEN en la casa.,El plomero ajustó el tubo de las cocinas que,$ES_PL,El plomero ajustó el tubo de las cocinas que MASKTOKEN en la casa.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.1297837821656173
8a,Spanish,Fernandez,high,pl,0,1,los tubos,de la cocina,tubos,cocina,El plomero ajustó los tubos de la cocina que MASKTOKEN en la casa.,El plomero ajustó los tubos de la cocina que,$ES_PL,El plomero ajustó los tubos de la cocina que MASKTOKEN en la casa.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.1423358343464826
9a,Spanish,Fernandez,low,sg,0,1,los cables,del radio,cables,radio,María remplazó los cables del radio que MASKTOKEN en el coche.,María remplazó los cables del radio que,$ES_SG,María remplazó los cables del radio que MASKTOKEN en el coche.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.1214713506874289
9a,Spanish,Fernandez,high,sg,0,1,el cable,de los radios,cable,radios,María remplazó el cable de los radios que MASKTOKEN en el coche.,María remplazó el cable de los radios que,$ES_SG,María remplazó el cable de los radios que MASKTOKEN en el coche.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0847926230830609
9a,Spanish,Fernandez,low,pl,0,1,el cable,de los radios,cable,radios,María remplazó el cable de los radios que MASKTOKEN en el coche.,María remplazó el cable de los radios que,$ES_PL,María remplazó el cable de los radios que MASKTOKEN en el coche.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.2691472656939595
9a,Spanish,Fernandez,high,pl,0,1,los cables,del radio,cables,radio,María remplazó los cables del radio que MASKTOKEN en el coche.,María remplazó los cables del radio que,$ES_PL,María remplazó los cables del radio que MASKTOKEN en el coche.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.2294480919848887
10a,Spanish,Fernandez,low,sg,1,1,los ritmos,del canto,ritmos,canto,A mi hermano le gustaba escuchar los ritmos del canto que MASKTOKEN en la primera cara del álbum.,A mi hermano le gustaba escuchar los ritmos del canto que,$ES_SG,A mi hermano le gustaba escuchar los ritmos del canto que MASKTOKEN en la primera cara del álbum.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.1384186004469896
10a,Spanish,Fernandez,high,sg,1,1,el ritmo,de los cantos,ritmo,cantos,A mi hermano le gustaba escuchar el ritmo de los cantos que MASKTOKEN en la primera cara del álbum.,A mi hermano le gustaba escuchar el ritmo de los cantos que,$ES_SG,A mi hermano le gustaba escuchar el ritmo de los cantos que MASKTOKEN en la primera cara del álbum.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0909992502896983
10a,Spanish,Fernandez,low,pl,1,1,el ritmo,de los cantos,ritmo,cantos,A mi hermano le gustaba escuchar el ritmo de los cantos que MASKTOKEN en la primera cara del álbum.,A mi hermano le gustaba escuchar el ritmo de los cantos que,$ES_PL,A mi hermano le gustaba escuchar el ritmo de los cantos que MASKTOKEN en la primera cara del álbum.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0925991116341435
10a,Spanish,Fernandez,high,pl,1,1,los ritmos,del canto,ritmos,canto,A mi hermano le gustaba escuchar los ritmos del canto que MASKTOKEN en la primera cara del álbum.,A mi hermano le gustaba escuchar los ritmos del canto que,$ES_PL,A mi hermano le gustaba escuchar los ritmos del canto que MASKTOKEN en la primera cara del álbum.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0666945806384475
11a,Spanish,Fernandez,low,sg,1,1,los colores,del plato,colores,plato,El cocinero no pudo encontrar los colores del plato que MASKTOKEN en el aparador.,El cocinero no pudo encontrar los colores del plato que,$ES_SG,El cocinero no pudo encontrar los colores del plato que MASKTOKEN en el aparador.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.1226147169552689
11a,Spanish,Fernandez,high,sg,1,1,el color,de los platos,color,platos,El cocinero no pudo encontrar el color de los platos que MASKTOKEN en el aparador.,El cocinero no pudo encontrar el color de los platos que,$ES_SG,El cocinero no pudo encontrar el color de los platos que MASKTOKEN en el aparador.,es_lstm_hidden650_batch64_dropout0.2_lr20_0.pt,0.0736647903485021
