item,lang,expType,exp,contrast,N2Prop,AttachType,verbNum,N1_changed,N2_changed,N1_full,N2_full,N1,N2,mask_sents,auto_sents,target
1,Spanish,A1,substance,def,0.06,ambi,sg,0,1,la mesa,de material,mesa,material,En el garaje guardamos la mesa de material que MASKTOKEN estas Navidades.,En el garaje guardamos la mesa de material que,$ES_SG
1,Spanish,A1,substance,def,0.06,low,sg,0,1,las mesas,de material,mesas,material,En el garaje guardamos las mesas de material que MASKTOKEN estas Navidades.,En el garaje guardamos las mesas de material que,$ES_SG
1,Spanish,A1,substance,def,0.06,high,sg,0,1,la mesa,de materiales,mesa,materiales,En el garaje guardamos la mesa de materiales que MASKTOKEN estas Navidades.,En el garaje guardamos la mesa de materiales que,$ES_SG
1,Spanish,A1,substance,def,0.06,ambi,pl,0,1,las mesas,de materiales,mesas,materiales,En el garaje guardamos las mesas de materiales que MASKTOKEN estas Navidades.,En el garaje guardamos las mesas de materiales que,$ES_PL
1,Spanish,A1,substance,def,0.06,low,pl,0,1,la mesa,de materiales,mesa,materiales,En el garaje guardamos la mesa de materiales que MASKTOKEN estas Navidades.,En el garaje guardamos la mesa de materiales que,$ES_PL
1,Spanish,A1,substance,def,0.06,high,pl,0,1,las mesas,de material,mesas,material,En el garaje guardamos las mesas de material que MASKTOKEN estas Navidades.,En el garaje guardamos las mesas de material que,$ES_PL
1,Spanish,A1,substance,indef,0.06,ambi,sg,0,1,una mesa,de material,mesa,material,En el garaje guardamos una mesa de material que MASKTOKEN estas Navidades.,En el garaje guardamos una mesa de material que,$ES_SG
1,Spanish,A1,substance,indef,0.06,low,sg,0,1,unas mesas,de material,mesas,material,En el garaje guardamos unas mesas de material que MASKTOKEN estas Navidades.,En el garaje guardamos unas mesas de material que,$ES_SG
1,Spanish,A1,substance,indef,0.06,high,sg,0,1,una mesa,de materiales,mesa,materiales,En el garaje guardamos una mesa de materiales que MASKTOKEN estas Navidades.,En el garaje guardamos una mesa de materiales que,$ES_SG
1,Spanish,A1,substance,indef,0.06,ambi,pl,0,1,unas mesas,de materiales,mesas,materiales,En el garaje guardamos unas mesas de materiales que MASKTOKEN estas Navidades.,En el garaje guardamos unas mesas de materiales que,$ES_PL
1,Spanish,A1,substance,indef,0.06,low,pl,0,1,una mesa,de materiales,mesa,materiales,En el garaje guardamos una mesa de materiales que MASKTOKEN estas Navidades.,En el garaje guardamos una mesa de materiales que,$ES_PL
1,Spanish,A1,substance,indef,0.06,high,pl,0,1,unas mesas,de material,mesas,material,En el garaje guardamos unas mesas de material que MASKTOKEN estas Navidades.,En el garaje guardamos unas mesas de material que,$ES_PL
2,Spanish,A1,substance,def,0.24,ambi,sg,1,1,la vela,de mineral,vela,mineral,A mi hermana le regalaron la vela de mineral que MASKTOKEN en la bodega. ,A mi hermana le regalaron la vela de mineral que,$ES_SG
2,Spanish,A1,substance,def,0.24,low,sg,1,1,las velas,de mineral,velas,mineral,A mi hermana le regalaron las velas de mineral que MASKTOKEN en la bodega. ,A mi hermana le regalaron las velas de mineral que,$ES_SG
2,Spanish,A1,substance,def,0.24,high,sg,1,1,la vela,de minerales,vela,minerales,A mi hermana le regalaron la vela de minerales que MASKTOKEN en la bodega. ,A mi hermana le regalaron la vela de minerales que,$ES_SG
