item,lang,exp,AttachType,verbNum,N1_changed,N2_changed,N1_full,N2_full,N1,N2,mask_sents,auto_sents,target
1a,Spanish,Fernandez,ambi,sg,1,0,el relativo,del maestro,relativo,maestro,Andrés cenó ayer con el relativo del maestro que MASKTOKEN en el partido comunista..,Andrés cenó ayer con el relativo del maestro que,$ES_SG
1a,Spanish,Fernandez,low,sg,1,0,los relativos,del maestro,relativos,maestro,Andrés cenó ayer con los relativos del maestro que MASKTOKEN en el partido comunista..,Andrés cenó ayer con los relativos del maestro que,$ES_SG
1a,Spanish,Fernandez,high,sg,1,0,el relativo,de los maestros,relativo,maestros,Andrés cenó ayer con el relativo de los maestros que MASKTOKEN en el partido comunista..,Andrés cenó ayer con el relativo de los maestros que,$ES_SG
1a,Spanish,Fernandez,ambi,pl,1,0,los relativos,de los maestros,relativos,maestros,Andrés cenó ayer con los relativos de los maestros que MASKTOKEN en el partido comunista..,Andrés cenó ayer con los relativos de los maestros que,$ES_PL
1a,Spanish,Fernandez,low,pl,1,0,el relativo,de los maestros,relativo,maestros,Andrés cenó ayer con el relativo de los maestros que MASKTOKEN en el partido comunista..,Andrés cenó ayer con el relativo de los maestros que,$ES_PL
1a,Spanish,Fernandez,high,pl,1,0,los relativos,del maestro,relativos,maestro,Andrés cenó ayer con los relativos del maestro que MASKTOKEN en el partido comunista..,Andrés cenó ayer con los relativos del maestro que,$ES_PL
2a,Spanish,Fernandez,ambi,sg,0,1,al entrenador,del atleta,entrenador,atleta,El periodista entrevistó al entrenador del atleta que MASKTOKEN en la competición.,El periodista entrevistó al entrenador del atleta que,$ES_SG
2a,Spanish,Fernandez,low,sg,0,1,a los entrenadores,del atleta,entrenadores,atleta,El periodista entrevistó a los entrenadores del atleta que MASKTOKEN en la competición.,El periodista entrevistó a los entrenadores del atleta que,$ES_SG
2a,Spanish,Fernandez,high,sg,0,1,al entrenador,de los atletas,entrenador,atletas,El periodista entrevistó al entrenador de los atletas que MASKTOKEN en la competición.,El periodista entrevistó al entrenador de los atletas que,$ES_SG
2a,Spanish,Fernandez,ambi,pl,0,1,a los entrenadores,de los atletas,entrenadores,atletas,El periodista entrevistó a los entrenadores de los atletas que MASKTOKEN en la competición.,El periodista entrevistó a los entrenadores de los atletas que,$ES_PL
2a,Spanish,Fernandez,low,pl,0,1,al entrenador,de los atletas,entrenador,atletas,El periodista entrevistó al entrenador de los atletas que MASKTOKEN en la competición.,El periodista entrevistó al entrenador de los atletas que,$ES_PL
2a,Spanish,Fernandez,high,pl,0,1,a los entrenadores,del atleta,entrenadores,atleta,El periodista entrevistó a los entrenadores del atleta que MASKTOKEN en la competición.,El periodista entrevistó a los entrenadores del atleta que,$ES_PL
3a,Spanish,Fernandez,ambi,sg,1,1,al asistente,del trabajador,asistente,trabajador,El gerente observaba al asistente del trabajador que MASKTOKEN en la oficina.,El gerente observaba al asistente del trabajador que,$ES_SG
3a,Spanish,Fernandez,low,sg,1,1,a los asistentes,del trabajador,asistentes,trabajador,El gerente observaba a los asistentes del trabajador que MASKTOKEN en la oficina.,El gerente observaba a los asistentes del trabajador que,$ES_SG
3a,Spanish,Fernandez,high,sg,1,1,al asistente,de los trabajadores,asistente,trabajadores,El gerente observaba al asistente de los trabajadores que MASKTOKEN en la oficina.,El gerente observaba al asistente de los trabajadores que,$ES_SG
3a,Spanish,Fernandez,ambi,pl,1,1,a los asistentes,de los trabajadores,asistentes,trabajadores,El gerente observaba a los asistentes de los trabajadores que MASKTOKEN en la oficina.,El gerente observaba a los asistentes de los trabajadores que,$ES_PL
3a,Spanish,Fernandez,low,pl,1,1,al asistente,de los trabajadores,asistente,trabajadores,El gerente observaba al asistente de los trabajadores que MASKTOKEN en la oficina.,El gerente observaba al asistente de los trabajadores que,$ES_PL
3a,Spanish,Fernandez,high,pl,1,1,a los asistentes,del trabajador,asistentes,trabajador,El gerente observaba a los asistentes del trabajador que MASKTOKEN en la oficina.,El gerente observaba a los asistentes del trabajador que,$ES_PL
4a,Spanish,Fernandez,ambi,sg,1,0,al asistente,del abogado,asistente,abogado,Julia había hablado con al asistente del abogado que MASKTOKEN de vacación.,Julia había hablado con al asistente del abogado que,$ES_SG
4a,Spanish,Fernandez,low,sg,1,0,a los asistentes,del abogado,asistentes,abogado,Julia había hablado con a los asistentes del abogado que MASKTOKEN de vacación.,Julia había hablado con a los asistentes del abogado que,$ES_SG
4a,Spanish,Fernandez,high,sg,1,0,al asistente,de los abogados,asistente,abogados,Julia había hablado con al asistente de los abogados que MASKTOKEN de vacación.,Julia había hablado con al asistente de los abogados que,$ES_SG
4a,Spanish,Fernandez,ambi,pl,1,0,a los asistentes,de los abogados,asistentes,abogados,Julia había hablado con a los asistentes de los abogados que MASKTOKEN de vacación.,Julia había hablado con a los asistentes de los abogados que,$ES_PL
4a,Spanish,Fernandez,low,pl,1,0,al asistente,de los abogados,asistente,abogados,Julia había hablado con al asistente de los abogados que MASKTOKEN de vacación.,Julia había hablado con al asistente de los abogados que,$ES_PL
4a,Spanish,Fernandez,high,pl,1,0,a los asistentes,del abogado,asistentes,abogado,Julia había hablado con a los asistentes del abogado que MASKTOKEN de vacación.,Julia había hablado con a los asistentes del abogado que,$ES_PL
5a,Spanish,Fernandez,ambi,sg,0,0,al ayudante,del detective,ayudante,detective,Mi amigo conoció al ayudante del detective que MASKTOKEN en la oficina.,Mi amigo conoció al ayudante del detective que,$ES_SG
5a,Spanish,Fernandez,low,sg,0,0,a los ayudantes,del detective,ayudantes,detective,Mi amigo conoció a los ayudantes del detective que MASKTOKEN en la oficina.,Mi amigo conoció a los ayudantes del detective que,$ES_SG
5a,Spanish,Fernandez,high,sg,0,0,al ayudante,de los detectives,ayudante,detectives,Mi amigo conoció al ayudante de los detectives que MASKTOKEN en la oficina.,Mi amigo conoció al ayudante de los detectives que,$ES_SG
5a,Spanish,Fernandez,ambi,pl,0,0,a los ayudantes,de los detectives,ayudantes,detectives,Mi amigo conoció a los ayudantes de los detectives que MASKTOKEN en la oficina.,Mi amigo conoció a los ayudantes de los detectives que,$ES_PL
5a,Spanish,Fernandez,low,pl,0,0,al ayudante,de los detectives,ayudante,detectives,Mi amigo conoció al ayudante de los detectives que MASKTOKEN en la oficina.,Mi amigo conoció al ayudante de los detectives que,$ES_PL
5a,Spanish,Fernandez,high,pl,0,0,a los ayudantes,del detective,ayudantes,detective,Mi amigo conoció a los ayudantes del detective que MASKTOKEN en la oficina.,Mi amigo conoció a los ayudantes del detective que,$ES_PL
6a,Spanish,Fernandez,ambi,sg,1,0,al analista,del embajador,analista,embajador,Carlos conoció al analista del embajador que MASKTOKEN en la compañia.,Carlos conoció al analista del embajador que,$ES_SG
6a,Spanish,Fernandez,low,sg,1,0,a los analistas,del embajador,analistas,embajador,Carlos conoció a los analistas del embajador que MASKTOKEN en la compañia.,Carlos conoció a los analistas del embajador que,$ES_SG
